Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
2010,ALABAMA,Total,,,,,,
2010,,Cities,,,,,,
2010,,,Decatur,0,0,1,2,57153
2010,,,Hoover,0,1,0,1,74687
2010,,,Jasper,0,1,0,0,14138
2010,,,Lanett,0,0,0,1,7026
2010,,,Madison,0,0,1,0,41426
2010,,,Oneonta,0,1,0,0,7317
2010,,,Riverside,0,0,0,1,2146
2010,,,Slocomb,1,0,0,0,2065
2010,,,Talladega,0,1,0,0,16826
2010,,Metropolitan Counties,,,,,,
2010,,,Blount,,1,0,0,
2010,,,Tuscaloosa,,4,1,,
2010,,Nonmetropolitan Counties,,,,,,
2010,,,Clarke,1,0,0,0,
2010,ALASKA,Total,,,,,,
2010,,Cities,,,,,,
2010,,,Anchorage,1,1,4,1,290334
2010,ARIZONA,Total,,,,,,
2010,,Cities,,,,,,
2010,,,Apache Junction,1,2,2,0,33225
2010,,,Avondale,1,0,0,0,82580
2010,,,Flagstaff,0,0,0,1,58739
2010,,,Glendale,0,4,3,6,245387
2010,,,Kingman,0,2,0,0,26671
2010,,,Lake Havasu City,1,0,0,0,53938
2010,,,Mammoth,0,0,1,0,2618
2010,,,Maricopa,1,0,0,0,43310
2010,,,Mesa,2,1,2,2,452725
2010,,,Peoria,0,1,0,1,158184
2010,,,Phoenix,24,35,48,28,1544427
2010,,,Prescott,0,1,0,0,41428
2010,,,Scottsdale,4,5,4,3,230496
2010,,,Show Low,1,0,0,1,11965
2010,,,Springerville,0,1,0,0,1943
2010,,,Tempe,2,1,1,0,173004
2010,,,Tucson,9,2,3,0,527107
2010,,,Yuma,0,1,0,1,88291
2010,,Universities and Colleges,,,,,,
2010,,,University of Arizona,1,1,0,3,38767
2010,,Metropolitan Counties,,,,,,
2010,,,Maricopa,1,1,1,5,
2010,,,Pima,1,4,3,3,
2010,,,Pinal,2,0,0,1,
2010,ARKANSAS,Total,,,,,,
2010,,Cities,,,,,,
2010,,,Benton,0,2,0,0,30692
2010,,,Bentonville,1,0,0,1,39161
2010,,,Bryant,0,1,0,0,16740
2010,,,Conway,0,0,0,2,61425
2010,,,Crossett,2,0,0,0,5349
2010,,,Elkins,0,1,0,0,2703
2010,,,Hot Springs,1,0,0,0,40081
2010,,,Jacksonville,0,0,1,3,31833
2010,,,Jonesboro,1,0,0,0,67382
2010,,,Marmaduke,0,1,0,0,1177
2010,,,Marvell,0,0,1,0,1065
2010,,,Morrilton,1,0,0,0,6571
2010,,,North Little Rock,0,1,1,0,60129
2010,,,Paragould,0,1,1,0,25350
2010,,,Pine Bluff,2,0,0,1,49971
2010,,,Rogers,1,2,4,2,61417
2010,,,Searcy,1,0,0,0,23791
2010,,,Sherwood,1,0,3,0,29370
2010,,,Siloam Springs,0,0,1,1,15337
2010,,,Springdale,0,0,4,0,71047
2010,,,Texarkana,1,1,0,0,30488
2010,,,Ward,0,0,1,0,4311
2010,,Universities and Colleges,,,,,,
2010,,,"University of Arkansas, Pine Bluff",1,0,0,0,3792
2010,,Metropolitan Counties,,,,,,
2010,,,Benton,0,2,0,0,
2010,,,Garland,0,1,0,,
2010,,,Lonoke,1,0,0,0,
2010,,,Perry,0,0,1,0,
2010,,,Pulaski,2,1,0,1,
2010,,Nonmetropolitan Counties,,,,,,
2010,,,Independence,0,1,1,1,
2010,,,White,1,0,0,0,
2010,CALIFORNIA,Total,,,,,,
2010,,Cities,,,,,,
2010,,,Agoura Hills,0,1,1,0,22318
2010,,,Alameda,2,0,0,0,71016
2010,,,Albany,1,0,1,2,16096
2010,,,Aliso Viejo,0,0,0,1,41989
2010,,,Anaheim,1,0,0,0,338492
2010,,,Antioch,2,1,2,0,102125
2010,,,Apple Valley,0,2,0,0,71834
2010,,,Arcata,1,1,0,1,17172
2010,,,Azusa,0,3,1,0,46824
2010,,,Bakersfield,0,0,2,2,333458
2010,,,Baldwin Park,0,0,0,1,77127
2010,,,Belmont,0,0,1,0,24881
2010,,,Berkeley,1,0,0,0,102700
2010,,,Beverly Hills,0,2,0,1,34329
2010,,,Bishop,1,0,0,0,3412
2010,,,Brentwood,0,0,2,0,53312
2010,,,Buena Park,1,0,0,0,79929
2010,,,Burbank,2,1,2,0,103304
2010,,,Calabasas,1,1,0,0,22223
2010,,,Camarillo,0,1,0,0,64577
2010,,,Campbell,0,0,0,1,38854
2010,,,Carlsbad,0,1,0,0,100461
2010,,,Carmel,1,0,0,0,3882
2010,,,Carson,1,0,0,0,92409
2010,,,Cathedral City,0,2,0,0,53449
2010,,,Cerritos,1,0,0,1,51025
2010,,,Chico,1,3,2,1,85630
2010,,,Chino,1,0,0,0,84170
2010,,,Chula Vista,0,2,0,1,229060
2010,,,Citrus Heights,0,0,0,1,84476
2010,,,City of Angels,0,0,0,1,3774
2010,,,Clearlake,0,1,0,1,15352
2010,,,Clovis,0,0,5,1,95901
2010,,,Commerce,0,0,2,0,13466
2010,,,Compton,1,1,1,0,93916
2010,,,Concord,0,2,2,1,122119
2010,,,Corona,1,0,1,0,153311
2010,,,Coronado,0,0,0,1,22033
2010,,,Costa Mesa,2,1,2,0,110424
2010,,,Covina,0,1,0,0,46728
2010,,,Cypress,0,1,1,0,47320
2010,,,Davis,2,2,4,3,63292
2010,,,Delano,0,0,1,0,54298
2010,,,Del Mar,0,0,0,1,4554
2010,,,Downey,0,2,0,0,106992
2010,,,Duarte,0,0,1,0,21789
2010,,,Dublin,1,0,0,0,46209
2010,,,East Palo Alto,0,1,0,0,34294
2010,,,El Cajon,0,1,0,0,94311
2010,,,El Cerrito,1,1,0,0,22263
2010,,,El Monte,1,1,1,1,121884
2010,,,Emeryville,1,0,0,0,10207
2010,,,Encinitas,3,3,1,0,61898
2010,,,Escalon,0,0,1,0,7463
2010,,,Escondido,2,1,3,2,140662
2010,,,Eureka,0,0,1,0,25143
2010,,,Fontana,1,0,0,0,192595
2010,,,Fort Bragg,0,1,0,2,6550
2010,,,Foster City,0,0,0,1,29283
2010,,,Fountain Valley,2,0,0,0,55879
2010,,,Fremont,0,0,2,0,205477
2010,,,Fresno,3,2,1,0,484734
2010,,,Galt,1,0,0,0,24517
2010,,,Garden Grove,0,2,1,0,166287
2010,,,Glendale,3,0,1,0,196877
2010,,,Grass Valley,0,1,0,0,12330
2010,,,Greenfield,1,0,0,0,15626
2010,,,Gridley,1,0,0,0,6528
2010,,,Hawaiian Gardens,1,0,1,0,15211
2010,,,Hercules,0,0,2,0,25192
2010,,,Hermosa Beach,0,1,0,0,19408
2010,,,Hesperia,1,0,1,0,88876
2010,,,Huntington Beach,2,5,2,1,193545
2010,,,Indio,1,1,0,1,89621
2010,,,La Habra,1,1,1,0,59355
2010,,,Lake Forest,0,0,1,0,75780
2010,,,Lakewood,2,2,0,0,77901
2010,,,La Mesa,1,1,0,0,55580
2010,,,Lancaster,2,1,4,0,148632
2010,,,La Quinta,2,1,1,2,47441
2010,,,La Verne,1,0,0,0,34066
2010,,,Lemoore,0,0,1,0,24766
2010,,,Livermore,1,11,3,0,81769
2010,,,Lodi,0,0,1,0,61812
2010,,,Long Beach,1,3,2,4,462267
2010,,,Los Alamitos,1,0,3,0,11698
2010,,,Los Angeles,29,43,38,28,3841707
2010,,,Los Gatos,6,0,0,0,29558
2010,,,Madera,0,0,3,0,58147
2010,,,Malibu,0,1,2,0,13078
2010,,,Manteca,0,1,0,0,67344
2010,,,Marina,0,0,1,0,17921
2010,,,Marysville,0,0,1,0,11548
2010,,,Maywood,0,1,0,0,28114
2010,,,Merced,1,0,1,0,77484
2010,,,Millbrae,0,0,1,0,21295
2010,,,Mission Viejo,2,0,1,0,94679
2010,,,Modesto,1,2,2,1,203890
2010,,,Monterey,1,0,1,1,27619
2010,,,Moreno Valley,1,3,0,0,197294
2010,,,Murrieta,0,0,0,1,104343
2010,,,National City,1,0,0,0,56270
2010,,,Newark,0,1,1,1,42099
2010,,,Newport Beach,0,1,0,0,81882
2010,,,Norwalk,2,1,0,0,102221
2010,,,Novato,3,1,0,1,54009
