Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population3
2011,Alabama,Total,,,,,,
,,Cities,,,,,,
,,,Abbeville,1,1,,,2701
,,,Adamsville,1,,,1,4544
,,,Alabaster,1,,,,30498
,,,Centre,,,,1,3506
,,,Clanton,1,,1,,8660
,,,Decatur,,1,2,,55951
,,,Douglas,,1,,,748
,,,Elba,,,1,,3959
,,,Enterprise,0,0,1,1,26690
,,,Foley,0,2,0,0,14688
,,,Fort Payne,2,,,,14079
,,,Fultondale,,,,1,8420
,,,Fyffe,2,,,,1023
,,,Greenville,,,,1,8174
,,,Guntersville,0,1,1,,8236
,,,Haleyville,1,,,,4193
,,,Heflin,1,,,,3497
,,,Hoover,0,0,1,1,82012
,,,Hueytown,,,,1,16183
,,,Irondale,,2,,,12408
,,,Jackson,,,,1,5253
,,,Jacksonville,,,,1,12608
,,,Jasper,,0,1,1,14421
,,,Lincoln,,1,1,,6296
,,,Montgomery,1,,,,206754
,,,Mount Vernon,,,,1,1582
,,,Orange Beach,,1,2,,5467
,,,Oxford,1,3,,1,21451
,,,Ozark,0,,,1,14979
,,,Parrish,,,1,,987
,,,Pelham,0,0,0,1,21455
,,,Phenix City,1,,,,32980
,,,Piedmont,1,,,,4901
,,,Prattville,0,1,,,34123
,,,Roanoke,1,1,1,1,6103
,,,Saraland,1,1,,,13470
,,,Sheffield,0,1,,,9083
,,,Sylacauga,0,0,2,0,12810
,,,Town Creek,0,1,,,1105
,,,Tuscaloosa,1,,2,0,90903
,,,Tuscumbia,,,,1,8464
,,,Weaver,,,1,,3053
,,Metropolitan Counties,,,,,,
,,,Blount,,1,1,,
,,,Chilton,1,,1,1,
,,,Madison,,,,1,
,,,Tuscaloosa,1,1,,1,
,,Nonmetropolitan Counties,,,,,,
,,,Coosa,1,,,,
,,,Cullman,,,1,,
,,,Marengo,,1,,,
,,,Washington,1,,,1,
,Alaska,Total,,,,,,
,,Cities,,,,,,
,,,Anchorage,1,1,5,1,296955
,Arizona,Total,,,,,,
,,Cities,,,,,,
,,,Apache Junction,0,1,0,1,36347
,,,Avondale,0,1,1,0,77317
,,,Buckeye,0,3,1,0,51596
,,,Camp Verde,0,0,1,0,11027
,,,Chandler,1,0,0,0,239466
,,,Coolidge,0,1,0,0,11992
,,,Gilbert,2,0,0,0,211404
,,,Glendale,4,0,2,3,229931
,,,Maricopa,0,0,0,2,44098
,,,Mesa,2,3,1,2,445256
,,,Phoenix,27,33,35,28,1466097
,,,Prescott Valley,1,,0,0,39372
,,,Scottsdale,0,1,2,2,220462
,,,Somerton,1,0,0,0,14489
,,,Surprise,1,0,0,0,119181
,,,Tempe,0,2,0,1,164008
,,,Wickenburg,0,0,1,0,6453
,,,Yuma,1,1,0,1,94381
