Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2,,,,
2013,Alabama,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Florence,0,1,0,1,39481,,,,
,,,Hoover,0,1,0,0,84139,,,,
,,,Prattville,1,0,1,0,35154,,,,
,,,Tuscaloosa,0,0,1,0,94126,,,,
,Alaska,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Anchorage,2,3,3,0,299455,,,,
,Arizona,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Apache Junction,1,0,0,,36626,,,,
,,,Avondale,1,1,3,0,78905,,,,
,,,Eagar,0,1,0,0,5034,,,,
,,,El Mirage,0,0,1,0,32837,,,,
,,,Gilbert,1,0,0,0,225232,,,,
,,,Glendale,2,0,3,2,234006,,,,
,,,Goodyear,1,,1,0,71048,,,,
,,,Maricopa,0,0,0,1,44871,,,,
,,,Mesa,2,0,0,0,456155,,,,
,,,Phoenix,25,21,35,,1502139,,,,
,,,Prescott,0,0,0,1,40752,,,,
,,,Scottsdale,0,0,0,2,225523,,,,
,,,Tempe,2,0,1,0,168501,,,,
,,,Tucson,8,8,6,4,525486,,,,
,,,Yuma,3,5,0,2,96014,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Northern Arizona University,0,0,0,1,25991,,,,
,,,University of Arizona,2,0,0,0,40223,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Cochise,0,0,0,1,,,,,
,,,Maricopa,0,,,2,,,,,
,,,Pima,0,0,0,3,,,,,
,,,Yuma,0,1,0,1,,,,,
,Arkansas,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Bentonville,0,0,1,0,39132,,,,
,,,Berryville,0,0,1,0,5417,,,,
,,,Cabot,0,0,1,0,24695,,,,
,,,England,0,1,0,0,2806,,,,
,,,Fairfield Bay,0,0,1,0,2295,,,,
,,,Fort Smith,0,0,0,2,87821,,,,
,,,Gurdon,1,0,0,0,2184,,,,
,,,Marion,0,0,1,0,12258,,,,
,,,North Little Rock,0,1,0,0,65398,,,,
,,,Pine Bluff,1,0,0,0,46399,,,,
,,,Rogers,0,1,0,0,59787,,,,
,,,Sherwood,1,0,0,0,29900,,,,
,,Universities and Colleges,,,,,,,,,,
,,,"University of Arkansas, Pine Bluff",0,0,1,0,2828,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Crawford,0,2,1,1,,,,,
