Year,State,AgencyType,Agency Name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
2014,Alabama,Total,,,,,,
,,Cities,,,,,,
,,,Fairfield,,1,,,10913
,,,Hoover,1,0,0,1,84843
,,,Prattville,,3,1,,35530
,,,Sylacauga,,,1,1,12722
,Alaska,Total,,,,,,
,,Cities,,,,,,
,,,Anchorage,0,0,4,2,301306
,Arizona,Total,,,,,,
,,Cities,,,,,,
,,,Apache Junction,0,0,0,1,37274
,,,Avondale,1,1,0,1,79472
,,,Chandler,1,0,0,0,252369
,,,Cottonwood,1,0,0,0,11490
,,,El Mirage,0,1,0,0,33307
,,,Flagstaff,0,0,0,1,69490
,,,Gilbert,1,0,1,0,235430
,,,Glendale,2,3,3,1,236780
,,,Goodyear,1,0,0,0,74826
,,,Kingman,0,1,1,0,28526
,,,Mesa,0,3,1,6,462092
,,,Oro Valley,0,1,0,0,41764
,,,Phoenix,37,41,47,58,1529852
,,,Scottsdale,2,0,1,2,229325
,,,Tempe,1,0,0,1,169812
,,,Tucson,1,4,3,1,527328
,,,Yuma,5,7,2,0,92075
,,Universities and Colleges,,,,,,
,,,Northern Arizona University,8,0,1,1,26594
,,Metropolitan Counties,,,,,,
,,,Maricopa,1,0,2,1,
,,,Pinal,0,1,0,0,
,,,Yavapai,0,,1,0,
,,,Yuma,1,1,1,0,
,Arkansas,Total,,,,,,
,,Cities,,,,,,
,,,Fort Smith,1,1,2,0,87989
,,,Rogers,0,1,0,0,61105
,,Universities and Colleges,,,,,,
,,,"University of Arkansas, Fayetteville",0,0,1,0,25341
,,Metropolitan Counties,,,,,,
,,,Pulaski,0,0,1,0,
,,Nonmetropolitan Counties,,,,,,
,,,Baxter,0,0,1,0,
,California,Total,,,,,,
,,Cities,,,,,,
,,,Adelanto,0,1,0,1,31213
,,,Alameda,2,2,0,0,77048
,,,Alhambra,0,0,1,0,84931
,,,Antioch,0,2,2,1,108223
,,,Apple Valley,1,1,0,0,71329
,,,Arcata,0,0,0,1,17748
,,,Arvin,0,1,0,0,20541
,,,Azusa,0,0,1,0,48224
,,,Bakersfield,1,0,2,3,367406
,,,Barstow,1,0,0,0,23349
,,,Berkeley,2,0,1,0,117753
,,,Beverly Hills2,0,0,1,0,34788
,,,Brea,0,0,1,0,41359
,,,Brentwood,1,0,1,0,55826
,,,Buellton,0,0,1,0,4997
,,,Buena Park,0,2,0,0,83414
,,,Burbank,0,1,0,0,105041
,,,Camarillo,1,2,0,0,66272
,,,Carson,0,0,2,0,92838
,,,Central Marin,0,1,0,0,34450
,,,Cerritos,1,0,0,0,49867
,,,Chico,1,0,2,0,88562
,,,Chino,1,0,1,1,81600
,,,Chino Hills,0,1,0,0,76972
,,,Chula Vista,3,0,0,0,259894
,,,City of Angels,0,1,0,0,3716
,,,Claremont,1,0,2,2,36042
,,,Clearlake,0,1,0,0,14914
,,,Coalinga,0,0,1,0,16445
,,,Colusa,0,0,1,0,5942
,,,Compton,0,2,1,0,98224
,,,Cupertino,1,0,0,0,60564
,,,Daly City2,0,0,1,1,105628
,,,Dana Point,1,0,2,0,34244
,,,Davis,0,0,2,0,66360
,,,Dublin,0,0,2,0,53795
,,,El Cerrito,5,1,2,0,24485
,,,El Monte,2,0,1,2,116220
,,,Escondido,0,2,2,0,149839
,,,Eureka,1,0,0,0,26843
,,,Fairfield,0,0,0,1,110300
,,,Fontana,1,0,0,2,204532
,,,Fort Bragg,0,1,0,0,7245
,,,Fremont,1,0,0,0,227575
,,,Fresno,4,2,2,4,513187
,,,Fullerton,0,1,0,0,139895
,,,Galt,1,1,0,0,24671
,,,Gardena,0,0,1,0,60233
,,,Garden Grove,0,1,0,1,176106
,,,Gilroy,1,0,1,0,52415
,,,Glendale,1,0,1,0,197079
,,,Goleta,0,1,1,0,30669
,,,Grass Valley,0,0,1,0,12777
,,,Grover Beach,0,0,1,0,13497
,,,Hawaiian Gardens,0,1,0,0,14490
,,,Hayward,0,1,0,2,153319
,,,Healdsburg,0,0,1,0,11569
,,,Hemet,0,0,1,0,82412
,,,Hercules,0,0,1,0,25026
,,,Hesperia,0,0,1,0,92592
,,,Highland,0,1,1,1,54559
,,,Huntington Beach,1,0,2,0,199152
,,,Imperial Beach,1,0,0,0,27234
