Year,State,Agency Type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
2015,Alabama,Total,,,,,,
,,Cities,,,,,,
,,,Birmingham,1,1,1,2,212291
,,,Hoover,0,3,1,0,85163
,,,Prattville,0,1,,0,35637
,Alaska,Total,,,,,,
,,Cities,,,,,,
,,,Anchorage,1,1,2,1,301239
,,,Kotzebue,0,1,0,0,3304
,,,North Pole,0,1,0,0,2190
,,,Soldotna,0,0,0,1,4512
,Arizona,Total,,,,,,
,,Cities,,,,,,
,,,Apache Junction,1,1,0,0,38519
,,,Avondale,0,0,0,2,80533
,,,Chandler,0,0,1,0,258875
,,,El Mirage,0,1,0,0,33985
,,,Gilbert,2,1,1,0,247324
,,,Glendale,2,2,2,2,240374
,,,Holbrook,0,1,0,0,5007
,,,Mesa,1,0,1,2,471034
,,,Nogales,0,0,0,1,20312
,,,Phoenix,76,77,44,34,1559744
,,,Prescott,1,,0,0,41393
,,,Scottsdale,2,0,1,0,233872
,,,Tucson,2,0,1,1,529675
,,,Williams,0,1,,,3110
,,,Yuma,0,2,1,1,93923
,,Universities and Colleges,,,,,,
,,,"Arizona State University, Main Campus",1,1,0,0,83260
,,Metropolitan Counties,,,,,,
,,,Maricopa,1,0,0,0,
,,,Pima,0,2,0,0,
,,,Pinal,,1,,,
,,,Yavapai,1,0,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Graham,1,0,0,0,
,Arkansas,Total,,,,,,
,,Cities,,,,,,
,,,Bryant,1,0,0,0,20404
,,,Fort Smith,1,0,0,1,87603
,,Metropolitan Counties,,,,,,
,,,Sebastian,0,1,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Boone,1,0,0,0,
,California,Total,,,,,,
,,Cities,,,,,,
,,,Alameda,1,0,1,0,78613
,,,Alhambra,0,0,1,0,86175
,,,Antioch,2,1,2,3,110537
,,,Azusa,0,2,1,0,49431
,,,Bakersfield,3,0,0,1,373887
,,,Banning,0,1,1,0,31030
,,,Bellflower,0,1,0,1,78635
,,,Bell Gardens,0,1,0,1,43411
,,,Berkeley,0,1,0,3,120387
,,,Beverly Hills,0,2,0,0,35054
,,,Brisbane,0,1,0,1,4696
,,,Buena Park,0,0,0,1,83684
,,,Burbank,0,1,0,0,105865
,,,Calabasas,0,0,1,0,24505
,,,Camarillo,0,1,0,0,67325
,,,Carmel,0,0,1,0,3913
,,,Carson,1,1,1,0,93677
,,,Chino Hills,0,0,0,1,77515
,,,Chula Vista,0,1,1,1,265215
,,,Citrus Heights,0,0,0,2,86853
,,,Claremont,0,2,0,2,36331
,,,Clearlake,2,0,3,2,15044
,,,Clovis,0,0,1,1,103769
,,,Coachella,0,0,0,1,44953
,,,Colton,0,1,0,0,54503
,,,Commerce,0,0,1,0,13137
,,,Compton,0,1,1,0,99125
,,,Concord,2,0,0,3,128767
,,,Covina,1,0,0,0,49300
,,,Cypress,1,1,0,0,49560
,,,Daly City,1,0,1,0,107320
,,,Davis,5,0,1,0,67034
,,,Diamond Bar,1,0,1,0,57085
,,,East Palo Alto,0,0,1,1,29864
,,,El Cajon,1,0,0,0,103942
,,,El Cerrito,0,1,1,0,24842
,,,Elk Grove,1,0,1,0,166183
,,,El Monte,2,0,0,1,117376
,,,El Segundo,0,0,1,0,17164
,,,Escondido,2,1,1,2,151732
,,,Eureka,1,0,1,0,26858
,,,Fairfield,0,0,1,0,112582
,,,Firebaugh,1,0,0,0,8484
,,,Folsom,0,0,1,1,76183
,,,Fort Bragg,0,0,1,0,7310
,,,Foster City,0,0,1,0,33313
,,,Fremont,2,1,0,0,232427
,,,Fresno,3,1,5,1,520837
,,,Fullerton,1,0,0,1,140771
,,,Galt,2,0,0,0,25106
,,,Garden Grove,2,0,0,0,176041
,,,Glendale,0,0,2,0,202298
,,,Glendora,0,0,1,0,51753
,,,Goleta,1,0,0,0,31011
,,,Greenfield,0,0,1,0,17061
,,,Gridley,0,0,0,1,6580
,,,Hanford,0,1,0,2,55299
,,,Hawaiian Gardens,1,0,0,1,14629
,,,Hawthorne,1,0,2,1,88410
,,,Hayward,0,1,3,0,157157
,,,Hemet,1,0,0,1,84030
,,,Hermosa Beach,1,0,0,0,19986
,,,Hesperia,1,0,0,1,93348
,,,Hollister,0,0,0,1,37604
,,,Huntington Beach,0,1,1,2,203233
,,,Huntington Park,3,0,1,0,59668
,,,Imperial,0,1,0,0,17338
,,,Imperial Beach,0,1,0,0,27341
,,,Indio,0,0,1,0,87195
,,,Industry,0,1,0,0,206
,,,Irvine,0,1,1,1,258198
,,,Jurupa Valley,0,0,1,0,99706
,,,Kerman,0,0,1,0,14595
,,,Laguna Beach,0,0,2,0,23485
,,,Lake Elsinore,1,0,0,0,61871
,,,Lake Forest,0,0,1,3,80798
,,,Lakewood,0,0,0,2,82047
,,,La Mirada,1,0,0,1,49685
,,,Lancaster,0,2,2,3,162095
,,,Lawndale,1,0,0,0,33605
,,,Lemoore,0,0,0,1,25348
,,,Livermore,3,1,1,0,88316
,,,Lodi,0,1,0,1,64369
,,,Lomita,0,0,1,0,20893
,,,Long Beach,3,3,4,2,476318
,,,Los Alamitos,1,0,0,0,11789
,,,Los Angeles,45,53,41,53,3962726
,,,Los Gatos,0,0,1,0,31044
,,,Malibu,0,0,1,0,13033
,,,Manhattan Beach,0,0,0,1,36065
,,,Manteca,1,0,1,0,75019
,,,Marina,1,0,0,0,21094
,,,Marysville,1,0,0,0,12264
,,,Menifee,0,1,0,0,87051
,,,Merced,0,0,0,1,82409
,,,Mission Viejo,0,0,0,1,98217
,,,Modesto,0,2,0,2,210794
,,,Montebello,1,0,0,0,64280
,,,Monterey Park,3,0,1,0,61750
,,,Moorpark,0,0,0,1,35804
,,,Moreno Valley,0,0,0,1,205182
,,,Napa,0,1,0,0,80749
,,,National City,0,1,0,0,60768
,,,Newark,0,0,0,1,45258
,,,Newport Beach,2,0,0,0,87749
,,,Norwalk,2,0,1,0,107470
,,,Oakland,2,9,6,1,419481
,,,Oceanside,0,0,1,1,176319
,,,Ontario,0,0,0,2,170274
,,,Orange,0,1,2,0,140572
,,,Oxnard,0,4,3,0,207221
,,,Palmdale,1,0,1,0,159613
,,,Palm Desert,1,0,0,0,51847
,,,Palm Springs,0,2,0,1,47388
,,,Palo Alto,0,1,1,1,67560
,,,Paramount,1,1,0,0,55727
,,,Pasadena,0,0,1,1,141815
,,,Placentia,0,2,0,0,52753
,,,Pleasant Hill,0,1,0,0,34829
,,,Port Hueneme,1,0,0,0,22249
,,,Rancho Cucamonga,2,1,0,1,176376
,,,Rancho Palos Verdes,0,0,2,0,42993
,,,Redding,1,4,2,4,92020
,,,Redlands,0,1,0,1,71078
,,,Redondo Beach,0,1,0,0,68492
,,,Rialto,0,1,0,0,103590
,,,Richmond,0,0,0,1,109716
,,,Riverside,0,0,5,2,323064
,,,Roseville,0,2,0,0,131039
,,,Sacramento,1,4,2,1,489717
,,,Salinas,0,0,2,1,158185
,,,San Bernardino,1,2,1,0,216477
,,,San Diego,10,9,6,11,1400467
,,,San Dimas,0,1,0,0,34955
,,,San Francisco,8,11,7,2,863782
,,,San Jacinto,0,1,0,0,47022
,,,San Jose,2,1,0,3,1031458
,,,San Juan Capistrano,0,1,0,0,36666
,,,San Leandro,1,0,1,1,90438
,,,San Marino,0,0,1,0,13491
