Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
per Bias Motivation and Quarter,,,,,,,,,,,,,,,,,
"by State and Agency, 2012",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2,,,,,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,,,
Alabama,Total,,3,2,0,1,0,,,,,,,,,, 
,Cities,,3,2,0,1,0,,,,,,,,,,
,,Hoover,3,2,0,1,0,2,3,1,0,"82,332",,,,,
Alaska,Total,,5,1,0,0,0,,,,,,,,,,
,Cities,,5,1,0,0,0,,,,,,,,,,
,,Anchorage,5,1,0,0,0,0,4,1,1,"299,143",,,,,
Arizona,Total,,75,25,43,32,1,,,,,,,,,,
,Cities,,71,23,42,30,1,,,,,,,,,,
,,Apache Junction,1,0,0,0,0,0,0,1,0,"36,986",,,,,
,,Coolidge,1,0,0,0,0,0,,0,1,"12,206",,,,,
,,Flagstaff,1,2,2,0,0,0,2,0,3,"66,633",,,,,
,,Gilbert,2,0,0,0,0,0,1,0,1,"214,264",,,,,
,,Glendale,2,2,2,2,0,1,,4,3,"232,997",,,,,
,,Maricopa,1,0,1,1,0,2,1,0,0,"44,881",,,,,
,,Mesa,0,2,0,0,0,,,0,2,"451,391",,,,,
,,Paradise Valley,0,1,0,0,0,1,,0,0,"13,177",,,,,
,,Phoenix,59,8,32,22,0,47,,39,35,"1,485,509",,,,,
,,Prescott Valley,0,0,1,0,0,1,,0,0,"39,407",,,,,
,,Scottsdale,1,2,0,0,0,,,1,2,"223,432",,,,,
,,Show Low,0,0,0,1,0,0,0,1,0,"10,773",,,,,
,,Tempe,1,2,2,0,0,0,,3,2,"166,061",,,,,
,,Tucson,2,4,2,2,0,,,4,6,"531,535",,,,,
,,Willcox,0,0,0,0,1,1,0,0,0,"3,837",,,,,
,,Yuma,0,0,0,2,0,1,,1,0,"95,568",,,,,
,Universities and Colleges,,1,1,1,1,0,,,,,,,,,,
,,"Arizona State University, Main Campus",0,0,1,1,0,0,0,2,0,"72,254",,,,,
,,University of Arizona,1,1,0,0,0,0,1,1,0,"39,236",,,,,
,Metropolitan Counties,,2,1,0,1,0,, ,,,,,,,,
,,Maricopa,2,0,0,0,0,1,,1,0,,,,,,
,,Mohave,0,1,0,0,0,0,0,1,0,,,,,,
,,Pima,0,0,0,1,0,,1,,0,,,,,,
,Other Agencies,,1,0,0,0,0,,,,,,,,,,
,,Tucson Airport Authority,1,0,0,0,0,1,,0,0,,,,,,
Arkansas,Total,,11,3,13,2,1,,,,,,,,,,
,Cities,,9,3,12,1,1,,,,,,,,,,
,,Benton,0,0,1,0,0,0,0,1,0,"31,486",,,,,
,,Bentonville,0,2,0,0,0,2,0,0,0,"36,433",,,,,
,,Bryant,1,0,0,0,0,0,0,0,1,"17,129",,,,,
,,Fort Smith,0,0,1,0,0,0,0,1,0,"87,483",,,,,
,,Jonesboro,1,0,0,0,0,0,1,0,0,"68,807",,,,,
,,McGehee,1,0,0,0,0,1,0,0,0,"4,157",,,,,
,,Newport,1,0,0,0,0,0,1,0,0,"7,862",,,,,
,,Ola,1,0,0,0,0,1,0,0,0,"1,276",,,,,
,,Paragould,1,0,0,0,0,1,0,0,0,"26,602",,,,,
,,Pine Bluff,0,1,1,0,0,0,0,2,0,"48,522",,,,,
,,Rogers,0,0,1,0,0,1,0,0,0,"57,757",,,,,
,,Sherwood,2,0,7,0,0,5,2,1,1,"29,914",,,,,
,,Springdale,1,0,1,1,1,2,0,0,2,"71,668",,,,,
,Universities and Colleges,,1,0,1,0,0,,,,,,,,,,
,,University of Arkansas:,,,,,,,,,,,,,,,
,,Fayetteville,1,0,0,0,0,0,0,0,1,"23,199",,,,,
,,Little Rock,0,0,1,0,0,0,0,0,1,"13,068",,,,,
,Metropolitan Counties,,1,0,0,0,0,,,,,,,,,,
,,Pulaski,1,0,0,0,0,0,0,0,1,,,,,,
,Nonmetropolitan Counties,,0,0,0,1,0,,,,, ,,,,,
,,Independence,0,0,0,1,0,1,0,0,0,,,,,,
California,Total, ,379,144,234,151,2,,,,,,,,,,
