State,Agency type,Agency name,q01,q02,q02,q04,Population,From,,,
Kentucky,Total,,,,,,,Addendum,,,
,Cities,,,,,,,Addendum,,,
,,Louisville Metro,1,3,3,2,"666,200",Addendum,,, 
Massachusetts,Total,,,,,,,Addendum,,,
,Cities,,,,,,,Addendum,,,
,,Bolton,1,1,0,0,"4,959",Addendum,,,
,,Boston,37,38,21,27,"630,648",Addendum,,,
,,Salem,,,2,0,"42,025",Addendum,,,
,Universities and Colleges,,,,,,,Addendum,,,
,,Clark University,1,,,1,"3,462",Addendum,,,
,,Northeastern University,1,,1,1,"26,959",Addendum,,,
,,"Tufts University, Medford",0,1,0,0,"10,777",Addendum,,,
,State Police Agencies,,,,,,,Addendum,,,
,,Berkshire County,,,,1,,Addendum,,,
New Jersey,Total,,,,,,,Addendum,,,
,Cities,,,,,,,Addendum,,,
,,Aberdeen Township,0,0,1,0,"18,319",Addendum,,,
,,Allendale,0,0,0,1,"6,580",Addendum,,,
,,Barnegat Township,1,2,1,0,"21,141",Addendum,,,
,,Bayonne,0,0,1,0,"64,036",Addendum,,,
,,Bedminster Township,0,1,0,0,"8,242",Addendum,,,
,,Belmar,0,0,1,0,"5,829",Addendum,,,
,,Bergenfield,0,0,0,1,"27,072",Addendum,,,
,,Bernards Township,0,1,0,1,"26,903",Addendum,,,
,,Bradley Beach,0,0,1,0,"4,323",Addendum,,,
,,Brick Township,0,1,0,0,"75,809",Addendum,,,
,,Bridgeton,0,1,0,0,"25,378",Addendum,,,
,,Camden ,0,1,2,1,"77,665",Addendum,,,
,,Carney's Point Township,1,0,0,0,"8,068",Addendum,,,
,,Clinton Township,0,0,1,0,"13,514",Addendum,,,
,,Colts Neck Township,0,0,1,2,"10,201",Addendum,,,
,,Cranbury Township,1,1,1,0,"3,897",Addendum,,,
,,Cranford Township,0,1,0,0,"22,864",Addendum,,,
,,Delanco Township,1,0,1,0,"4,312",Addendum,,,
,,Eastampton Township,0,1,0,0,"6,109",Addendum,,,
,,East Brunswick Township,4,1,0,0,"48,009",Addendum,,,
,,East Greenwich Township,0,0,1,1,"9,630",Addendum,,,
,,East Hanover Township,0,1,2,0,"11,274",Addendum,,,
,,East Orange,0,0,1,0,"64,682",Addendum,,,
,,East Windsor Township,0,0,1,1,"27,389",Addendum,,,
,,Edison Township,2,2,1,1,"101,007",Addendum,,,
,,Egg Harbor City,0,0,1,0,"4,261",Addendum,,,
,,Egg Harbor Township,1,0,3,1,"43,501",Addendum,,,
,,Elmwood Park,1,0,1,0,"19,627",Addendum,,,
,,Evesham Township,2,1,4,5,"45,849",Addendum,,,
,,Ewing Township,2,2,0,2,"36,388",Addendum,,,
,,Fair Lawn,4,0,0,1,"32,830",Addendum,,,
,,Florence Township,1,0,0,0,"12,192",Addendum,,,
,,Fort Lee,0,1,0,1,"35,754",Addendum,,,
,,Franklin Lakes,0,0,1,1,"10,712",Addendum,,,
,,"Franklin Township, Gloucester County",0,1,0,0,"16,952",Addendum,,,
,,Freehold,2,1,1,0,"12,122",Addendum,,,
,,Freehold Township,2,3,1,0,"36,397",Addendum,,,
,,Galloway Township,4,2,0,2,"37,506",Addendum,,,
,,Gibbsboro,1,0,0,0,"2,283",Addendum,,,
,,Glassboro,0,0,0,2,"18,718",Addendum,,,
,,Glen Ridge,0,1,0,0,"7,576",Addendum,,,
,,Glen Rock,1,0,0,0,"11,734",Addendum,,,
,,Green Brook Township,1,0,0,0,"7,270",Addendum,,,
,,Guttenberg,0,0,1,0,"11,355",Addendum,,,
,,Haddonfield,0,0,0,1,"11,639",Addendum,,,
,,Haddon Township,0,2,0,0,"14,766",Addendum,,,
,,"Hamilton Township, Mercer County",0,0,1,0,"89,111",Addendum,,,
,,Hammonton,2,0,0,0,"14,852",Addendum,,,
,,Hardyston Township,0,0,0,1,"8,212",Addendum,,,
,,Harrison,1,0,0,0,"13,841",Addendum,,,
,,Harrison Township,0,1,1,1,"12,514",Addendum,,,
,,Hawthorne,0,2,0,0,"18,914",Addendum,,,
,,Highland Park,10,2,1,2,"14,129",Addendum,,,
,,Highlands,0,0,1,0,"5,035",Addendum,,,
,,Hightstown,1,1,0,0,"5,533",Addendum,,,
,,Hillsborough Township,1,0,0,1,"38,665",Addendum,,,
,,Hillside Township,0,0,1,0,"21,630",Addendum,,,
,,Hoboken,4,3,1,1,"50,794",Addendum,,,
,,Howell Township,5,5,1,4,"51,379",Addendum,,,
,,Jackson Township,1,0,0,0,"55,400",Addendum,,,
,,Jamesburg,1,0,0,0,"5,977",Addendum,,,
,,Jefferson Township,1,0,0,0,"21,539",Addendum,,,
,,Jersey City,1,0,0,0,"251,554",Addendum,,,
,,Keansburg,2,7,2,0,"10,166",Addendum,,,
,,Kearny,2,3,1,0,"41,310",Addendum,,,
,,Lacey Township,0,1,2,1,"27,918",Addendum,,,
,,Lakewood Township,11,10,11,5,"93,742",Addendum,,,
,,Lincoln Park,1,0,0,0,"10,628",Addendum,,,
,,Linden,1,1,0,0,"40,926",Addendum,,,
,,Little Egg Harbor Township,1,2,0,1,"20,261",Addendum,,,
,,Little Falls Township,0,1,0,0,"14,520",Addendum,,,
,,Lodi,0,2,0,0,"24,415",Addendum,,,
,,Long Hill Township,0,0,0,1,"8,794",Addendum,,,
,,Lower Township,1,0,0,0,"22,819",Addendum,,,
,,Madison,1,0,0,0,"16,002",Addendum,,,
,,Manalapan Township,2,2,6,0,"39,105",Addendum,,,
,,Manasquan,1,2,0,1,"5,932",Addendum,,,
,,Manchester Township,0,1,2,1,"43,491",Addendum,,,
,,Maple Shade Township,0,0,2,1,"19,261",Addendum,,,
,,Margate City,0,0,1,0,"6,380",Addendum,,,
,,Marlboro Township,1,2,2,0,"40,430",Addendum,,,
,,Matawan,1,0,0,0,"8,862",Addendum,,,
,,Maywood,1,0,0,0,"9,665",Addendum,,,
,,Medford Township,9,2,0,3,"23,191",Addendum,,,
,,Middlesex,1,1,4,0,"13,778",Addendum,,,
,,Middletown Township,1,1,1,1,"66,919",Addendum,,,
,,"Monroe Township, Gloucester County",0,1,0,0,"36,410",Addendum,,,
,,"Monroe Township, Middlesex County",0,4,6,3,"39,539",Addendum,,,
,,Montclair,9,3,0,3,"37,912",Addendum,,,
,,Montgomery Township,1,2,2,0,"22,464",Addendum,,,
,,Moorestown Township,1,0,1,0,"20,868",Addendum,,,
,,Morris Township,0,1,0,0,"22,534",Addendum,,,
,,Mount Holly Township,0,1,0,0,"9,602",Addendum,,,
,,Mount Laurel Township,3,4,0,0,"42,150",Addendum,,,
,,Mount Olive Township,0,1,0,0,"28,412",Addendum,,,
,,Neptune Township,5,5,0,5,"28,101",Addendum,,,
,,Newark,1,0,1,3,"278,906",Addendum,,,
,,New Brunswick,6,3,4,2,"55,717",Addendum,,,
,,New Providence,0,0,1,0,"12,298",Addendum,,,
,,North Hanover Township,0,0,1,0,"7,730",Addendum,,,
,,North Plainfield,1,0,0,1,"22,143",Addendum,,,
,,North Wildwood,0,0,0,1,"4,033",Addendum,,,
,,Nutley Township,0,0,1,1,"28,554",Addendum,,,
,,Ocean Gate,0,0,0,1,"2,032",Addendum,,,
,,Old Bridge Township,2,0,2,0,"66,057",Addendum,,,
,,Palisades Park,2,0,0,0,"19,849",Addendum,,,
,,Palmyra,1,2,1,0,"7,447",Addendum,,,
,,Paramus,2,0,0,0,"26,638",Addendum,,,
,,Park Ridge,0,0,0,1,"8,744",Addendum,,,
,,Parsippany-Troy Hills Township,0,0,1,0,"53,793",Addendum,,,
,,Passaic,1,0,0,0,"70,237",Addendum,,,
,,Paulsboro,0,0,1,0,"6,143",Addendum,,,
,,Pemberton Township,1,0,0,1,"28,104",Addendum,,,
,,Pennsauken Township,0,1,0,0,"36,033",Addendum,,,
,,Phillipsburg,0,1,0,0,"14,973",Addendum,,,
,,Pine Hill,0,0,0,1,"10,273",Addendum,,,
,,Piscataway Township,0,1,2,0,"56,593",Addendum,,,
,,Point Pleasant,0,0,0,1,"18,572",Addendum,,,
,,Point Pleasant Beach,1,0,0,0,"4,711",Addendum,,,
,,Pompton Lakes,0,1,2,2,"11,169",Addendum,,,
,,Princeton Township,0,0,0,3,"16,384",Addendum,,,
,,Randolph Township,1,0,0,0,"26,004",Addendum,,,
,,Raritan,1,0,0,0,"6,945",Addendum,,,
,,Ridgewood,0,0,0,1,"25,244",Addendum,,,
,,Ringwood,1,1,0,0,"12,306",Addendum,,,
,,Riverside Township,2,2,0,1,"8,135",Addendum,,,
,,Robbinsville Township,0,1,2,0,"13,741",Addendum,,,
,,Runnemede,3,0,0,0,"8,504",Addendum,,,
,,Rutherford,1,0,0,0,"18,268",Addendum,,,
,,Saddle Brook Township,0,0,0,1,"13,816",Addendum,,,
,,Sayreville,1,0,0,0,"43,151",Addendum,,,
,,Sea Isle City,0,0,1,0,"2,109",Addendum,,,
,,Seaside Park,0,0,1,0,"1,595",Addendum,,,
,,Secaucus,0,1,1,0,"16,517",Addendum,,,
,,Somerville,0,1,0,0,"12,210",Addendum,,,
,,South Brunswick Township,2,3,0,0,"43,875",Addendum,,,
,,South Harrison Township,1,0,0,0,"3,188",Addendum,,,
,,South Orange,0,0,1,0,"16,301",Addendum,,,
,,South Plainfield,1,0,0,2,"23,629",Addendum,,,
,,Spotswood,0,0,0,1,"8,342",Addendum,,,
,,Stafford Township,2,0,1,0,"26,796",Addendum,,,
,,Teaneck Township,3,0,0,0,"40,230",Addendum,,,
,,Tenafly,0,1,0,0,"14,654",Addendum,,,
,,Tinton Falls,3,3,1,2,"17,999",Addendum,,,
,,Upper Saddle River,0,1,0,0,"8,304",Addendum,,,
,,Verona,0,0,1,1,"13,418",Addendum,,,
,,Washington,0,1,0,0,"6,472",Addendum,,,
,,"Washington Township, Warren County",1,0,0,0,"6,662",Addendum,,,
,,Watchung,0,1,0,0,"5,857",Addendum,,,
,,Waterford Township,1,0,0,0,"10,693",Addendum,,,
,,Weehawken Township,0,0,1,0,"12,758",Addendum,,,
,,Westampton Township,0,1,1,1,"8,873",Addendum,,,
,,West Deptford Township,0,3,0,0,"21,847",Addendum,,,
,,Westfield,1,0,0,0,"30,637",Addendum,,,
,,West Orange,0,0,2,0,"46,505",Addendum,,,
,,Westville,1,0,0,0,"4,322",Addendum,,,
,,West Windsor Township,0,0,0,1,"27,363",Addendum,,,
,,Westwood,0,0,1,0,"11,033",Addendum,,,
,,Willingboro Township,0,1,0,0,"31,844",Addendum,,,
,,Woodbridge Township,1,1,4,1,"100,612",Addendum,,,
,,Woodbury,3,0,0,1,"10,251",Addendum,,,
,,Woodbury Heights,1,0,0,0,"3,078",Addendum,,,
Texas,Total,,,,,,,Addendum,,,
,Cities,,,,,,,Addendum,,,
,,Arlington,0,2,0,0,"379,295",Addendum,,,
,,Austin,2,0,0,4,"832,901",Addendum,,,
,,Bay City,0,0,1,0,"17,928",Addendum,,,
,,Burkburnett,1,0,0,0,"10,901",Addendum,,,
,,Burleson,0,1,0,0,"37,774",Addendum,,,
,,Center,1,0,0,0,"5,307",Addendum,,,
