State,Agency type,Agency name,q01,q02,q03,q04,Population,From
Massachusetts,Cities,Leverett,0,0,0,0,"1,874",Addendum
,Universities and Colleges,Holyoke Community College,,,,0,"7,144",Addendum
New Jersey,Cities,Absecon,0,0,0,0,"8,447",Addendum
,,Allenhurst,0,0,0,0,499,Addendum
,,Allentown,0,0,0,0,"1,840",Addendum
,,Alpha,0,0,0,0,"2,374",Addendum
,,Alpine,0,0,0,0,"1,870",Addendum
,,Andover Township,0,0,0,0,"6,321",Addendum
,,Asbury Park,0,0,0,0,"16,211",Addendum
,,Atlantic City,0,0,0,0,"39,722",Addendum
,,Atlantic Highlands,0,0,0,0,"4,410",Addendum
,,Audubon,0,0,0,0,"8,856",Addendum
,,Audubon Park,0,0,0,0,"1,027",Addendum
,,Avalon,0,0,0,0,"1,332",Addendum
,,Avon-by-the-Sea,0,0,0,0,"1,912",Addendum
,,Barnegat Light,0,0,0,0,580,Addendum
,,Barrington,0,0,0,0,"7,012",Addendum
,,Bay Head,0,0,0,0,978,Addendum
,,Beach Haven,0,0,0,0,"1,185",Addendum
,,Beachwood,0,0,0,0,"11,154",Addendum
,,Belleville,0,0,0,0,"36,158",Addendum
,,Bellmawr,0,0,0,0,"11,629",Addendum
,,Belvidere,0,0,0,0,"2,686",Addendum
,,Berkeley Heights Township,0,0,0,0,"13,319",Addendum
,,Berkeley Township,0,0,0,0,"41,659",Addendum
,,Berlin,0,0,0,0,"7,620",Addendum
,,Berlin Township,0,0,0,0,"5,379",Addendum
,,Bernardsville,0,0,0,0,"7,779",Addendum
,,Beverly,0,0,0,0,"2,595",Addendum
,,Blairstown Township,0,0,0,0,"5,976",Addendum
,,Bloomfield,0,0,0,0,"47,620",Addendum
,,Bloomingdale,0,0,0,0,"7,705",Addendum
,,Bogota,0,0,0,0,"8,282",Addendum
,,Boonton,0,0,0,0,"8,435",Addendum
,,Boonton Township,0,0,0,0,"4,307",Addendum
,,Bordentown,0,0,0,0,"3,949",Addendum
,,Bordentown Township,0,0,0,0,"11,444",Addendum
,,Bound Brook,0,0,0,0,"10,500",Addendum
,,Branchburg Township,0,0,0,0,"14,597",Addendum
,,Bridgewater Township,0,0,0,0,"44,884",Addendum
,,Brielle,0,0,0,0,"4,802",Addendum
