Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
2012,Alabama,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Hoover,2,3,1,0,82332
,Alaska,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Anchorage,0,4,1,1,299143
,Arizona,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Apache Junction,0,0,1,0,36986
, Nan, Nan,Coolidge,0, Nan,0,1,12206
, Nan, Nan,Flagstaff,0,2,0,3,66633
, Nan, Nan,Gilbert,0,1,0,1,214264
, Nan, Nan,Glendale,1, Nan,4,3,232997
, Nan, Nan,Maricopa,2,1,0,0,44881
, Nan, Nan,Mesa, Nan, Nan,0,2,451391
, Nan, Nan,Paradise Valley,1, Nan,0,0,13177
, Nan, Nan,Phoenix,47, Nan,39,35,1485509
, Nan, Nan,Prescott Valley,1, Nan,0,0,39407
, Nan, Nan,Scottsdale, Nan, Nan,1,2,223432
, Nan, Nan,Show Low,0,0,1,0,10773
, Nan, Nan,Tempe,0, Nan,3,2,166061
, Nan, Nan,Tucson, Nan, Nan,4,6,531535
, Nan, Nan,Willcox,1,0,0,0,3837
, Nan, Nan,Yuma,1, Nan,1,0,95568
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,"Arizona State University, Main Campus",0,0,2,0,72254
, Nan, Nan,University of Arizona,0,1,1,0,39236
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Maricopa,1, Nan,1,0,
, Nan, Nan,Mohave,0,0,1,0,
, Nan, Nan,Pima, Nan,1, Nan,0,
, Nan,Other Agencies, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Tucson Airport Authority,1, Nan,0,0,
,Arkansas,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Benton,0,0,1,0,31486
, Nan, Nan,Bentonville,2,0,0,0,36433
, Nan, Nan,Bryant,0,0,0,1,17129
, Nan, Nan,Fort Smith,0,0,1,0,87483
, Nan, Nan,Jonesboro,0,1,0,0,68807
, Nan, Nan,McGehee,1,0,0,0,4157
, Nan, Nan,Newport,0,1,0,0,7862
, Nan, Nan,Ola,1,0,0,0,1276
, Nan, Nan,Paragould,1,0,0,0,26602
, Nan, Nan,Pine Bluff,0,0,2,0,48522
, Nan, Nan,Rogers,1,0,0,0,57757
, Nan, Nan,Sherwood,5,2,1,1,29914
, Nan, Nan,Springdale,2,0,0,2,71668
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,University of Arkansas:, Nan, Nan, Nan, Nan,
, Nan, Nan,Fayetteville,0,0,0,1,23199
, Nan, Nan,Little Rock,0,0,0,1,13068
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Pulaski,0,0,0,1,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Independence,1,0,0,0,
,California,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Adelanto,0,0,1,0,32520
, Nan, Nan,Agoura Hills,0,1,3,0,20667
, Nan, Nan,Aliso Viejo,0,0,1,0,48999
, Nan, Nan,Anaheim,0,0,0,1,344526
, Nan, Nan,Antioch,0,2,1,1,105009
, Nan, Nan,Apple Valley,0,0,0,2,70823
, Nan, Nan,Arcata,0,1,0,0,17408
, Nan, Nan,Atascadero,0,1,0,0,28825
, Nan, Nan,Azusa,1,0,1,1,47111
, Nan, Nan,Bakersfield,0,0,3,1,355696
, Nan, Nan,Bellflower,0,0,0,1,77886
, Nan, Nan,Benicia,1,0,0,0,27459
, Nan, Nan,Berkeley,1,1,5,1,114961
, Nan, Nan,Beverly Hills,0,2,2,1,34677
, Nan, Nan,Brentwood,0,1,0,0,52811
, Nan, Nan,Buena Park,0,2,1,0,82505
, Nan, Nan,Burbank,2,5,1,1,105057
, Nan, Nan,Calabasas,0,1,1,0,23442
, Nan, Nan,Calimesa,0,0,0,2,8136
