year,state,agencyName,q01,q02,q03,q04,population
2010,Alabama,Abbeville,0,DNR,0,DNR,2950
2010,Georgia,Abbeville,0,0,DNR,DNR,2828
2010,South Carolina,Abbeville,0,0,0,0,5443
2011,South Carolina,Abbeville,0,0,1,0,5298
2011,Georgia,Abbeville,0,0,0,0,2946
2012,Georgia,Abbeville,0,0,0,DNR,"2,946"
2012,South Carolina,Abbeville,0,0,0,0,"5,232"
2013,Georgia,Abbeville,0,0,0,0,2888
2013,South Carolina,Abbeville,0,0,0,0,5163
2014,South Carolina,Abbeville,0,0,1,0,5163
2014,Georgia,Abbeville,0,0,0,0,2869
2015,Georgia,Abbeville,0,0,0,0,2784
2015,South Carolina,Abbeville,0, DNR, DNR, DNR,5173
2016,Georgia,Abbeville,0,0,0,0,2796
2016,South Carolina,Abbeville,0,0,0,0,5177
2010,Idaho,Aberdeen,0,0,0,0,1762
2010,Maryland,Aberdeen,0,0,0,0,14198
2010,Mississippi,Aberdeen,0,0,0,0,5966
2010,North Carolina,Aberdeen,0,0,0,0,6116
2010,Ohio,Aberdeen,0,0,0,0,1489
2010,South Dakota,Aberdeen,0,0,0,0,24818
2010,Washington,Aberdeen,0,0,0,0,15917
2011,South Dakota,Aberdeen,0,0,1,0,26408
2011,Idaho,Aberdeen,0,0,0,0,2016
2011,Maryland,Aberdeen,0,0,0,0,15101
2011,Mississippi,Aberdeen,0,0,0,0,5633
2011,North Carolina,Aberdeen,0,0,0,0,6431
2011,Washington,Aberdeen,0,0,0,0,17161
2012,Idaho,Aberdeen,0,0,0,0,"2,023"
2012,Maryland,Aberdeen,0,0,0,0,"15,208"
2012,Mississippi,Aberdeen,0,0,0,0,"5,571"
2012,North Carolina,Aberdeen,0,0,0,0,"6,492"
2012,South Dakota,Aberdeen,0,0,0,0,"26,593"
2012,Washington,Aberdeen,1,1,0,0,"17,000"
2013,Maryland,Aberdeen,0,0,1,0,15039
2013,South Dakota,Aberdeen,0,0,0,1,26999
2013,Washington,Aberdeen,1,1,0,2,16408
2013,Idaho,Aberdeen,0,0,0,0,1959
2013,Mississippi,Aberdeen,0,0,0,0,5473
2013,North Carolina,Aberdeen,0,0,0,0,6760
2014,South Dakota,Aberdeen, DNR, DNR,1, DNR,27629
2014,Washington,Aberdeen,0,1,0,0,16243
2014,Idaho,Aberdeen,0,0,0,0,1944
2014,Maryland,Aberdeen,0,0,0,0,15157
2014,Mississippi,Aberdeen,0,0,0,0,5433
2014,North Carolina,Aberdeen,0,0,0,0,7044
2014,Ohio,Aberdeen, DNR, DNR,0,0,1617
2015,South Dakota,Aberdeen,0,0,0,1,28219
2015,Washington,Aberdeen,0,1,0,0,16100
2015,Idaho,Aberdeen,0,0,0,0,1939
2015,Maryland,Aberdeen,0,0,0,0,15551
2015,Mississippi,Aberdeen,0,0,0,0,5392
2015,North Carolina,Aberdeen,0,0,0,0,7332
2015,Ohio,Aberdeen,0,0,0,0,1613
2016,South Dakota,Aberdeen,0,0,0,1,28498
2016,Washington,Aberdeen,2,0,0,0,16155
2016,Idaho,Aberdeen,0,0,0,0,1915
2016,Maryland,Aberdeen,0,0,0,0,15704
2016,North Carolina,Aberdeen,0,0,0,0,7549
2016,Ohio,Aberdeen,0,0,0,0,1601
2010,New Jersey,Aberdeen Township,1,1,2,1,18575
2011,New Jersey,Aberdeen Township,3,4,1,3,18271
2012,New Jersey,Aberdeen Township,0,0,1,0,"18,319"
2013,New Jersey,Aberdeen Township,1,6,1,3,18150
2014,New Jersey,Aberdeen Township,0,0,0,2,18215
2015,New Jersey,Aberdeen Township,3,1,0,4,18312
2016,New Jersey,Aberdeen Township, DNR,0,1,1,18562
2010,Texas,Abernathy,0,0,0,0,2748
2011,Texas,Abernathy,0,0,0,0,2864
2012,Texas,Abernathy,0,0,0,0,"2,877"
2013,Texas,Abernathy,0,0,0,0,2821
2014,Texas,Abernathy,0,0,0,0,2801
2015,Texas,Abernathy,0,0,0,0,2732
2016,Texas,Abernathy,0,0,0,0,2728
2010,Kansas,Abilene,0,0,1,1,6284
2010,Texas,Abilene,1,0,0,0,116938
2011,Kansas,Abilene,0,0,0,0,6887
2011,Texas,Abilene,0,0,0,0,119526
2012,Kansas,Abilene,0,0,0,0,"6,874"
2012,Texas,Abilene,0,0,0,0,"119,886"
2013,Kansas,Abilene,0,0,0,0,6743
2013,Texas,Abilene,0,0,0,0,119401
2014,Kansas,Abilene,0,1,0,0,6617
2014,Texas,Abilene,0,0,0,0,120686
2015,Kansas,Abilene,0,0,0,0,6524
2015,Texas,Abilene,0,0,0,0,121764
2016,Kansas,Abilene,0,0,0,0,6501
2016,Texas,Abilene,0,0,0,0,122523
2010,Virginia,Abingdon,0,0,0,0,8059
2011,Illinois,Abingdon,0,DNR,DNR,DNR,3329
2011,Virginia,Abingdon,0,0,0,0,8289
2012,Illinois,Abingdon,0,0,0,0,"3,320"
2012,Virginia,Abingdon,0,0,0,0,"8,273"
2013,Virginia,Abingdon,0,0,0,0,8186
2014,Virginia,Abingdon,0,0,0,0,8209
2015,Virginia,Abingdon,0,0,0,0,8137
2016,Virginia,Abingdon,0,0,0,0,8105
2010,Massachusetts,Abington,0,0,0,0,16836
2011,Massachusetts,Abington,0,0,0,0,16082
2012,Massachusetts,Abington,0,0,0,0,"16,215"
2013,Massachusetts,Abington,0,0,0,0,16121
2014,Massachusetts,Abington,0,0,0,0,16200
2015,Massachusetts,Abington,0,0,0,0,16252
2016,Massachusetts,Abington,0,0,0,0,16201
2011,Pennsylvania,"Abington Township, Montgomery County",0,1,1,0,55486
2012,Pennsylvania,"Abington Township, Montgomery County",2,0,0,0,"55,731"
2013,Pennsylvania,"Abington Township, Montgomery County",0,0,0,0,55559
2014,Pennsylvania,"Abington Township, Montgomery County",0,0,0,2,55628
2015,Pennsylvania,"Abington Township, Montgomery County",0,0, DNR,0,55753
2016,Pennsylvania,"Abington Township, Montgomery County",0,2,0,0,55623
2010,New Jersey,Absecon,0,0,0,0,8728
2011,New Jersey,Absecon,0,0,0,0,8439
2012,New Jersey,Absecon,0,0,0,0,"8,447"
2013,New Jersey,Absecon,0,0,0,0,8380
2014,New Jersey,Absecon,0,0,0,0,8399
2015,New Jersey,Absecon,0,0,0,0,8367
2016,New Jersey,Absecon,0,0,0,0,8298
2010,Oklahoma,Achille,0,0,0,0,549
2011,Oklahoma,Achille,0,0,0,0,497
2012,Oklahoma,Achille,0,0,0,0,502
2013,Oklahoma,Achille,0,0,0,0,501
2014,Oklahoma,Achille,0,0,0,0,513
2015,Oklahoma,Achille, DNR, DNR, DNR,0,511
2016,Oklahoma,Achille,0, DNR, DNR, DNR,513
2010,Mississippi,Ackerman,DNR,DNR,0,DNR,1485
2011,Mississippi,Ackerman,0,0,0,0,1516
2012,Mississippi,Ackerman,0,0,0,0,"1,490"
2013,Mississippi,Ackerman,0,0, DNR,0,1461
2014,Mississippi,Ackerman,0,0,0,0,1471
2015,Mississippi,Ackerman, DNR,0,0,0,1472
2016,Mississippi,Ackerman,0,0,0,0,1472
2010,Massachusetts,Acton,1,0,0,2,21090
2011,Massachusetts,Acton,1,1,4,0,22058
2012,Massachusetts,Acton,1,1,0,1,"22,349"
2013,Massachusetts,Acton,0,2,0,1,22871
2014,Massachusetts,Acton,0,0,2,1,23193
2015,Massachusetts,Acton,4,2,2,1,23573
2016,Massachusetts,Acton,1,2,0,0,23770
2010,Massachusetts,Acushnet,0,0,0,0,10275
2011,Massachusetts,Acushnet,0,0,0,0,10366
2012,Massachusetts,Acushnet,0,0,0,0,"10,408"
2013,Massachusetts,Acushnet,0,0,0,0,10362
2014,Massachusetts,Acushnet,0,0,0,0,10392
2015,Massachusetts,Acushnet,0,0,0,0,10441
2016,Massachusetts,Acushnet,0,0,0,0,10466
2011,Georgia,Acworth,DNR,DNR,0,0,20694
2012,Georgia,Acworth,0,0,0,DNR,"20,932"
2013,Georgia,Acworth,0,0, DNR, DNR,21458
2015,Georgia,Acworth,0,0,0,0,22222
2016,Georgia,Acworth,0,0,0,0,22467
