state,city,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2010population,2011population,2012population,2013population,2014population,2015population,2016population, populationRecent
Alabama,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,5443,2946,"5,232",5163,2869,5173,5177
Idaho,Aberdeen,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0, DNR, DNR,0,0,0,0,0,0,0,0,0,0,15917,17161,"17,000",6760,1617,1613,1601
New Jersey,Aberdeen Township,1,1,2,1,3,4,1,3,0,0,1,0,1,6,1,3,0,0,0,2,3,1,0,4, DNR,0,1,1,18575,18271,"18,319",18150,18215,18312,18562
Texas,Abernathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748,2864,"2,877",2821,2801,2732,2728
Kansas,Abilene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116938,119526,"119,886",119401,120686,121764,122523
Virginia,Abingdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8059,8289,"8,273",8186,8209,8137,8105
Massachusetts,Abington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16836,16082,"16,215",16121,16200,16252,16201
Pennsylvania,"Abington Township, Montgomery County",DNR,DNR,DNR,DNR,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0, DNR,0,0,2,0,0,No Data,55486,"55,731",55559,55628,55753,55623
New Jersey,Absecon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8728,8439,"8,447",8380,8399,8367,8298
Oklahoma,Achille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0, DNR, DNR, DNR,549,497,502,501,513,511,513
Mississippi,Ackerman,DNR,DNR,0,DNR,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0, DNR,0,0,0,0,0,0,0,1485,1516,"1,490",1461,1471,1472,1472
Massachusetts,Acton,1,0,0,2,1,1,4,0,1,1,0,1,0,2,0,1,0,0,2,1,4,2,2,1,1,2,0,0,21090,22058,"22,349",22871,23193,23573,23770
Massachusetts,Acushnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10275,10366,"10,408",10362,10392,10441,10466
Georgia,Acworth,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,DNR,0,0, DNR, DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,No Data,20694,"20,932",21458,No Data,22222,22467
Oklahoma,Ada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,6104,16990,"5,947",17170,17205,17193,17390
Oregon,Adair Village,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,800,849,849,No Data,No Data,No Data,No Data
Georgia,Adairsville,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3358,4709,"4,710",4686,4733,4761,4804
Kentucky,Adairville,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,No Data,840,889,888,888
Massachusetts,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,1707,1976,"1,957",1924,1921,1883,1879
Pennsylvania,"Adams Township, Butler County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,10107,11689,"11,735",12582,12912,13251,13531
Pennsylvania,"Adams Township, Cambria County",0,0,0,0,0,0,0,DNR,0,0,0,DNR,0,0,0,0,0, DNR, DNR, DNR,DNR,DNR,DNR,DNR,0, DNR, DNR, DNR,6024,5991,"5,933",5868,5824,No Data,5710
New York,Adams Village,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,1783,"1,811",1861,1851,1852,1837
