state,city,2010population,2011population,2012population,2013population,2014population,2015population,2016population, populationRecent,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,countDNR,countZero,countReport
Alabama,Abbeville,5443,2946,5232,5163,2869,5173,5177,5177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,3,25,0
Idaho,Aberdeen,15917,17161,17000,6760,1617,1613,1601,1601,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0, DNR, DNR,0,0,0,0,0,0,0,0,0,0,2,24,2
New Jersey,Aberdeen Township,18575,18271,18319,18150,18215,18312,18562,18562,1,1,2,1,3,4,1,3,0,0,1,0,1,6,1,3,0,0,0,2,3,1,0,4, DNR,0,1,1,1,8,19
Texas,Abernathy,2748,2864,2877,2821,2801,2732,2728,2728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Kansas,Abilene,116938,119526,119886,119401,120686,121764,122523,122523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
Virginia,Abingdon,8059,8289,8273,8186,8209,8137,8105,8105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Massachusetts,Abington,16836,16082,16215,16121,16200,16252,16201,16201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Pennsylvania,"Abington Township, Montgomery County",No Data,55486,55731,55559,55628,55753,55623,55623,DNR,DNR,DNR,DNR,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0, DNR,0,0,2,0,0,5,18,5
New Jersey,Absecon,8728,8439,8447,8380,8399,8367,8298,8298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Oklahoma,Achille,549,497,502,501,513,511,513,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0, DNR, DNR, DNR,6,22,0
Mississippi,Ackerman,1485,1516,1490,1461,1471,1472,1472,1472,DNR,DNR,0,DNR,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0, DNR,0,0,0,0,0,0,0,5,23,0
Massachusetts,Acton,21090,22058,22349,22871,23193,23573,23770,23770,1,0,0,2,1,1,4,0,1,1,0,1,0,2,0,1,0,0,2,1,4,2,2,1,1,2,0,0,0,10,18
Massachusetts,Acushnet,10275,10366,10408,10362,10392,10441,10466,10466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Georgia,Acworth,No Data,20694,20932,21458,No Data,22222,22467,22467,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,DNR,0,0, DNR, DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,13,15,0
Oklahoma,Ada,6104,16990,5947,17170,17205,17193,17390,17390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,1,27,0
Oregon,Adair Village,800,849,849,No Data,No Data,No Data,No Data,849,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,16,12,0
Georgia,Adairsville,3358,4709,4710,4686,4733,4761,4804,4804,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0
Kentucky,Adairville,No Data,No Data,No Data,840,889,888,888,888,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0
Massachusetts,Adams,1707,1976,1957,1924,1921,1883,1879,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,3,25,0
Pennsylvania,"Adams Township, Butler County",10107,11689,11735,12582,12912,13251,13531,13531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,1,27,0
Pennsylvania,"Adams Township, Cambria County",6024,5991,5933,5868,5824,No Data,5710,5710,0,0,0,0,0,0,0,DNR,0,0,0,DNR,0,0,0,0,0, DNR, DNR, DNR,DNR,DNR,DNR,DNR,0, DNR, DNR, DNR,12,16,0
New York,Adams Village,1664,1783,1811,1861,1851,1852,1837,1837,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0
Pennsylvania,Adamstown,1597,1795,1808,1845,1846,1846,1848,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,1,27,0
Alabama,Adamsville,2134,2227,2227,2235,2263,2271,2245,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Louisiana,Addis,4043,3626,3666,4101,4327,4655,4808,4808,DNR,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0
Alabama,Addison,15862,13331,13523,15961,16061,16125,16067,16067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
New York,Addison Town and Village,2466,2607,2611,2577,2568,2552,2541,2541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Michigan,Addison Township,No Data,No Data,No Data,No Data,No Data,6541,6532,6532,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,20,8,0
Ohio,Addyston,1001,939,935,934,No Data,No Data,No Data,934,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0, DNR, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,16,12,0
Georgia,Adel,4462,3701,3879,3990,4133,4291,4356,4356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
California,Adelanto,29697,32138,32520,31165,31213,33005,33479,33479,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,21,7
Michigan,Adrian,1863,1683,1677,1633,1624,1627,1611,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Michigan,Adrian Township,No Data,No Data,No Data,No Data,6274,6352,No Data,6352,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,20,8,0
Missouri,Advance,1180,1352,1342,1341,1340,1368,1369,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Wyoming,Afton,1960,1926,1934,1906,1961,1982,1983,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
New York,Afton Village,No Data,No Data,821,821,820,815,806,806,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,9,19,0
Massachusetts,Agawam,28215,28611,28708,28659,28769,28853,28844,28844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,26,2
California,Agoura Hills,22318,20569,20667,20762,20767,20970,21032,21032,0,1,1,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5
North Carolina,Ahoskie,4617,5103,5039,4988,5017,4955,4883,4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
South Carolina,Aiken,29875,29868,29909,29965,30458,30415,30800,30800,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2
Washington,Airway Heights,5618,6210,6198,6441,6502,6652,8425,8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Minnesota,Aitkin,No Data,No Data,No Data,No Data,No Data,No Data,2031,2031,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,24,4,0
Minnesota,Akeley,No Data,No Data,No Data,No Data,No Data,No Data,431,431,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0, DNR, DNR,0,26,2,0
Ohio,Akron,4053,3888,3914,3918,3933,4001,4014,4014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,1,27,0
New York,Akron Village,2923,2881,2880,2846,2842,2851,2840,2840,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0
Michigan,Akron-Fairgrove,No Data,No Data,961,No Data,No Data,No Data,No Data,961,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,26,2,0
Alabama,Alabaster,30781,30498,No Data,No Data,No Data,No Data,No Data,30498,0,0,0,0,1,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,23,4,1
Florida,Alachua,9757,9182,9264,9338,9456,No Data,No Data,9456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,8,20,0
California,Alameda,71016,74680,75467,76206,77048,78613,79597,79597,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,1,0,0,1,0,2,0,20,8
Georgia,Alamo,17687,18739,19178,18876,19054,19385,19409,19409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Texas,Alamo Heights,7488,7179,7305,7443,7673,8003,8248,8248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
New Mexico,Alamogordo,36555,30743,31377,31788,31546,No Data,No Data,31546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,10,18,0
Colorado,Alamosa,8660,8933,9061,No Data,No Data,9598,9927,9927,0,0,0,0,0,0,2,0,DNR,DNR,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,11,16,1
Georgia,Alapaha,No Data,No Data,679,646,655,641,653,653,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,DNR,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,12,16,0
California,Albany,1105,1022,1022,1015,1017,1016,1018,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
North Carolina,Albemarle,15446,16105,16071,15946,16033,15995,16024,16024,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
Illinois,Albers,1065,No Data,1197,No Data,1179,1177,No Data,1177,0,0,0,0,DNR,DNR,DNR,DNR,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,15,13,0
Minnesota,Albert Lea,No Data,18155,18082,17867,17833,17763,17604,17604,DNR,DNR,DNR,DNR,0,DNR,1,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,1
Iowa,Albia,3541,3786,3820,3829,3800,3784,3840,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Illinois,Albion,1509,1521,1519,1975,1485,1469,1459,1459,0,0,0,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR,6,22,0
New York,Albion Village,5437,No Data,5993,6388,5872,5994,5984,5984,0,0,0,DNR,DNR,DNR,DNR,DNR,0,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0
New Mexico,Albuquerque,545389,551961,No Data,558165,558874,559721,561560,561560,10,4,6,1,5,9,7,3,DNR,DNR,DNR,DNR,2,1,6,1, DNR,6, DNR,4,6,5,1, DNR,2,2,11,10,7,0,21
Pennsylvania,Alburtis,2449,2369,2389,2390,2384,2412,2552,2552,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0, DNR, DNR,0,4,24,0
South Dakota,Alcester,No Data,No Data,No Data,809,799,783,752,752,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR, DNR, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0
Tennessee,Alcoa,8775,8525,8587,8605,8689,8831,9503,9503,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,23,5
Pennsylvania,Aldan,4284,4165,4162,4150,4158,4170,4168,4168,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0, DNR,0, DNR,0,0,0,0,0, DNR,4,24,0
West Virginia,Alderson,No Data,1186,1193,1184,1179,1184,1181,1181,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,7,21,0
Illinois,Aledo,3466,No Data,3626,3567,3641,3575,3549,3549,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0
Pennsylvania,Aleppo Township,1220,1922,1923,1918,1914,1911,1903,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,1,27,0
Arkansas,Alexander,No Data,No Data,No Data,No Data,No Data,2853,2841,2841,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR, DNR,0,0,0,0,0,0,0,21,7,0
Alabama,Alexander City,15229,No Data,No Data,No Data,No Data,No Data,No Data,15229,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,24,4,0
Virginia,Alexandria,957,975,145892,148519,992,990,1625,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
