city,state,2010population,2011population,2012population,2013population,2014population,2015population,2016population,populationRecent,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,dnrCount,zeroCount
Abbeville,Alabama,5443,2946,5232,5163,2869,5173,5177,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,,
Aberdeen,Idaho,15917,17161,17000,6760,1617,1613,1601,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0, DNR, DNR,0,0,0,0,0,0,0,0,0,0,,
Aberdeen Township,New Jersey,18575,18271,18319,18150,18215,18312,18562,,1,1,2,1,3,4,1,3,0,0,1,0,1,6,1,3,0,0,0,2,3,1,0,4, DNR,0,1,1,,
Abernathy,Texas,2748,2864,2877,2821,2801,2732,2728,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Abilene,Kansas,116938,119526,119886,119401,120686,121764,122523,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Abingdon,Virginia,8059,8289,8273,8186,8209,8137,8105,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Abington,Massachusetts,16836,16082,16215,16121,16200,16252,16201,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Abington Township, Montgomery County",Pennsylvania,No Data,55486,55731,55559,55628,55753,55623,,DNR,DNR,DNR,DNR,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0, DNR,0,0,2,0,0,,
Absecon,New Jersey,8728,8439,8447,8380,8399,8367,8298,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Achille,Oklahoma,549,497,502,501,513,511,513,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0, DNR, DNR, DNR,,
Ackerman,Mississippi,1485,1516,1490,1461,1471,1472,1472,,DNR,DNR,0,DNR,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0, DNR,0,0,0,0,0,0,0,,
Acton,Massachusetts,21090,22058,22349,22871,23193,23573,23770,,1,0,0,2,1,1,4,0,1,1,0,1,0,2,0,1,0,0,2,1,4,2,2,1,1,2,0,0,,
Acushnet,Massachusetts,10275,10366,10408,10362,10392,10441,10466,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acworth,Georgia,No Data,20694,20932,21458,No Data,22222,22467,,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,DNR,0,0, DNR, DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,,
Ada,Oklahoma,6104,16990,5947,17170,17205,17193,17390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,,
Adair Village,Oregon,800,849,849,No Data,No Data,No Data,No Data,,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,,
Adairsville,Georgia,3358,4709,4710,4686,4733,4761,4804,,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Adairville,Kentucky,No Data,No Data,No Data,840,889,888,888,,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Adams,Massachusetts,1707,1976,1957,1924,1921,1883,1879,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR, DNR, DNR,0,0,0,0,0,0,0,0,,
"Adams Township, Butler County",Pennsylvania,10107,11689,11735,12582,12912,13251,13531,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,,
"Adams Township, Cambria County",Pennsylvania,6024,5991,5933,5868,5824,No Data,5710,,0,0,0,0,0,0,0,DNR,0,0,0,DNR,0,0,0,0,0, DNR, DNR, DNR,DNR,DNR,DNR,DNR,0, DNR, DNR, DNR,,
