State,Agency type,Agency name,q01,q02,q03,q04,Population,From,,,,
Alabama,Total,,,,,,,,,,, 
,Cities,,,,,,,,,,,
,,Hoover,2,3,1,0,"82,332",,,,,
Alaska,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Anchorage,0,4,1,1,"299,143",,,,,
Arizona,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Apache Junction,0,0,1,0,"36,986",,,,,
,,Coolidge,0,,0,1,"12,206",,,,,
,,Flagstaff,0,2,0,3,"66,633",,,,,
,,Gilbert,0,1,0,1,"214,264",,,,,
,,Glendale,1,,4,3,"232,997",,,,,
,,Maricopa,2,1,0,0,"44,881",,,,,
,,Mesa,,,0,2,"451,391",,,,,
,,Paradise Valley,1,,0,0,"13,177",,,,,
,,Phoenix,47,,39,35,"1,485,509",,,,,
,,Prescott Valley,1,,0,0,"39,407",,,,,
,,Scottsdale,,,1,2,"223,432",,,,,
,,Show Low,0,0,1,0,"10,773",,,,,
,,Tempe,0,,3,2,"166,061",,,,,
,,Tucson,,,4,6,"531,535",,,,,
,,Willcox,1,0,0,0,"3,837",,,,,
,,Yuma,1,,1,0,"95,568",,,,,
,Universities and Colleges,,,,,,,,,,,
,,"Arizona State University, Main Campus",0,0,2,0,"72,254",,,,,
,,University of Arizona,0,1,1,0,"39,236",,,,,
,Metropolitan Counties,,, ,,,,,,,,
,,Maricopa,1,,1,0,,,,,,
,,Mohave,0,0,1,0,,,,,,
,,Pima,,1,,0,,,,,,
,Other Agencies,,,,,,,,,,,
,,Tucson Airport Authority,1,,0,0,,,,,,
Arkansas,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Benton,0,0,1,0,"31,486",,,,,
,,Bentonville,2,0,0,0,"36,433",,,,,
,,Bryant,0,0,0,1,"17,129",,,,,
,,Fort Smith,0,0,1,0,"87,483",,,,,
,,Jonesboro,0,1,0,0,"68,807",,,,,
,,McGehee,1,0,0,0,"4,157",,,,,
,,Newport,0,1,0,0,"7,862",,,,,
,,Ola,1,0,0,0,"1,276",,,,,
,,Paragould,1,0,0,0,"26,602",,,,,
,,Pine Bluff,0,0,2,0,"48,522",,,,,
,,Rogers,1,0,0,0,"57,757",,,,,
,,Sherwood,5,2,1,1,"29,914",,,,,
,,Springdale,2,0,0,2,"71,668",,,,,
,Universities and Colleges,,,,,,,,,,,
,,University of Arkansas:,,,,,,,,,,
,,Fayetteville,0,0,0,1,"23,199",,,,,
,,Little Rock,0,0,0,1,"13,068",,,,,
,Metropolitan Counties,,,,,,,,,,,
,,Pulaski,0,0,0,1,,,,,,
,Nonmetropolitan Counties,,,,,, ,,,,,
,,Independence,1,0,0,0,,,,,,
California,Total, ,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Adelanto,0,0,1,0,"32,520",,,,,
,,Agoura Hills,0,1,3,0,"20,667",,,,,
,,Aliso Viejo,0,0,1,0,"48,999",,,,,
,,Anaheim,0,0,0,1,"344,526",,,,,
,,Antioch,0,2,1,1,"105,009",,,,,
,,Apple Valley,0,0,0,2,"70,823",,,,,
,,Arcata,0,1,0,0,"17,408",,,,,
,,Atascadero,0,1,0,0,"28,825",,,,,
,,Azusa,1,0,1,1,"47,111",,,,,
,,Bakersfield,0,0,3,1,"355,696",,,,,
,,Bellflower,0,0,0,1,"77,886",,,,,
,,Benicia,1,0,0,0,"27,459",,,,,
,,Berkeley,1,1,5,1,"114,961",,,,,
,,Beverly Hills,0,2,2,1,"34,677",,,,,
,,Brentwood,0,1,0,0,"52,811",,,,,
,,Buena Park,0,2,1,0,"82,505",,,,,
,,Burbank,2,5,1,1,"105,057",,,,,
,,Calabasas,0,1,1,0,"23,442",,,,,
,,Calimesa,0,0,0,2,"8,136",,,,,
,,Camarillo,0,0,2,2,"66,506",,,,,
,,Campbell,1,0,0,0,"40,339",,,,,
,,Capitola,0,0,1,0,"10,085",,,,,
,,Carson,0,2,1,0,"93,233",,,,,
,,Cerritos,0,0,0,1,"49,856",,,,,
,,Chico,2,0,3,0,"87,090",,,,,
,,Chino,0,1,1,1,"79,792",,,,,
,,Chino Hills,0,0,1,0,"76,632",,,,,
,,Chula Vista,3,1,0,0,"249,830",,,,,
,,Citrus Heights,0,0,0,1,"85,112",,,,,
,,Claremont,0,1,1,0,"35,469",,,,,
,,Clearlake,2,0,2,0,"15,311",,,,,
,,Clovis,1,0,0,1,"97,828",,,,,
,,Colton,0,0,2,0,"53,431",,,,,
,,Compton,0,0,0,1,"98,057",,,,,
,,Concord,0,1,1,0,"125,205",,,,,
,,Corona,2,1,0,0,"157,342",,,,,
,,Coronado,1,0,0,0,"19,345",,,,,
,,Covina,2,2,0,0,"48,588",,,,,
,,Cudahy,1,0,0,0,"24,201",,,,,
,,Cupertino,0,1,1,2,"59,769",,,,,
,,Cypress,1,0,0,0,"48,976",,,,,
,,Daly City,0,1,0,0,"103,311",,,,,
,,Dana Point,0,0,1,0,"34,172",,,,,
,,Davis,1,2,0,2,"66,628",,,,,
,,Diamond Bar,1,0,0,0,"56,470",,,,,
,,Downey,0,1,0,0,"113,628",,,,,
,,Eastvale,0,1,3,0,"55,439",,,,,
,,El Cajon,0,0,0,1,"101,864",,,,,
,,El Monte,2,1,0,2,"115,356",,,,,
,,Encinitas,0,0,1,0,"60,960",,,,,
,,Escondido,6,0,2,2,"147,386",,,,,
,,Eureka,1,0,1,1,"27,469",,,,,
,,Fountain Valley,1,0,0,0,"56,674",,,,,
,,Fowler,1,0,0,0,"5,698",,,,,
,,Fresno,2,2,2,2,"506,011",,,,,
,,Fullerton,0,0,0,1,"138,455",,,,,
,,Gardena,0,1,0,0,"59,802",,,,,
,,Garden Grove,1,1,0,0,"175,079",,,,,
,,Gilroy,1,0,0,0,"50,042",,,,,
,,Glendale,0,0,0,1,"194,902",,,,,
,,Greenfield,1,0,0,0,"16,765",,,,,
,,Hanford,0,0,0,1,"54,787",,,,,
,,Hawaiian Gardens,1,0,0,1,"14,493",,,,,
,,Hawthorne,1,0,1,0,"85,692",,,,,
,,Hayward,1,1,2,0,"147,424",,,,,
,,Hemet,1,0,1,0,"81,213",,,,,
,,Hercules,0,1,0,0,"24,682",,,,,
,,Hermosa Beach,0,0,1,0,"19,830",,,,,
,,Hesperia,0,1,0,0,"92,383",,,,,
,,Highland,0,0,1,0,"54,403",,,,,
