state,agencyType,agencyName,q01,q02,q03,q04,population,addendum
Alabama,Cities,Fairhope,0,0,DNR,0,"15,766",0
Alabama,Cities,Glencoe,0,0,0,0,"5,175",0
Alabama,Cities,Level Plains,0,0,DNR,0,"2,078",0
Alabama,Cities,Samson,DNR,0,0,DNR,"1,948",0
Alabama,Cities,Troy,0,0,0,DNR,"18,097",0
Alabama,Universities and Colleges,University of West Alabama,0,DNR,0,0,"5,258",0
Alabama,Metropolitan Counties,Geneva,DNR,0,DNR,DNR,Not Available,0
Alaska,Cities,Kotzebue,0,DNR,DNR,DNR,"3,334",0
Alaska,Cities,Dillingham,0,0,0,0,"2,419",0
Alaska,Cities,North Pole,0,0,0,0,"2,180",0
Alaska,Cities,Wasilla,0,0,0,0,"8,190",0
Arizona,Cities,Avondale,0,DNR,DNR,DNR,"78,364",0
Arizona,Cities,Benson,DNR,DNR,DNR,0,"5,219",0
Arizona,Cities,Bisbee,DNR,0,0,0,"5,694",0
Arizona,Cities,Buckeye,0,0,0,0,"52,213",0
Arizona,Cities,Bullhead City,0,0,0,0,"40,277",0
Arizona,Cities,Camp Verde,0,0,0,0,"11,033",0
Arizona,Cities,Casa Grande,0,0,0,0,"50,132",0
Arizona,Cities,Chandler,0,DNR,0,0,"242,721",0
Arizona,Cities,Chino Valley,0,DNR,0,0,"10,981",0
Arizona,Cities,Clarkdale,0,0,0,0,"4,158",0
Arizona,Cities,Cottonwood,0,DNR,DNR,DNR,"11,434",0
Arizona,Cities,Eagar,0,DNR,0,0,"5,008",0
Arizona,Cities,El Mirage,0,DNR,0,0,"32,685",0
Arizona,Cities,Eloy,0,0,0,0,"17,149",0
Arizona,Cities,Florence,0,DNR,DNR,0,"25,795",0
Arizona,Cities,Fredonia,0,0,0,0,"1,328",0
Arizona,Cities,Goodyear,0,DNR,0,0,"67,033",0
Arizona,Cities,Holbrook,0,0,0,0,"5,105",0
Arizona,Cities,Huachuca City,0,0,0,0,"1,895",0
Arizona,Cities,Kingman,0,DNR,DNR,0,"28,588",0
Arizona,Cities,Mammoth,DNR,DNR,0,0,"1,473",0
Arizona,Cities,Marana,0,DNR,0,0,"35,617",0
Arizona,Cities,Miami,0,0,0,0,"1,833",0
Arizona,Cities,Nogales,0,DNR,0,0,"21,177",0
Arizona,Cities,Oro Valley,0,0,0,0,"41,786",0
Arizona,Cities,Page,0,0,0,0,"7,331",0
Arizona,Cities,Parker,0,0,0,0,"3,107",0
