Year,State,Agency Type,Agency name,q01,q02,q03,q04,Population2
2014,Alabama,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Alabama,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Alabama,Cities,Fairfield, Nan,1, Nan, Nan,10913
2014,Alabama,Cities,Hoover,1,0,0,1,84843
2014,Alabama,Cities,Prattville, Nan,3,1, Nan,35530
2014,Alabama,Cities,Sylacauga, Nan, Nan,1,1,12722
2014,Alaska,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Alaska,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Alaska,Cities,Anchorage,0,0,4,2,301306
2014,Arizona,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arizona,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arizona,Cities,Apache Junction,0,0,0,1,37274
2014,Arizona,Cities,Avondale,1,1,0,1,79472
2014,Arizona,Cities,Chandler,1,0,0,0,252369
2014,Arizona,Cities,Cottonwood,1,0,0,0,11490
2014,Arizona,Cities,El Mirage,0,1,0,0,33307
2014,Arizona,Cities,Flagstaff,0,0,0,1,69490
2014,Arizona,Cities,Gilbert,1,0,1,0,235430
2014,Arizona,Cities,Glendale,2,3,3,1,236780
2014,Arizona,Cities,Goodyear,1,0,0,0,74826
2014,Arizona,Cities,Kingman,0,1,1,0,28526
2014,Arizona,Cities,Mesa,0,3,1,6,462092
2014,Arizona,Cities,Oro Valley,0,1,0,0,41764
2014,Arizona,Cities,Phoenix,37,41,47,58,1529852
2014,Arizona,Cities,Scottsdale,2,0,1,2,229325
2014,Arizona,Cities,Tempe,1,0,0,1,169812
2014,Arizona,Cities,Tucson,1,4,3,1,527328
2014,Arizona,Cities,Yuma,5,7,2,0,92075
2014,Arizona,Universities and Colleges,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arizona,Universities and Colleges,Northern Arizona University,8,0,1,1,26594
2014,Arizona,Metropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arizona,Metropolitan Counties,Maricopa,1,0,2,1,
2014,Arizona,Metropolitan Counties,Pinal,0,1,0,0,
2014,Arizona,Metropolitan Counties,Yavapai,0, Nan,1,0,
2014,Arizona,Metropolitan Counties,Yuma,1,1,1,0,
2014,Arkansas,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arkansas,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arkansas,Cities,Fort Smith,1,1,2,0,87989
2014,Arkansas,Cities,Rogers,0,1,0,0,61105
2014,Arkansas,Universities and Colleges,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arkansas,Universities and Colleges,"University of Arkansas, Fayetteville",0,0,1,0,25341
2014,Arkansas,Metropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arkansas,Metropolitan Counties,Pulaski,0,0,1,0,
2014,Arkansas,Nonmetropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Arkansas,Nonmetropolitan Counties,Baxter,0,0,1,0,
2014,California,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,California,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,California,Cities,Adelanto,0,1,0,1,31213
2014,California,Cities,Alameda,2,2,0,0,77048
2014,California,Cities,Alhambra,0,0,1,0,84931
2014,California,Cities,Antioch,0,2,2,1,108223
2014,California,Cities,Apple Valley,1,1,0,0,71329
2014,California,Cities,Arcata,0,0,0,1,17748
2014,California,Cities,Arvin,0,1,0,0,20541
2014,California,Cities,Azusa,0,0,1,0,48224
2014,California,Cities,Bakersfield,1,0,2,3,367406
2014,California,Cities,Barstow,1,0,0,0,23349
2014,California,Cities,Berkeley,2,0,1,0,117753
2014,California,Cities,Beverly Hills2,0,0,1,0,34788
2014,California,Cities,Brea,0,0,1,0,41359
2014,California,Cities,Brentwood,1,0,1,0,55826
2014,California,Cities,Buellton,0,0,1,0,4997
2014,California,Cities,Buena Park,0,2,0,0,83414
2014,California,Cities,Burbank,0,1,0,0,105041
2014,California,Cities,Camarillo,1,2,0,0,66272
2014,California,Cities,Carson,0,0,2,0,92838
2014,California,Cities,Central Marin,0,1,0,0,34450
2014,California,Cities,Cerritos,1,0,0,0,49867
2014,California,Cities,Chico,1,0,2,0,88562
2014,California,Cities,Chino,1,0,1,1,81600
2014,California,Cities,Chino Hills,0,1,0,0,76972
2014,California,Cities,Chula Vista,3,0,0,0,259894
2014,California,Cities,City of Angels,0,1,0,0,3716
2014,California,Cities,Claremont,1,0,2,2,36042
2014,California,Cities,Clearlake,0,1,0,0,14914
2014,California,Cities,Coalinga,0,0,1,0,16445
2014,California,Cities,Colusa,0,0,1,0,5942
2014,California,Cities,Compton,0,2,1,0,98224
2014,California,Cities,Cupertino,1,0,0,0,60564
2014,California,Cities,Daly City2,0,0,1,1,105628
2014,California,Cities,Dana Point,1,0,2,0,34244
2014,California,Cities,Davis,0,0,2,0,66360
2014,California,Cities,Dublin,0,0,2,0,53795
2014,California,Cities,El Cerrito,5,1,2,0,24485
2014,California,Cities,El Monte,2,0,1,2,116220
2014,California,Cities,Escondido,0,2,2,0,149839
2014,California,Cities,Eureka,1,0,0,0,26843
2014,California,Cities,Fairfield,0,0,0,1,110300
2014,California,Cities,Fontana,1,0,0,2,204532
2014,California,Cities,Fort Bragg,0,1,0,0,7245
2014,California,Cities,Fremont,1,0,0,0,227575
2014,California,Cities,Fresno,4,2,2,4,513187
2014,California,Cities,Fullerton,0,1,0,0,139895
2014,California,Cities,Galt,1,1,0,0,24671
2014,California,Cities,Gardena,0,0,1,0,60233
2014,California,Cities,Garden Grove,0,1,0,1,176106
2014,California,Cities,Gilroy,1,0,1,0,52415
2014,California,Cities,Glendale,1,0,1,0,197079
2014,California,Cities,Goleta,0,1,1,0,30669
2014,California,Cities,Grass Valley,0,0,1,0,12777
2014,California,Cities,Grover Beach,0,0,1,0,13497
2014,California,Cities,Hawaiian Gardens,0,1,0,0,14490
2014,California,Cities,Hayward,0,1,0,2,153319
2014,California,Cities,Healdsburg,0,0,1,0,11569
2014,California,Cities,Hemet,0,0,1,0,82412
2014,California,Cities,Hercules,0,0,1,0,25026
2014,California,Cities,Hesperia,0,0,1,0,92592
2014,California,Cities,Highland,0,1,1,1,54559
2014,California,Cities,Huntington Beach,1,0,2,0,199152
2014,California,Cities,Imperial Beach,1,0,0,0,27234
2014,California,Cities,Inglewood,0,0,0,1,111997
2014,California,Cities,Ione,1,0,0,0,6773
2014,California,Cities,Irvine,0,1,2,1,242971
2014,California,Cities,Laguna Niguel,0,0,1,0,65033
2014,California,Cities,Lake Forest,1,0,0,1,79748
2014,California,Cities,Lancaster,1,4,0,0,160190
2014,California,Cities,La Puente,0,0,1,0,40583
2014,California,Cities,La Quinta,0,1,1,0,39753
2014,California,Cities,Livermore,3,0,0,0,86147
2014,California,Cities,Lomita,0,0,0,1,20677
2014,California,Cities,Long Beach,2,4,2,2,471123
2014,California,Cities,Los Angeles,26,35,47,44,3906772
2014,California,Cities,Los Gatos,0,1,2,1,30614
2014,California,Cities,Lynwood,1,1,1,0,71812
2014,California,Cities,Malibu,0,0,0,1,12912
2014,California,Cities,Mammoth Lakes,0,2,0,0,8033
2014,California,Cities,Manteca,1,0,0,0,73055
2014,California,Cities,Marina,2,0,0,0,20530
2014,California,Cities,Menifee,0,1,0,0,84843
2014,California,Cities,Merced,0,1,0,0,81603
2014,California,Cities,Modesto,1,1,1,1,205820
2014,California,Cities,Monrovia,0,1,0,0,37225
2014,California,Cities,Montclair,1,1,1,0,38347
2014,California,Cities,Monterey,0,0,2,0,28512
2014,California,Cities,Monterey Park,0,0,1,0,61284
2014,California,Cities,Moorpark,1,0,0,0,35299
2014,California,Cities,Moreno Valley,0,0,0,4,202911
2014,California,Cities,Murrieta,0,0,0,1,108376
2014,California,Cities,National City,1,0,0,0,60130
2014,California,Cities,Newark,0,2,0,0,44467
2014,California,Cities,Newport Beach,1,0,1,0,87759
2014,California,Cities,Norco,0,1,0,0,26933
2014,California,Cities,Norwalk,1,6,2,2,106838
2014,California,Cities,Oakland,2,4,4,4,409994
2014,California,Cities,Oceanside,2,1,0,1,174102
2014,California,Cities,Orange,1,1,0,1,140767
2014,California,Cities,Oxnard,1,2,0,1,204159
2014,California,Cities,Palmdale,0,2,0,1,158210
2014,California,Cities,Palm Springs,1,2,0,0,46665
2014,California,Cities,Palo Alto,0,2,1,0,67169
2014,California,Cities,Paramount,0,2,0,0,55194
2014,California,Cities,Pasadena,0,0,0,4,140373
2014,California,Cities,Paso Robles,1,0,1,0,31117
2014,California,Cities,Pico Rivera,0,1,0,0,63970
2014,California,Cities,Piedmont,0,0,1,0,11170
2014,California,Cities,Pittsburg,1,0,0,0,67509
2014,California,Cities,Placentia,0,0,1,1,52513
2014,California,Cities,Pomona,0,2,0,0,151899
2014,California,Cities,Poway,0,0,0,1,49786
2014,California,Cities,Rancho Cucamonga,0,0,0,2,172694
2014,California,Cities,Red Bluff,1,0,1,1,14103
2014,California,Cities,Redding,0,2,1,1,91426
2014,California,Cities,Redlands,1,0,1,1,70295
2014,California,Cities,Redondo Beach,1,3,0,0,68075
2014,California,Cities,Ripon2,1,1,0,0,14859
2014,California,Cities,Riverside,4,4,2,3,319453
2014,California,Cities,Roseville,1,1,0,1,128997
2014,California,Cities,Sacramento,1,2,2,2,482767
2014,California,Cities,Salinas,0,1,0,0,156908
2014,California,Cities,San Bernardino,1,0,0,0,214588
2014,California,Cities,San Clemente,0,0,2,0,65397
2014,California,Cities,San Diego,7,13,11,6,1368690
2014,California,Cities,San Dimas,0,0,0,1,33953
2014,California,Cities,San Francisco,7,5,5,5,850294
2014,California,Cities,San Jose,2,1,6,2,1009679
2014,California,Cities,San Leandro,0,2,0,0,88690
2014,California,Cities,San Luis Obispo,0,0,1,0,46672
2014,California,Cities,San Marcos,0,0,1,0,90799
2014,California,Cities,San Mateo,1,1,0,0,102082
2014,California,Cities,San Rafael,1,0,1,0,59292
2014,California,Cities,San Ramon,0,1,0,0,75049
2014,California,Cities,Santa Ana,1,2,2,2,336462
2014,California,Cities,Santa Clarita,1,5,1,1,206930
2014,California,Cities,Santa Cruz,4,4,0,0,63440
2014,California,Cities,Santa Monica,0,0,1,0,93151
2014,California,Cities,Santee,0,0,1,0,56737
2014,California,Cities,Sierra Madre,0,1,0,0,11090
2014,California,Cities,Simi Valley,1,1,1,1,126604
2014,California,Cities,Sonora,1,0,1,0,4786
2014,California,Cities,South Gate,0,0,1,0,95981
2014,California,Cities,Stockton,1,1,1,0,299519
2014,California,Cities,Sunnyvale,1,0,0,0,149384
2014,California,Cities,Taft,0,0,1,0,8895
