year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookatMe,
2013,Alabama,Total, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Florence,0,1,0,1,39481, Nan,
, Nan, Nan,Hoover,0,1,0,0,84139, Nan,
, Nan, Nan,Prattville,1,0,1,0,35154, Nan,
, Nan, Nan,Tuscaloosa,0,0,1,0,94126, Nan,
,Alaska,Total, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Anchorage,2,3,3,0,299455, Nan,
,Arizona,Total, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Apache Junction,1,0,0, Nan,36626, Nan,
, Nan, Nan,Avondale,1,1,3,0,78905, Nan,
, Nan, Nan,Eagar,0,1,0,0,5034, Nan,
, Nan, Nan,El Mirage,0,0,1,0,32837, Nan,
, Nan, Nan,Gilbert,1,0,0,0,225232, Nan,
, Nan, Nan,Glendale,2,0,3,2,234006, Nan,
, Nan, Nan,Goodyear,1, Nan,1,0,71048, Nan,
, Nan, Nan,Maricopa,0,0,0,1,44871, Nan,
, Nan, Nan,Mesa,2,0,0,0,456155, Nan,
, Nan, Nan,Phoenix,25,21,35, Nan,1502139, Nan,
, Nan, Nan,Prescott,0,0,0,1,40752, Nan,
, Nan, Nan,Scottsdale,0,0,0,2,225523, Nan,
, Nan, Nan,Tempe,2,0,1,0,168501, Nan,
, Nan, Nan,Tucson,8,8,6,4,525486, Nan,
, Nan, Nan,Yuma,3,5,0,2,96014, Nan,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Northern Arizona University,0,0,0,1,25991, Nan,
, Nan, Nan,University of Arizona,2,0,0,0,40223, Nan,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Cochise,0,0,0,1, Nan, Nan,
, Nan, Nan,Maricopa,0, Nan, Nan,2, Nan, Nan,
, Nan, Nan,Pima,0,0,0,3, Nan, Nan,
, Nan, Nan,Yuma,0,1,0,1, Nan, Nan,
,Arkansas,Total, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Bentonville,0,0,1,0,39132, Nan,
, Nan, Nan,Berryville,0,0,1,0,5417, Nan,
, Nan, Nan,Cabot,0,0,1,0,24695, Nan,
, Nan, Nan,England,0,1,0,0,2806, Nan,
, Nan, Nan,Fairfield Bay,0,0,1,0,2295, Nan,
, Nan, Nan,Fort Smith,0,0,0,2,87821, Nan,
, Nan, Nan,Gurdon,1,0,0,0,2184, Nan,
, Nan, Nan,Marion,0,0,1,0,12258, Nan,
, Nan, Nan,North Little Rock,0,1,0,0,65398, Nan,
, Nan, Nan,Pine Bluff,1,0,0,0,46399, Nan,
, Nan, Nan,Rogers,0,1,0,0,59787, Nan,
, Nan, Nan,Sherwood,1,0,0,0,29900, Nan,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,"University of Arkansas, Pine Bluff",0,0,1,0,2828, Nan,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Crawford,0,2,1,1, Nan, Nan,
, Nan, Nan,Faulkner,0,1,0,1, Nan, Nan,
, Nan, Nan,Lonoke,1,0,0,0, Nan, Nan,
, Nan, Nan,Pulaski,1,0,1,1, Nan, Nan,
, Nan, Nan,Sebastian,0,1,0,0, Nan, Nan,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Greene,0,0,1,0, Nan, Nan,
, Nan, Nan,Pope,0,1,0,0, Nan, Nan,
,California,Total, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Adelanto,1,0,1,0,31165, Nan,
, Nan, Nan,Agoura Hills,0,2,0,0,20762, Nan,
, Nan, Nan,Alameda,0,0,0,1,76206, Nan,
, Nan, Nan,Alhambra,0,0,0,1,84710, Nan,
, Nan, Nan,Antioch,1,1,0,0,106447, Nan,
, Nan, Nan,Arcadia,1,0,0,0,57855, Nan,
, Nan, Nan,Atascadero,0,0,1,1,28938, Nan,
, Nan, Nan,Atwater,0,1,0,0,28906, Nan,
, Nan, Nan,Auburn,0,1,0,0,13779, Nan,
, Nan, Nan,Azusa,0,0,1,0,47754, Nan,
, Nan, Nan,Bakersfield,0,0,2,1,361859, Nan,
, Nan, Nan,Baldwin Park,0,0,1,0,76745, Nan,
, Nan, Nan,Banning,0,0,1,0,30503, Nan,
, Nan, Nan,Berkeley,6,2,4,1,116217, Nan,
, Nan, Nan,Beverly Hills,1,0,0,0,34780, Nan,
, Nan, Nan,Brentwood3,0,1,2,1,54301, Nan,
, Nan, Nan,Buena Park3,0,1,0,1,82632, Nan,
, Nan, Nan,Burbank,1,2,2,0,104727, Nan,
, Nan, Nan,Calabasas,1,0,0,1,24114, Nan,
, Nan, Nan,Camarillo,1,1,1,0,66173, Nan,
, Nan, Nan,Campbell,0,1,0,0,40549, Nan,
, Nan, Nan,Carlsbad,0,0,3,0,110505, Nan,
, Nan, Nan,Carson,0,0,0,1,93415, Nan,
, Nan, Nan,Cerritos,1,0,0,2,49816, Nan,
, Nan, Nan,Chico,1,2,0,1,88226, Nan,
, Nan, Nan,Chino,2,2,3,2,80704, Nan,
, Nan, Nan,Chula Vista,0,3,0,1,255073, Nan,
, Nan, Nan,Citrus Heights,0,1,0,0,85337, Nan,
, Nan, Nan,Claremont,2,0,0,1,35623, Nan,
, Nan, Nan,Clearlake,1,0,0,1,14951, Nan,
, Nan, Nan,Clovis,0,1,1,2,99483, Nan,
, Nan, Nan,Colton,0,0,0,1,53403, Nan,
, Nan, Nan,Compton,0,1,0,1,97907, Nan,
, Nan, Nan,Concord,0,1,0,0,125464, Nan,
, Nan, Nan,Corcoran,0,0,1,0,23290, Nan,
, Nan, Nan,Corona,0,0,0,1,160159, Nan,
, Nan, Nan,Coronado,1,0,0,0,23183, Nan,
, Nan, Nan,Costa Mesa,0,0,0,1,112538, Nan,
, Nan, Nan,Covina,0,3,0,0,48524, Nan,
, Nan, Nan,Cupertino,0,0,0,1,60440, Nan,
, Nan, Nan,Cypress,0,0,1,0,49067, Nan,
, Nan, Nan,Daly City,1,0,1,1,104536, Nan,
, Nan, Nan,Dana Point,0,1,0,0,34262, Nan,
, Nan, Nan,Davis,3,4,0,1,66126, Nan,
, Nan, Nan,Duarte,1,0,1,0,21759, Nan,
, Nan, Nan,El Cajon,0,1,0,1,102012, Nan,
, Nan, Nan,El Cerrito,3,1,2,1,24184, Nan,
, Nan, Nan,Elk Grove,0,0,0,1,160925, Nan,
, Nan, Nan,El Monte,0,3,0,2,115591, Nan,
, Nan, Nan,Emeryville,0,1,0,0,10415, Nan,
, Nan, Nan,Encinitas,2,1,1,0,61433, Nan,
, Nan, Nan,Escondido,2,2,3,1,148650, Nan,
, Nan, Nan,Eureka,1,1,0,0,26881, Nan,
, Nan, Nan,Fairfield,1,0,0,2,108425, Nan,
, Nan, Nan,Fontana,0,1,0,0,203427, Nan,
, Nan, Nan,Foster City,1,0,0,0,32652, Nan,
, Nan, Nan,Fresno,3,3,1,3,508876, Nan,
, Nan, Nan,Fullerton,1,0,0,1,139676, Nan,
, Nan, Nan,Galt,0,0,1,0,24553, Nan,
, Nan, Nan,Garden Grove,0,1,2,1,175469, Nan,
, Nan, Nan,Gilroy,0,1,1,0,51240, Nan,
, Nan, Nan,Glendale,0,0,1,0,195366, Nan,
, Nan, Nan,Glendora,1,0,0,0,50893, Nan,
, Nan, Nan,Gridley,1,0,0,0,6563, Nan,
, Nan, Nan,Hanford,1,0,1,0,54425, Nan,
