year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
2015,Alabama,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Birmingham,1,1,1,2,212291,
, Nan, Nan,Hoover,0,3,1,0,85163,
, Nan, Nan,Prattville,0,1, Nan,0,35637,
,Alaska,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Anchorage,1,1,2,1,301239,
, Nan, Nan,Kotzebue,0,1,0,0,3304,
, Nan, Nan,North Pole,0,1,0,0,2190,
, Nan, Nan,Soldotna,0,0,0,1,4512,
,Arizona,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Apache Junction,1,1,0,0,38519,
, Nan, Nan,Avondale,0,0,0,2,80533,
, Nan, Nan,Chandler,0,0,1,0,258875,
, Nan, Nan,El Mirage,0,1,0,0,33985,
, Nan, Nan,Gilbert,2,1,1,0,247324,
, Nan, Nan,Glendale,2,2,2,2,240374,
, Nan, Nan,Holbrook,0,1,0,0,5007,
, Nan, Nan,Mesa,1,0,1,2,471034,
, Nan, Nan,Nogales,0,0,0,1,20312,
, Nan, Nan,Phoenix,76,77,44,34,1559744,
, Nan, Nan,Prescott,1, Nan,0,0,41393,
, Nan, Nan,Scottsdale,2,0,1,0,233872,
, Nan, Nan,Tucson,2,0,1,1,529675,
, Nan, Nan,Williams,0,1, Nan, Nan,3110,
, Nan, Nan,Yuma,0,2,1,1,93923,
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,"Arizona State University, Main Campus",1,1,0,0,83260,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Maricopa,1,0,0,0,,
, Nan, Nan,Pima,0,2,0,0,,
, Nan, Nan,Pinal, Nan,1, Nan, Nan,,
, Nan, Nan,Yavapai,1,0,0,0,,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Graham,1,0,0,0,,
,Arkansas,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Bryant,1,0,0,0,20404,
, Nan, Nan,Fort Smith,1,0,0,1,87603,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Sebastian,0,1,0,0,,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Boone,1,0,0,0,,
,California,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Alameda,1,0,1,0,78613,
, Nan, Nan,Alhambra,0,0,1,0,86175,
, Nan, Nan,Antioch,2,1,2,3,110537,
, Nan, Nan,Azusa,0,2,1,0,49431,
, Nan, Nan,Bakersfield,3,0,0,1,373887,
, Nan, Nan,Banning,0,1,1,0,31030,
, Nan, Nan,Bellflower,0,1,0,1,78635,
, Nan, Nan,Bell Gardens,0,1,0,1,43411,
, Nan, Nan,Berkeley,0,1,0,3,120387,
, Nan, Nan,Beverly Hills,0,2,0,0,35054,
, Nan, Nan,Brisbane,0,1,0,1,4696,
, Nan, Nan,Buena Park,0,0,0,1,83684,
, Nan, Nan,Burbank,0,1,0,0,105865,
, Nan, Nan,Calabasas,0,0,1,0,24505,
, Nan, Nan,Camarillo,0,1,0,0,67325,
, Nan, Nan,Carmel,0,0,1,0,3913,
, Nan, Nan,Carson,1,1,1,0,93677,
, Nan, Nan,Chino Hills,0,0,0,1,77515,
, Nan, Nan,Chula Vista,0,1,1,1,265215,
, Nan, Nan,Citrus Heights,0,0,0,2,86853,
, Nan, Nan,Claremont,0,2,0,2,36331,
, Nan, Nan,Clearlake,2,0,3,2,15044,
, Nan, Nan,Clovis,0,0,1,1,103769,
, Nan, Nan,Coachella,0,0,0,1,44953,
, Nan, Nan,Colton,0,1,0,0,54503,
, Nan, Nan,Commerce,0,0,1,0,13137,
, Nan, Nan,Compton,0,1,1,0,99125,
, Nan, Nan,Concord,2,0,0,3,128767,
, Nan, Nan,Covina,1,0,0,0,49300,
, Nan, Nan,Cypress,1,1,0,0,49560,
, Nan, Nan,Daly City,1,0,1,0,107320,
, Nan, Nan,Davis,5,0,1,0,67034,
, Nan, Nan,Diamond Bar,1,0,1,0,57085,
, Nan, Nan,East Palo Alto,0,0,1,1,29864,
, Nan, Nan,El Cajon,1,0,0,0,103942,
, Nan, Nan,El Cerrito,0,1,1,0,24842,
, Nan, Nan,Elk Grove,1,0,1,0,166183,
, Nan, Nan,El Monte,2,0,0,1,117376,
, Nan, Nan,El Segundo,0,0,1,0,17164,
, Nan, Nan,Escondido,2,1,1,2,151732,
, Nan, Nan,Eureka,1,0,1,0,26858,
, Nan, Nan,Fairfield,0,0,1,0,112582,
, Nan, Nan,Firebaugh,1,0,0,0,8484,
, Nan, Nan,Folsom,0,0,1,1,76183,
, Nan, Nan,Fort Bragg,0,0,1,0,7310,
, Nan, Nan,Foster City,0,0,1,0,33313,
, Nan, Nan,Fremont,2,1,0,0,232427,
, Nan, Nan,Fresno,3,1,5,1,520837,
, Nan, Nan,Fullerton,1,0,0,1,140771,
, Nan, Nan,Galt,2,0,0,0,25106,
, Nan, Nan,Garden Grove,2,0,0,0,176041,
, Nan, Nan,Glendale,0,0,2,0,202298,
, Nan, Nan,Glendora,0,0,1,0,51753,
, Nan, Nan,Goleta,1,0,0,0,31011,
, Nan, Nan,Greenfield,0,0,1,0,17061,
, Nan, Nan,Gridley,0,0,0,1,6580,
, Nan, Nan,Hanford,0,1,0,2,55299,
, Nan, Nan,Hawaiian Gardens,1,0,0,1,14629,
, Nan, Nan,Hawthorne,1,0,2,1,88410,
, Nan, Nan,Hayward,0,1,3,0,157157,
, Nan, Nan,Hemet,1,0,0,1,84030,
, Nan, Nan,Hermosa Beach,1,0,0,0,19986,
, Nan, Nan,Hesperia,1,0,0,1,93348,
, Nan, Nan,Hollister,0,0,0,1,37604,
, Nan, Nan,Huntington Beach,0,1,1,2,203233,
, Nan, Nan,Huntington Park,3,0,1,0,59668,
, Nan, Nan,Imperial,0,1,0,0,17338,
, Nan, Nan,Imperial Beach,0,1,0,0,27341,
, Nan, Nan,Indio,0,0,1,0,87195,
, Nan, Nan,Industry,0,1,0,0,206,
, Nan, Nan,Irvine,0,1,1,1,258198,
, Nan, Nan,Jurupa Valley,0,0,1,0,99706,
, Nan, Nan,Kerman,0,0,1,0,14595,
, Nan, Nan,Laguna Beach,0,0,2,0,23485,
, Nan, Nan,Lake Elsinore,1,0,0,0,61871,
, Nan, Nan,Lake Forest,0,0,1,3,80798,
, Nan, Nan,Lakewood,0,0,0,2,82047,
, Nan, Nan,La Mirada,1,0,0,1,49685,
, Nan, Nan,Lancaster,0,2,2,3,162095,
, Nan, Nan,Lawndale,1,0,0,0,33605,
, Nan, Nan,Lemoore,0,0,0,1,25348,
, Nan, Nan,Livermore,3,1,1,0,88316,
, Nan, Nan,Lodi,0,1,0,1,64369,
, Nan, Nan,Lomita,0,0,1,0,20893,
, Nan, Nan,Long Beach,3,3,4,2,476318,
, Nan, Nan,Los Alamitos,1,0,0,0,11789,
, Nan, Nan,Los Angeles,45,53,41,53,3962726,
, Nan, Nan,Los Gatos,0,0,1,0,31044,
, Nan, Nan,Malibu,0,0,1,0,13033,
, Nan, Nan,Manhattan Beach,0,0,0,1,36065,
, Nan, Nan,Manteca,1,0,1,0,75019,
, Nan, Nan,Marina,1,0,0,0,21094,
