year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookatMe,
2013,Alabama,Total,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Alabama,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Alabama,Cities,Florence,0,1,0,1,39481,0,
2013,Alabama,Cities,Hoover,0,1,0,0,84139,0,
2013,Alabama,Cities,Prattville,1,0,1,0,35154,0,
2013,Alabama,Cities,Tuscaloosa,0,0,1,0,94126,0,
2013,Alaska,Total,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Alaska,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Alaska,Cities,Anchorage,2,3,3,0,299455,0,
2013,Arizona,Total,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arizona,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arizona,Cities,Apache Junction,1,0,0,DNR,36626,0,
2013,Arizona,Cities,Avondale,1,1,3,0,78905,0,
2013,Arizona,Cities,Eagar,0,1,0,0,5034,0,
2013,Arizona,Cities,El Mirage,0,0,1,0,32837,0,
2013,Arizona,Cities,Gilbert,1,0,0,0,225232,0,
2013,Arizona,Cities,Glendale,2,0,3,2,234006,0,
2013,Arizona,Cities,Goodyear,1,DNR,1,0,71048,0,
2013,Arizona,Cities,Maricopa,0,0,0,1,44871,0,
2013,Arizona,Cities,Mesa,2,0,0,0,456155,0,
2013,Arizona,Cities,Phoenix,25,21,35,DNR,1502139,0,
2013,Arizona,Cities,Prescott,0,0,0,1,40752,0,
2013,Arizona,Cities,Scottsdale,0,0,0,2,225523,0,
2013,Arizona,Cities,Tempe,2,0,1,0,168501,0,
2013,Arizona,Cities,Tucson,8,8,6,4,525486,0,
2013,Arizona,Cities,Yuma,3,5,0,2,96014,0,
2013,Arizona,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arizona,Universities and Colleges,Northern Arizona University,0,0,0,1,25991,0,
2013,Arizona,Universities and Colleges,University of Arizona,2,0,0,0,40223,0,
2013,Arizona,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arizona,Metropolitan Counties,Cochise,0,0,0,1, Nan,0,
2013,Arizona,Metropolitan Counties,Maricopa,0,DNR,DNR,2, Nan,0,
2013,Arizona,Metropolitan Counties,Pima,0,0,0,3, Nan,0,
2013,Arizona,Metropolitan Counties,Yuma,0,1,0,1, Nan,0,
2013,Arkansas,Total,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arkansas,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arkansas,Cities,Bentonville,0,0,1,0,39132,0,
2013,Arkansas,Cities,Berryville,0,0,1,0,5417,0,
2013,Arkansas,Cities,Cabot,0,0,1,0,24695,0,
2013,Arkansas,Cities,England,0,1,0,0,2806,0,
2013,Arkansas,Cities,Fairfield Bay,0,0,1,0,2295,0,
2013,Arkansas,Cities,Fort Smith,0,0,0,2,87821,0,
2013,Arkansas,Cities,Gurdon,1,0,0,0,2184,0,
2013,Arkansas,Cities,Marion,0,0,1,0,12258,0,
2013,Arkansas,Cities,North Little Rock,0,1,0,0,65398,0,
2013,Arkansas,Cities,Pine Bluff,1,0,0,0,46399,0,
2013,Arkansas,Cities,Rogers,0,1,0,0,59787,0,
2013,Arkansas,Cities,Sherwood,1,0,0,0,29900,0,
2013,Arkansas,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arkansas,Universities and Colleges,"University of Arkansas, Pine Bluff",0,0,1,0,2828,0,
2013,Arkansas,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arkansas,Metropolitan Counties,Crawford,0,2,1,1, Nan,0,
2013,Arkansas,Metropolitan Counties,Faulkner,0,1,0,1, Nan,0,
2013,Arkansas,Metropolitan Counties,Lonoke,1,0,0,0, Nan,0,
2013,Arkansas,Metropolitan Counties,Pulaski,1,0,1,1, Nan,0,
2013,Arkansas,Metropolitan Counties,Sebastian,0,1,0,0, Nan,0,
2013,Arkansas,Nonmetropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,Arkansas,Nonmetropolitan Counties,Greene,0,0,1,0, Nan,0,
2013,Arkansas,Nonmetropolitan Counties,Pope,0,1,0,0, Nan,0,
2013,California,Total,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,California,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR, Nan,0,
2013,California,Cities,Adelanto,1,0,1,0,31165,0,
2013,California,Cities,Agoura Hills,0,2,0,0,20762,0,
2013,California,Cities,Alameda,0,0,0,1,76206,0,
2013,California,Cities,Alhambra,0,0,0,1,84710,0,
2013,California,Cities,Antioch,1,1,0,0,106447,0,
2013,California,Cities,Arcadia,1,0,0,0,57855,0,
2013,California,Cities,Atascadero,0,0,1,1,28938,0,
2013,California,Cities,Atwater,0,1,0,0,28906,0,
