year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
2016,Alabama,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Alabama,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Alabama,Cities,Birmingham,3,2,2,2,212549,0
2016,Alabama,Cities,Florence,0,0,1,0,40160,0
2016,Alabama,Cities,Foley,0,1,0,0,17639,0
2016,Alabama,Cities,Hoover,1,0,1,1,85601,0
2016,Alaska,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Alaska,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Alaska,Cities,Anchorage,1,0,2,1,299097,0
2016,Alaska,Cities,Juneau,1,1,3,1,32964,0
2016,Alaska,Cities,Wasilla,1,0,0,0,9585,0
2016,Arizona,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Arizona,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Arizona,Cities,Apache Junction,1,0,1,0,38506,0
2016,Arizona,Cities,Chandler,1,0,1,2,265922,0
2016,Arizona,Cities,Gilbert,1,0,0,0,255899,0
2016,Arizona,Cities,Glendale,0,1,0,0,242938,0
2016,Arizona,Cities,Mesa,3,0,0,2,478277,0
2016,Arizona,Cities,Phoenix,34,39,45,56,1586611,0
2016,Arizona,Cities,Prescott Valley,1,1,DNR,DNR,42900,0
2016,Arizona,Cities,Sahuarita,0,0,0,1,25792,0
2016,Arizona,Cities,Scottsdale,0,DNR,2,2,240885,0
2016,Arizona,Cities,St. Johns,1,0,0,0,3482,0
2016,Arizona,Cities,Tempe,1,0,0,0,178654,0
2016,Arizona,Cities,Tucson,2,1,1,1,533663,0
2016,Arizona,Cities,Williams,0,1,0,0,3140,0
2016,Arizona,Cities,Yuma,1,1,2,0,94696,0
2016,Arizona,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Arizona,Universities and Colleges,"Arizona State University, Main Campus",0,0,0,1,90906,0
2016,Arizona,Universities and Colleges,University of Arizona,0,2,DNR,DNR,42595,0
2016,Arizona,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Arizona,Metropolitan Counties,Maricopa,DNR,0,3,0,No Data,0
2016,Arizona,Metropolitan Counties,Pima,0,1,0,DNR,No Data,0
2016,Arkansas,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Arkansas,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Arkansas,Cities,Fort Smith,2,0,0,2,88573,0
2016,Arkansas,Cities,Jacksonville,0,0,0,2,28684,0
2016,Arkansas,Cities,Little Rock,0,1,0,0,198800,0
2016,Arkansas,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
