agencyName,agencyType,state,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,recent_population,zeroCount,dnrCount,reportCount,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4
Abbeville,Cities,ALABAMA,5177,No Data,2869, Nan,5232,2946,No Data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberdeen,Cities,IDAHO,1601,1613,1617,6760,26593,17161,15917,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0
Aberdeen Township,Cities,NEW JERSEY,18562,18312,18215,18150,18319,18271,18575,,,,,1,1,2,1,3,4,1,3,0,0,1,0,1,6,1,3,0,0,0,2,3,1,0,4,DNR,0,1,1
Abernathy,Cities,TEXAS,2728,2732,2801,2821,2877,2864,2748,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abilene,Cities,KANSAS,122523,121764,120686,119401,119886,119526,116938,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abingdon,Cities,VIRGINIA,8105,8137,8209,8186,8273,8289,8059,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abington,Cities,MASSACHUSETTS,16201,16252,16200,16121,16215,16082,16836,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abington Township, Montgomery County",Cities,PENNSYLVANIA,55623,55753,55628,55559,55731,55486,54235,,,,,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,DNR,0,0,2,0,0
Absecon,Cities,NEW JERSEY,8298,8367,8399,8380,8447,8439,8728,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia,Metropolitan Counties,Louisiana,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,DNR,DNR,DNR
