agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4
Abbeville,Cities,ALABAMA,5177,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberdeen,Cities,IDAHO,1601,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,0,0,0,0,0,0,0,0,0,0
Aberdeen Township,Cities,NEW JERSEY,18562,8,1,19,1,1,2,1,3,4,1,3,0,0,1,0,1,6,1,3,0,0,0,2,3,1,0,4,DNR,0,1,1
Abernathy,Cities,TEXAS,2728,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abilene,Cities,KANSAS,122523,26,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abingdon,Cities,VIRGINIA,8105,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abington,Cities,MASSACHUSETTS,16201,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abington Township, Montgomery County",Cities,PENNSYLVANIA,55623,20,1,7,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,DNR,0,0,2,0,0
Absecon,Cities,NEW JERSEY,8298,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia,Metropolitan Counties,Louisiana,No Data,5,2,21,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0,DNR,DNR,DNR
Accomack,Nonmetropolitan Counties,VIRGINIA,No Data,22,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
Achille,Cities,OKLAHOMA,513,22,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,0,0,DNR,DNR,DNR
Ackerman,Cities,MISSISSIPPI,1472,22,5,1,DNR,DNR,0,DNR,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,DNR,0,0,0,0,0,0,0
Acton,Cities,MASSACHUSETTS,23770,9,0,19,1,0,0,2,1,1,4,0,1,1,0,1,0,2,0,1,0,0,2,1,4,2,2,1,1,2,0,0
Acushnet,Cities,MASSACHUSETTS,10466,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acworth,Cities,Georgia,22467,14,5,9,No Data,No Data,No Data,No Data,DNR,DNR,0,0,0,0,0,DNR,0,0,DNR,DNR,No Data,No Data,No Data,No Data,0,0,0,0,0,0,0,0
Ada,Metropolitan Counties,IDAHO,17390,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR
