agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,zeroClass,dnrClass,reportClass,popClass
Abbeville,Cities,ALABAMA,5177,27,0,1,,,,
Aberdeen,Cities,IDAHO,1601,25,2,1,,,,
Aberdeen Township,Cities,NEW JERSEY,18562,8,1,19,,,,
Abernathy,Cities,TEXAS,2728,27,0,1,,,,
Abilene,Cities,KANSAS,122523,26,0,2,,,,
Abingdon,Cities,VIRGINIA,8105,27,0,1,,,,
Abington,Cities,MASSACHUSETTS,16201,27,0,1,,,,
"Abington Township, Montgomery County",Cities,PENNSYLVANIA,55623,20,1,7,,,,
Absecon,Cities,NEW JERSEY,8298,27,0,1,,,,
Acadia,Metropolitan Counties,Louisiana,No Data,5,2,21,,,,
Accomack,Nonmetropolitan Counties,VIRGINIA,No Data,22,0,6,,,,
Achille,Cities,OKLAHOMA,513,22,5,1,,,,
Ackerman,Cities,MISSISSIPPI,1472,22,5,1,,,,
Acton,Cities,MASSACHUSETTS,23770,9,0,19,,,,
Acushnet,Cities,MASSACHUSETTS,10466,27,0,1,,,,
Acworth,Cities,Georgia,22467,14,5,9,,,,
Ada,Metropolitan Counties,IDAHO,17390,27,0,1,,,,
Adair,Nonmetropolitan Counties,IOWA,No Data,27,0,1,,,,
Adair Village,Cities,OREGON,849,12,0,16,,,,
Adairsville,Cities,GEORGIA,4804,26,1,1,,,,
Adairville,Cities,Kentucky,888,15,0,13,,,,
Adams,Metropolitan Counties,COLORADO,No Data,27,0,1,,,,
"Adams Township, Butler County",Cities,PENNSYLVANIA,13531,26,1,1,,,,
"Adams Township, Cambria County",Cities,PENNSYLVANIA,5710,16,7,5,,,,
Adams Village,Cities,NEW YORK,1837,26,1,1,,,,
Adamstown,Cities,PENNSYLVANIA,1848,26,1,1,,,,
Adamsville,Cities,ALABAMA,2245,27,0,1,,,,
Addis,Cities,LOUISIANA,4808,24,3,1,,,,
Addison,Cities,ALABAMA,13523,27,0,1,,,,
Addison Town and Village,Cities,NEW YORK,2541,27,0,1,,,,
Addison Township,Cities,Michigan,6532,7,0,21,,,,
Addyston,Cities,OHIO,934,12,4,12,,,,
Adel,Cities,GEORGIA,4356,27,0,1,,,,
Adelanto,Cities,CALIFORNIA,33479,20,0,8,,,,
Adrian,Cities,MICHIGAN,1611,27,0,1,,,,
Adrian Township,Cities,Michigan,6352,8,0,20,,,,
Advance,Cities,MISSOURI,1369,27,0,1,,,,
Afton,Cities,WYOMING,1983,27,0,1,,,,
Afton Village,Cities,New York,806,19,0,9,,,,
Agawam,Cities,MASSACHUSETTS,28844,25,0,3,,,,
Agoura Hills,Cities,CALIFORNIA,21032,22,0,6,,,,
Ahoskie,Cities,NORTH CAROLINA,4883,27,0,1,,,,
Aiken,Cities,SOUTH CAROLINA,No Data,27,0,1,,,,
Airway Heights,Cities,WASHINGTON,8425,27,0,1,,,,
Aitkin,Nonmetropolitan Counties,MINNESOTA,No Data,20,7,1,,,,
Akeley,Cities,Minnesota,431,1,2,25,,,,
Akron,Cities,OHIO,4014,26,1,1,,,,
Akron Village,Cities,NEW YORK,2840,26,1,1,,,,
Akron-Fairgrove,Cities,Michigan,961,2,2,24,,,,
Alabaster,Cities,ALABAMA,30498,4,3,21,,,,
Alachua,Metropolitan Counties,FLORIDA,9456,20,0,8,,,,
Alamance,Metropolitan Counties,NORTH CAROLINA,No Data,27,0,1,,,,
Alameda,Cities,CALIFORNIA,75467,27,0,1,,,,
Alamo,Cities,GEORGIA,19409,27,0,1,,,,
Alamo Heights,Cities,TEXAS,8248,27,0,1,,,,
Alamogordo,Cities,NEW MEXICO,31546,18,2,8,,,,
Alamosa,Cities,COLORADO,No Data,27,0,1,,,,
Alapaha,Cities,Georgia,653,15,4,9,,,,
Albany,Cities,CALIFORNIA,No Data,27,0,1,,,,
Albemarle,Cities,NORTH CAROLINA,16024,24,0,4,,,,
Albemarle County Police Department,Metropolitan Counties,VIRGINIA,No Data,4,0,24,,,,
Albers,Cities,ILLINOIS,1177,13,3,12,,,,
Albert Lea,Cities,Minnesota,17604,17,5,6,,,,
Albia,Cities,IOWA,3840,27,0,1,,,,
Albion,Cities,ILLINOIS,1459,22,5,1,,,,
Albion Village,Cities,NEW YORK,5984,19,4,5,,,,
Albuquerque,Cities,NEW MEXICO,561560,0,3,25,,,,
Alburtis,Cities,PENNSYLVANIA,2552,23,4,1,,,,
Alcester,Cities,South Dakota,752,12,3,13,,,,
Alcoa,Cities,TENNESSEE,9503,23,0,5,,,,
Alcona,Nonmetropolitan Counties,MICHIGAN,No Data,27,0,1,,,,
Aldan,Cities,PENNSYLVANIA,4168,24,3,1,,,,
Alderson,Cities,West Virginia,1181,20,3,5,,,,
Aledo,Cities,ILLINOIS,3549,20,3,5,,,,
Aleppo Township,Cities,PENNSYLVANIA,1903,26,1,1,,,,
Alexander,Metropolitan Counties,ILLINOIS,No Data,27,0,1,,,,
Alexander City,Cities,ALABAMA,15229,4,0,24,,,,
Alexandria,Cities,VIRGINIA,1625,27,0,1,,,,
Alexandria Bay Village,Cities,NEW YORK,1102,23,4,1,,,,
Alexis,Cities,Illinois,805,7,0,21,,,,
Alfalfa,Nonmetropolitan Counties,OKLAHOMA,No Data,27,0,1,,,,
Alfred Village,Cities,NEW YORK,4039,23,0,5,,,,
Alger,Nonmetropolitan Counties,MICHIGAN,No Data,26,0,2,,,,
Algoma,Cities,WISCONSIN,3079,26,0,2,,,,
Algona,Cities,IOWA,5453,27,0,1,,,,
Algonac,Cities,MICHIGAN,4107,7,0,21,,,,
Algonquin,Cities,Illinois,30673,16,0,12,,,,
Algood,Cities,TENNESSEE,3770,27,0,1,,,,
Alhambra,Cities,CALIFORNIA,86035,23,0,5,,,,
Alice,Cities,TEXAS,19464,27,0,1,,,,
Aliceville,Cities,ALABAMA,2423,4,0,24,,,,
Aliquippa,Cities,PENNSYLVANIA,9150,25,2,1,,,,
Aliso Viejo,Cities,CALIFORNIA,50604,24,0,4,,,,
Allamakee,Nonmetropolitan Counties,Iowa,No Data,19,0,9,,,,
Allegan,Nonmetropolitan Counties,MICHIGAN,5088,24,0,4,,,,
Allegany,Metropolitan Counties,MARYLAND,No Data,26,1,1,,,,
Allegany County Bureau of Police,Metropolitan Counties,MARYLAND,No Data,4,0,24,,,,
Allegany Village,Cities,NEW YORK,1726,26,1,1,,,,
Alleghany,Nonmetropolitan Counties,NORTH CAROLINA,No Data,27,0,1,,,,
Allegheny,Metropolitan Counties,PENNSYLVANIA,No Data,23,3,2,,,,
Allegheny County Police Department,Metropolitan Counties,PENNSYLVANIA,No Data,24,3,1,,,,
"Allegheny Township, Blair County",Cities,PENNSYLVANIA,6652,23,4,1,,,,
"Allegheny Township, Westmoreland County",Cities,PENNSYLVANIA,8213,26,1,1,,,,
Allen,Cities,TEXAS,101020,27,0,1,,,,
Allen Park,Cities,MICHIGAN,27284,26,0,2,,,,
Allendale,Cities,NEW JERSEY,3064,27,0,1,,,,
Allenhurst,Cities,NEW JERSEY,490,24,1,3,,,,
Allentown,Cities,NEW JERSEY,120615,26,1,1,,,,
Alliance,Cities,OHIO,22012,27,0,1,,,,
Alma,Cities,ARKANSAS,742,27,0,1,,,,
Almont,Cities,MICHIGAN,2734,27,0,1,,,,
Alorton,Cities,ILLINOIS,2500,4,0,24,,,,
Alpena,Cities,MICHIGAN,No Data,27,0,1,,,,
Alpha,Cities,NEW JERSEY,2291,27,0,1,,,,
Alpharetta,Cities,GEORGIA,64943,26,1,1,,,,
Alpine,Nonmetropolitan Counties,CALIFORNIA,5939,27,0,1,,,,
Alsip,Cities,Illinois,19357,23,0,5,,,,
Alstead,Cities,NEW HAMPSHIRE,1911,27,0,1,,,,
Altamont,Cities,ILLINOIS,1041,27,0,1,,,,
Altamont Village,Cities,NEW YORK,1721,27,0,1,,,,
Altamonte Springs,Cities,FLORIDA,42301,20,0,8,,,,
Altavista,Cities,VIRGINIA,3478,26,0,2,,,,
Altha,Cities,FLORIDA,538,20,0,8,,,,
Alto,Cities,GEORGIA,1163,14,6,8,,,,
Alton,Cities,ILLINOIS,16137,27,0,1,,,,
Altoona,Cities,IOWA,7446,27,0,1,,,,
Alturas,Cities,CALIFORNIA,2549,27,0,1,,,,
Altus,Cities,OKLAHOMA,19093,26,0,2,,,,
Alva,Cities,OKLAHOMA,5227,27,0,1,,,,
Alvarado,Cities,TEXAS,4058,27,0,1,,,,
Alvin,Cities,TEXAS,26100,25,1,2,,,,
Amador,Nonmetropolitan Counties,CALIFORNIA,No Data,21,0,7,,,,
Amarillo,Cities,TEXAS,200141,26,0,2,,,,
Amberley Village,Cities,OHIO,3602,13,7,8,,,,
Ambler,Cities,PENNSYLVANIA,6517,25,1,2,,,,
Amboy,Cities,ILLINOIS,2330,27,0,1,,,,
Ambridge,Cities,PENNSYLVANIA,6822,26,1,1,,,,
Amelia,Metropolitan Counties,VIRGINIA,4957,27,0,1,,,,
American Canyon,Cities,CALIFORNIA,20068,16,0,12,,,,
American Canyon ,Cities,California,20746,11,0,17,,,,
American Falls,Cities,IDAHO,4291,27,0,1,,,,
American Fork/Cedar Hills,Cities,UTAH,39028,27,0,1,,,,
American Township,Cities,OHIO,12254,27,0,1,,,,
Americus,Cities,GEORGIA,882,21,6,1,,,,
Amery,Cities,WISCONSIN,2816,27,0,1,,,,
Ames,Cities,IOWA,66333,24,0,4,,,,
Amesbury,Cities,MASSACHUSETTS,17563,22,0,6,,,,
Amherst,Cities,MASSACHUSETTS,2216,27,0,1,,,,
Amherst Town,Cities,NEW YORK,120436,19,0,9,,,,
Amite,Cities,LOUISIANA,4179,5,3,20,,,,
Amity,Cities,OREGON,1646,27,0,1,,,,
Amity Town and Belmont Village,Cities,NEW YORK,2210,27,0,1,,,,
Amity Township,Cities,PENNSYLVANIA,12884,26,1,1,,,,
Amityville Village,Cities,NEW YORK,9477,27,0,1,,,,
Amory,Cities,MISSISSIPPI,7167,13,3,12,,,,
Amsterdam,Cities,NEW YORK,17891,24,3,1,,,,
Anacortes,Cities,WASHINGTON,16532,24,0,4,,,,
Anadarko,Cities,OKLAHOMA,6702,26,0,2,,,,
Anaheim,Cities,CALIFORNIA,353504,21,0,7,,,,
Anamosa,Cities,IOWA,5454,27,0,1,,,,
Anchorage,Cities,ALASKA,2434,25,0,3,,,,
Andale,Cities,KANSAS,1004,25,2,1,,,,
Andalusia,Cities,ALABAMA,8946,4,0,24,,,,
Anderson,Cities,SOUTH CAROLINA,No Data,27,0,1,,,,
Andover,Cities,KANSAS,35558,22,3,3,,,,
Andover Township,Cities,NEW JERSEY,5979,26,1,1,,,,
Andover Village,Cities,New York,1001,8,3,17,,,,
Andrew,Metropolitan Counties,MISSOURI,No Data,23,0,5,,,,
Andrews,Cities,SOUTH CAROLINA,No Data,27,0,1,,,,
Androscoggin,Metropolitan Counties,MAINE,No Data,24,0,4,,,,
Angel Fire,Cities,NEW MEXICO,1206,7,5,16,,,,
Angelica Village,Cities,NEW YORK,832,19,0,9,,,,
Angelina,Nonmetropolitan Counties,TEXAS,No Data,25,2,1,,,,
Angels Camp,Cities,California,3755,3,0,25,,,,
Angier,Cities,NORTH CAROLINA,5097,27,0,1,,,,
Angleton,Cities,TEXAS,19546,27,0,1,,,,
Angola,Cities,Indiana,8661,4,0,24,,,,
Ankeny,Cities,IOWA,59236,27,0,1,,,,
Ann Arbor,Cities,MICHIGAN,117688,10,0,18,,,,
Anna,Cities,TEXAS,12233,27,0,1,,,,
Annandale,Cities,Minnesota,3317,18,5,5,,,,
Annapolis,Cities,MARYLAND,343,23,3,2,,,,
Annawan,Cities,Illinois,854,7,0,21,,,,
Anne Arundel,Metropolitan Counties,MARYLAND,No Data,27,0,1,,,,
Anne Arundel County Police Department,Metropolitan Counties,MARYLAND,No Data,22,0,6,,,,
Anniston,Cities,ALABAMA,23703,4,0,24,,,,
Annville Township,Cities,PENNSYLVANIA,4835,26,1,1,,,,
Anoka,Cities,Minnesota,17389,18,5,5,,,,
Anson,Metropolitan Counties,NORTH CAROLINA,2315,27,0,1,,,,
Ansonia,Cities,CONNECTICUT,18776,27,0,1,,,,
Ansted,Cities,West Virginia,1393,4,4,20,,,,
Antelope,Nonmetropolitan Counties,Nebraska,No Data,11,0,17,,,,
Anthony,Cities,KANSAS,5618,27,0,1,,,,
Antigo,Cities,WISCONSIN,7801,27,0,1,,,,
Antioch,Cities,CALIFORNIA,14302,27,0,1,,,,
Antlers,Cities,OKLAHOMA,2336,27,0,1,,,,
Antrim,Nonmetropolitan Counties,MICHIGAN,2662,27,0,1,,,,
Apache,Cities,OKLAHOMA,1426,27,0,1,,,,
Apache Junction,Cities,ARIZONA,38506,14,1,13,,,,
Apalachicola,Cities,FLORIDA,2266,20,0,8,,,,
Apex,Cities,NORTH CAROLINA,47324,24,0,4,,,,
Apollo,Cities,PENNSYLVANIA,1577,19,8,1,,,,
Apopka,Cities,FLORIDA,46572,19,0,9,,,,
Appalachia,Cities,VIRGINIA,1655,27,0,1,,,,
Appanoose,Nonmetropolitan Counties,IOWA,No Data,27,0,1,,,,
Apple Creek,Cities,Ohio,1186,13,2,13,,,,
Apple Valley,Cities,CALIFORNIA,51648,22,3,3,,,,
Appleton,Cities,WISCONSIN,1328,20,3,5,,,,
Appleton City,Cities,MISSOURI,1085,23,4,1,,,,
Appling,Nonmetropolitan Counties,Georgia,No Data,10,5,13,,,,
Appomattox,Metropolitan Counties,VIRGINIA,No Data,24,0,4,,,,
Aquinnah,Cities,MASSACHUSETTS,331,23,4,1,,,,
Arab,Cities,ALABAMA,8438,4,0,24,,,,
Aragon,Cities,GEORGIA,1241,16,3,9,,,,
Aransas,Metropolitan Counties,TEXAS,No Data,27,0,1,,,,
Aransas Pass,Cities,TEXAS,8603,27,0,1,,,,
Arapahoe,Metropolitan Counties,COLORADO,No Data,11,0,17,,,,
Arbyrd,Cities,MISSOURI,482,23,4,1,,,,
Arcade,Cities,GEORGIA,1801,26,1,1,,,,
Arcade Village,Cities,NEW YORK,1971,25,2,1,,,,
Arcadia,Cities,CALIFORNIA,3004,27,0,1,,,,
Arcanum,Cities,OHIO,2094,18,2,8,,,,
Arcata,Cities,CALIFORNIA,17913,21,0,7,,,,
Archbald,Cities,PENNSYLVANIA,6951,21,6,1,,,,
Archbold,Cities,OHIO,4342,8,3,17,,,,
Archdale,Cities,NORTH CAROLINA,11593,26,0,2,,,,
Archer,Metropolitan Counties,TEXAS,No Data,27,0,1,,,,
Archer City,Cities,TEXAS,1737,15,0,13,,,,
Archie,Cities,MISSOURI,1205,27,0,1,,,,
Archuleta,Nonmetropolitan Counties,COLORADO,No Data,25,2,1,,,,
Arcola,Cities,ILLINOIS,1679,27,0,1,,,,
Arden Hills,Cities,Minnesota,9956,12,4,12,,,,
Ardmore,Cities,ALABAMA,1213,26,0,2,,,,
Ardsley Village,Cities,NEW YORK,4674,26,1,1,,,,
