agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,zeroClass,dnrClass,reportClass,popClass
Acadia,Metropolitan Counties,Louisiana,No Data,5,2,21,1,0,5,-1
Accomack,Nonmetropolitan Counties,VIRGINIA,No Data,22,0,6,5,0,1,-1
Ada,Metropolitan Counties,IDAHO,17390,27,0,1,6,0,0,4
Adair,Nonmetropolitan Counties,IOWA,No Data,27,0,1,6,0,0,-1
Adams,Metropolitan Counties,COLORADO,No Data,27,0,1,6,0,0,-1
Aitkin,Nonmetropolitan Counties,MINNESOTA,No Data,20,7,1,5,1,0,-1
Alachua,Metropolitan Counties,FLORIDA,9456,20,0,8,5,0,2,3
Alamance,Metropolitan Counties,NORTH CAROLINA,No Data,27,0,1,6,0,0,-1
Albemarle County Police Department,Metropolitan Counties,VIRGINIA,No Data,4,0,24,1,0,6,-1
Alcona,Nonmetropolitan Counties,MICHIGAN,No Data,27,0,1,6,0,0,-1
Alexander,Metropolitan Counties,ILLINOIS,No Data,27,0,1,6,0,0,-1
Alfalfa,Nonmetropolitan Counties,OKLAHOMA,No Data,27,0,1,6,0,0,-1
Alger,Nonmetropolitan Counties,MICHIGAN,No Data,26,0,2,6,0,0,-1
Allamakee,Nonmetropolitan Counties,Iowa,No Data,19,0,9,4,0,2,-1
Allegan,Nonmetropolitan Counties,MICHIGAN,5088,24,0,4,6,0,1,3
Allegany,Metropolitan Counties,MARYLAND,No Data,26,1,1,6,0,1,-1
Allegany County Bureau of Police,Metropolitan Counties,MARYLAND,No Data,4,0,24,1,0,6,-1
Alleghany,Nonmetropolitan Counties,NORTH CAROLINA,No Data,27,0,1,6,0,0,-1
Allegheny,Metropolitan Counties,PENNSYLVANIA,No Data,23,3,2,5,0,0,-1
Allegheny County Police Department,Metropolitan Counties,PENNSYLVANIA,No Data,24,3,1,6,0,0,-1
Alpine,Nonmetropolitan Counties,CALIFORNIA,5939,27,0,1,6,0,0,3
