agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,zeroClass,dnrClass,reportClass,popClass
Abbeville,Cities,ALABAMA,5177,27,0,1,6,0,0,3
Aberdeen,Cities,IDAHO,1601,25,2,1,6,0,0,3
Aberdeen Township,Cities,NEW JERSEY,18562,8,1,19,2,0,4,4
Abernathy,Cities,TEXAS,2728,27,0,1,6,0,0,3
Abilene,Cities,KANSAS,122523,26,0,2,6,0,0,5
Abingdon,Cities,VIRGINIA,8105,27,0,1,6,0,0,3
Abington,Cities,MASSACHUSETTS,16201,27,0,1,6,0,0,4
"Abington Township, Montgomery County",Cities,PENNSYLVANIA,55623,20,1,7,5,0,1,4
Absecon,Cities,NEW JERSEY,8298,27,0,1,6,0,0,3
Acadia,Metropolitan Counties,Louisiana,No Data,5,2,21,1,0,5,-1
Accomack,Nonmetropolitan Counties,VIRGINIA,No Data,22,0,6,5,0,1,-1
Achille,Cities,OKLAHOMA,513,22,5,1,5,1,0,2
Ackerman,Cities,MISSISSIPPI,1472,22,5,1,5,1,0,3
Acton,Cities,MASSACHUSETTS,23770,9,0,19,2,0,4,4
Acushnet,Cities,MASSACHUSETTS,10466,27,0,1,6,0,0,4
Acworth,Cities,Georgia,22467,14,5,9,3,1,2,4
Ada,Metropolitan Counties,IDAHO,17390,27,0,1,6,0,0,4
Adair,Nonmetropolitan Counties,IOWA,No Data,27,0,1,6,0,0,-1
Adair Village,Cities,OREGON,849,12,0,16,3,0,4,2
Adairsville,Cities,GEORGIA,4804,26,1,1,6,0,4,3
Adairville,Cities,Kentucky,888,15,0,13,3,0,3,2
Adams,Metropolitan Counties,COLORADO,No Data,27,0,1,6,0,0,-1
"Adams Township, Butler County",Cities,PENNSYLVANIA,13531,26,1,1,6,0,0,4
"Adams Township, Cambria County",Cities,PENNSYLVANIA,5710,16,7,5,4,1,1,3
Adams Village,Cities,NEW YORK,1837,26,1,1,6,0,1,3
Adamstown,Cities,PENNSYLVANIA,1848,26,1,1,6,0,1,3
Adamsville,Cities,ALABAMA,2245,27,0,1,6,0,0,3
Addis,Cities,LOUISIANA,4808,24,3,1,6,0,0,3
Addison,Cities,ALABAMA,13523,27,0,1,6,0,0,4
Addison Town and Village,Cities,NEW YORK,2541,27,0,1,6,0,0,3
Addison Township,Cities,Michigan,6532,7,0,21,1,0,5,3
Addyston,Cities,OHIO,934,12,4,12,3,1,5,2
Adel,Cities,GEORGIA,4356,27,0,1,6,0,0,3
Adelanto,Cities,CALIFORNIA,33479,20,0,8,5,0,2,4
Adrian,Cities,MICHIGAN,1611,27,0,1,6,0,0,3
Adrian Township,Cities,Michigan,6352,8,0,20,2,0,5,3
Advance,Cities,MISSOURI,1369,27,0,1,6,0,0,3
Afton,Cities,WYOMING,1983,27,0,1,6,0,0,3
Afton Village,Cities,New York,806,19,0,9,4,0,2,2
Agawam,Cities,MASSACHUSETTS,28844,25,0,3,6,0,0,4
Agoura Hills,Cities,CALIFORNIA,21032,22,0,6,5,0,1,4
Ahoskie,Cities,NORTH CAROLINA,4883,27,0,1,6,0,0,3
Aiken,Cities,SOUTH CAROLINA,No Data,27,0,1,6,0,0,-1
Airway Heights,Cities,WASHINGTON,8425,27,0,1,6,0,0,3
Aitkin,Nonmetropolitan Counties,MINNESOTA,No Data,20,7,1,5,1,0,-1
