Table 13,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,
"per Bias Motivation and Quarter
by State and Agency, 2011",,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
Alabama,Total,,58,5,7,11,2,,,,,
,Cities,,47,3,7,10,2,,,,,
,,Abbeville,2,0,0,0,0,1,1,,,"2,701"
,,Adamsville,2,0,0,0,0,1,,,1,"4,544"
,,Alabaster,0,0,0,1,0,1,,,,"30,498"
,,Centre,1,0,0,0,0,,,,1,"3,506"
,,Clanton,2,0,0,0,0,1,,1,,"8,660"
,,Decatur,1,0,0,2,0,,1,2,,"55,951"
,,Douglas,0,0,0,1,0,,1,,,748
,,Elba,1,0,0,0,0,,,1,,"3,959"
,,Enterprise,2,0,0,0,0,0,0,1,1,"26,690"
,,Foley,2,0,0,0,0,0,2,0,0,"14,688"
,,Fort Payne,1,0,1,0,0,2,,,,"14,079"
,,Fultondale,1,0,0,0,0,,,,1,"8,420"
,,Fyffe,0,2,0,0,0,2,,,,"1,023"
,,Greenville,1,0,0,0,0,,,,1,"8,174"
,,Guntersville,0,1,0,1,0,0,1,1,,"8,236"
,,Haleyville,1,0,0,0,0,1,,,,"4,193"
,,Heflin,1,0,0,0,0,1,,,,"3,497"
,,Hoover,1,0,0,1,0,0,0,1,1,"82,012"
,,Hueytown,1,0,0,0,0,,,,1,"16,183"
,,Irondale,2,0,0,0,0,,2,,,"12,408"
,,Jackson,1,0,0,0,0,,,,1,"5,253"
,,Jacksonville,1,0,0,0,0,,,,1,"12,608"
,,Jasper,2,0,0,0,0,,0,1,1,"14,421"
,,Lincoln,2,0,0,0,0,,1,1,,"6,296"
,,Montgomery,0,0,0,1,0,1,,,,"206,754"
,,Mount Vernon,1,0,0,0,0,,,,1,"1,582"
,,Orange Beach,1,0,2,0,0,,1,2,,"5,467"
,,Oxford,1,0,3,1,0,1,3,,1,"21,451"
,,Ozark,1,0,0,0,0,0,,,1,"14,979"
,,Parrish,0,0,1,0,0,,,1,,987
,,Pelham,1,0,0,0,0,0,0,0,1,"21,455"
,,Phenix City,1,0,0,0,0,1,,,,"32,980"
,,Piedmont,1,0,0,0,0,1,,,,"4,901"
,,Prattville,1,0,0,0,0,0,1,,,"34,123"
,,Roanoke,3,0,0,0,1,1,1,1,1,"6,103"
,,Saraland,2,0,0,0,0,1,1,,,"13,470"
,,Sheffield,1,0,0,0,0,0,1,,,"9,083"
,,Sylacauga,2,0,0,0,0,0,0,2,0,"12,810"
,,Town Creek,0,0,0,0,1,0,1,,,"1,105"
,,Tuscaloosa,1,0,0,2,0,1,,2,0,"90,903"
,,Tuscumbia,1,0,0,0,0,,,,1,"8,464"
,,Weaver,1,0,0,0,0,,,1,,"3,053"
,Metropolitan Counties,,7,1,0,1,0,,,,,
,,Blount,2,0,0,0,0,,1,1,,
,,Chilton,1,1,0,1,0,1,,1,1,
,,Madison,1,0,0,0,0,,,,1,
,,Tuscaloosa,3,0,0,0,0,1,1,,1,
,Nonmetropolitan Counties,,4,1,0,0,0,,,,,
,,Coosa,0,1,0,0,0,1,,,,
,,Cullman,1,0,0,0,0,,,1,,
,,Marengo,1,0,0,0,0,,1,,,
,,Washington,2,0,0,0,0,1,,,1,
Alaska,Total,,5,2,1,0,0,,,,,
,Cities,,5,2,1,0,0,,,,,
,,Anchorage,5,2,1,0,0,1,1,5,1,"296,955"
Arizona,Total,,80,35,35,41,1,,,,,
,Cities,,72,29,32,36,1,,,,,
,,Apache Junction,0,0,0,2,0,0,1,0,1,"36,347"
,,Avondale,1,0,0,1,0,0,1,1,0,"77,317"
,,Buckeye,1,3,0,0,0,0,3,1,0,"51,596"
,,Camp Verde,0,1,0,0,0,0,0,1,0,"11,027"
,,Chandler,0,0,0,1,0,1,0,0,0,"239,466"
,,Coolidge,1,0,0,0,0,0,1,0,0,"11,992"
,,Gilbert,1,1,0,0,0,2,0,0,0,"211,404"
,,Glendale,4,2,2,1,0,4,0,2,3,"229,931"
,,Maricopa,0,0,1,1,0,0,0,0,2,"44,098"
,,Mesa,4,3,1,0,0,2,3,1,2,"445,256"
,,Phoenix,50,16,28,28,1,27,33,35,28,"1,466,097"
,,Prescott Valley,0,0,0,1,0,1,,0,0,"39,372"
,,Scottsdale,3,2,0,0,0,0,1,2,2,"220,462"
,,Somerton,1,0,0,0,0,1,0,0,0,"14,489"
,,Surprise,1,0,0,0,0,1,0,0,0,"119,181"
,,Tempe,2,1,0,0,0,0,2,0,1,"164,008"
,,Wickenburg,1,0,0,0,0,0,0,1,0,"6,453"
,,Yuma,2,0,0,1,0,1,1,0,1,"94,381"
,Universities and Colleges,,1,2,0,2,0,,,,,
,,Central Arizona College,0,1,0,0,0,1,0,0,0,"7,117"
,,University of Arizona,1,1,0,2,0,0,1,1,2,"39,086"
,Metropolitan Counties,,6,4,3,3,0,,,,,
,,Maricopa,2,1,0,1,0,2,1,1,0,
,,Mohave,0,0,1,0,0,0,1,0,0,
,,Pima,3,2,0,1,0,1,2,2,1,
,,Pinal,1,1,0,0,0,0,1,0,1,
,,Yavapai,0,0,2,1,0,0,2,0,1,
,Other Agencies,,1,0,0,0,0,,,,,
,,Tucson Airport Authority,1,0,0,0,0,1,0,0,0,
Arkansas,Total,,7,1,1,2,0,,,,,
,Cities,,5,0,1,1,0,,,,,
,,Benton,1,0,0,0,0,0,0,0,1,"30,913"
,,Conway,1,0,0,0,0,0,1,0,0,"59,354"
,,Newport,1,0,0,0,0,0,1,0,0,"7,939"
,,Paragould,1,0,0,0,0,0,0,1,0,"26,311"
,,Russellville,0,0,0,1,0,0,0,1,0,"28,131"
,,Siloam Springs,0,0,1,0,0,1,0,0,0,"15,153"
,,Texarkana,1,0,0,0,0,0,1,0,0,"30,145"
,Metropolitan Counties,,2,0,0,1,0,,,,,
,,Benton,0,0,0,1,0,0,1,0,0,
,,Pulaski,2,0,0,0,0,1,1,0,0,
,Nonmetropolitan Counties,,0,1,0,0,0,,,,,
,,Independence,0,1,0,0,0,0,0,1,0,
California,Total,,415,202,246,170,7,,,,,
,Cities,,359,167,216,132,6,,,,,
,,Alhambra,0,0,0,1,0,0,0,1,0,"84,066"
,,Aliso Viejo,1,0,0,0,0,1,0,0,0,"48,385"
,,Anaheim,2,1,1,1,0,2,0,2,1,"340,218"
,,Anderson,1,0,0,0,0,0,0,1,0,"10,049"
,,Antioch3,3,2,1,1,0,2,0,4,1,"103,575"
,,Arroyo Grande,1,0,0,0,0,1,0,0,0,"17,455"
,,Artesia,0,0,0,1,0,0,0,1,0,"16,716"
,,Arvin,0,0,1,0,0,0,1,0,0,"19,531"
,,Atherton,0,1,0,0,0,0,1,0,0,"6,995"
,,Azusa,4,0,0,0,0,2,1,0,1,"46,906"
,,Bakersfield,3,0,2,0,0,2,0,1,2,"351,568"
,,Baldwin Park,2,0,1,1,0,2,0,2,0,"76,276"
