Table 13,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,
"by State and Agency, 2013",,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter1,,,,Population2,,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,
Alabama,Total,,5,0,1,0,0,0,0,,,,,,,
,Cities,,5,0,1,0,0,0,0,,,,,,,
,,Florence,2,0,0,0,0,0,0,0,1,0,1,"39,481",,
,,Hoover,0,0,1,0,0,0,0,0,1,0,0,"84,139",,
,,Prattville,2,0,0,0,0,0,0,1,0,1,0,"35,154",,
,,Tuscaloosa,1,0,0,0,0,0,0,0,0,1,0,"94,126",,
Alaska,Total, ,8,0,0,0,0,0,0,,,,,,,
,Cities,,8,0,0,0,0,,,,,,,,,
,,Anchorage,8,0,0,0,0,0,0,2,3,3,0,"299,455",,
Arizona,Total,,73,30,27,24,1,0,0,,,,,,,
,Cities,,68,27,25,23,1,0,0,,,,,,,
,,Apache Junction,1,0,0,0,0,0,0,1,0,0,,"36,626",,
,,Avondale,4,0,0,1,0,0,0,1,1,3,0,"78,905",,
,,Eagar,0,0,0,1,0,0,0,0,1,0,0,"5,034",,
,,El Mirage,1,0,0,0,0,0,0,0,0,1,0,"32,837",,
,,Gilbert,1,0,0,0,0,0,0,1,0,0,0,"225,232",,
,,Glendale,2,3,1,1,0,0,0,2,0,3,2,"234,006",,
,,Goodyear,0,0,2,0,0,0,0,1,,1,0,"71,048",,
,,Maricopa,1,0,0,0,0,0,0,0,0,0,1,"44,871",,
,,Mesa,1,1,0,0,0,0,0,2,0,0,0,"456,155",,
,,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139",,
,,Prescott,0,0,0,1,0,0,0,0,0,0,1,"40,752",,
,,Scottsdale,0,1,0,1,0,0,0,0,0,0,2,"225,523",,
,,Tempe,1,0,2,0,0,0,0,2,0,1,0,"168,501",,
,,Tucson,13,6,6,1,0,0,0,8,8,6,4,"525,486",,
,,Yuma,3,4,0,3,0,0,0,3,5,0,2,"96,014",,
,Universities and Colleges,,2,0,1,0,0,0,0,,,,,,,
,,Northern Arizona University,0,0,1,0,0,0,0,0,0,0,1,"25,991",,
,,University of Arizona,2,0,0,0,0,0,0,2,0,0,0,"40,223",,
,Metropolitan Counties,,3,3,1,1,0,0,0,,,,,,,
,,Cochise,0,1,0,0,0,0,0,0,0,0,1,,,
,,Maricopa,1,1,0,0,0,0,0,0,,,2,,,
,,Pima,1,1,1,0,0,0,0,0,0,0,3,,,
,,Yuma,1,0,0,1,0,0,0,0,1,0,1,,, 
Arkansas,Total,,17,0,8,2,0,0,0,,,,,,,
,Cities,,10,0,3,0,0,0,0,,,,,,,
,,Bentonville,1,0,0,0,0,0,0,0,0,1,0,"39,132",,
,,Berryville,1,0,0,0,0,0,0,0,0,1,0,"5,417",,
,,Cabot,1,0,0,0,0,0,0,0,0,1,0,"24,695",,
,,England,1,0,0,0,0,0,0,0,1,0,0,"2,806",,
,,Fairfield Bay,1,0,0,0,0,0,0,0,0,1,0,"2,295",,
,,Fort Smith,1,0,1,0,0,0,0,0,0,0,2,"87,821",,
,,Gurdon,1,0,0,0,0,0,0,1,0,0,0,"2,184",,
,,Marion,0,0,1,0,0,0,0,0,0,1,0,"12,258",,
,,North Little Rock,1,0,0,0,0,0,0,0,1,0,0,"65,398",,
,,Pine Bluff,0,0,1,0,0,0,0,1,0,0,0,"46,399",,
,,Rogers,1,0,0,0,0,0,0,0,1,0,0,"59,787",,
,,Sherwood,1,0,0,0,0,0,0,1,0,0,0,"29,900",,
,Universities and Colleges,,0,0,1,0,0,0,0,,,,,,,
,,"University of Arkansas, Pine Bluff",0,0,1,0,0,0,0,0,0,1,0,"2,828",,
,Metropolitan Counties,,6,0,3,2,0,0,0,,,,,,,
,,Crawford,2,0,2,0,0,0,0,0,2,1,1,,,
,,Faulkner,1,0,0,1,0,0,0,0,1,0,1,,,
,,Lonoke,1,0,0,0,0,0,0,1,0,0,0,,,
,,Pulaski,1,0,1,1,0,0,0,1,0,1,1,,,
,,Sebastian,1,0,0,0,0,0,0,0,1,0,0,,,
,Nonmetropolitan Counties,,1,0,1,0,0,0,0,,,,,,,
,,Greene,1,0,0,0,0,0,0,0,0,1,0,,,
,,Pope,0,0,1,0,0,0,0,0,1,0,0,,,
California,Total,,374,129,217,115,1,0,7,,,,,,,
,Cities,,291,117,166,87,1,0,6,,,,,,,
,,Adelanto,1,0,0,1,0,0,0,1,0,1,0,"31,165",,
,,Agoura Hills,2,0,0,0,0,0,0,0,2,0,0,"20,762",,
,,Alameda,0,1,0,0,0,0,0,0,0,0,1,"76,206",,
,,Alhambra,1,0,0,0,0,0,0,0,0,0,1,"84,710",,
,,Antioch,2,0,0,0,0,0,0,1,1,0,0,"106,447",,
,,Arcadia,1,0,0,0,0,0,0,1,0,0,0,"57,855",,
,,Atascadero,1,0,0,1,0,0,0,0,0,1,1,"28,938",,
,,Atwater,0,0,0,1,0,0,0,0,1,0,0,"28,906",,
,,Auburn,1,0,0,0,0,0,0,0,1,0,0,"13,779",,
,,Azusa,1,0,0,0,0,0,0,0,0,1,0,"47,754",,
