Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,,
"by State and Agency, 2014",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter,,,,Population1,, ,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,
Alabama,Total,,7,1,0,1,0,0,0,,,,,,,,
,Cities,,7,1,0,1,0,0,0,,,,,,,, 
,,Fairfield,1,0,0,0,0,0,0,,1,,,"10,913",,,
,,Hoover,0,1,0,1,0,0,0,1,0,0,1,"84,843",,,
,,Prattville,4,0,0,0,0,0,0,,3,1,,"35,530",,,
,,Sylacauga,2,0,0,0,0,0,0,,,1,1,"12,722",,,
Alaska,Total,,5,0,1,0,0,0,0,,,,,,,,
,Cities,,5,0,1,0,0,0,0,,,,,,,,
,,Anchorage,5,0,1,0,0,0,0,0,0,4,2,"301,306",,,
Arizona,Total,,124,38,55,44,4,0,0,,,,,,,,
,Cities,,117,35,47,44,3,0,0,,,,,,,,
,,Apache Junction,0,0,0,1,0,0,0,0,0,0,1,"37,274",,,
,,Avondale,1,1,0,1,0,0,0,1,1,0,1,"79,472",,,
,,Chandler,1,0,0,0,0,0,0,1,0,0,0,"252,369",,,
,,Cottonwood,1,0,0,0,0,0,0,1,0,0,0,"11,490",,,
,,El Mirage,1,0,0,0,0,0,0,0,1,0,0,"33,307",,,
,,Flagstaff,0,0,1,0,0,0,0,0,0,0,1,"69,490",,,
,,Gilbert,2,0,0,0,0,0,0,1,0,1,0,"235,430",,,
,,Glendale,4,2,2,1,0,0,0,2,3,3,1,"236,780",,,
,,Goodyear,1,0,0,0,0,0,0,1,0,0,0,"74,826",,,
,,Kingman,0,1,1,0,0,0,0,0,1,1,0,"28,526",,,
,,Mesa,4,1,3,2,0,0,0,0,3,1,6,"462,092",,,
,,Oro Valley,0,1,0,0,0,0,0,0,1,0,0,"41,764",,,
,,Phoenix,91,19,35,35,3,0,0,37,41,47,58,"1,529,852",,,
,,Scottsdale,2,1,1,1,0,0,0,2,0,1,2,"229,325",,,
,,Tempe,1,1,0,0,0,0,0,1,0,0,1,"169,812",,,
,,Tucson,4,2,3,0,0,0,0,1,4,3,1,"527,328",,,
,,Yuma,4,6,1,3,0,0,0,5,7,2,0,"92,075",,,
,Universities and Colleges,,2,1,7,0,0,0,0,,,,,,,,
,,Northern Arizona University,2,1,7,0,0,0,0,8,0,1,1,"26,594",,,
,Metropolitan Counties,,5,2,1,0,1,0,0,,,,,,,,
