state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population
ALABAMA,Total,,,,,,
ALABAMA,Cities,,,,,,
ALABAMA,Cities,Decatur,0,0,1,2,"57,153"
ALABAMA,Cities,Hoover,0,1,0,1,"74,687"
ALABAMA,Cities,Jasper,0,1,0,0,"14,138"
ALABAMA,Cities,Lanett,0,0,0,1,"7,026"
ALABAMA,Cities,Madison,0,0,1,0,"41,426"
ALABAMA,Cities,Oneonta,0,1,0,0,"7,317"
ALABAMA,Cities,Riverside,0,0,0,1,"2,146"
ALABAMA,Cities,Slocomb,1,0,0,0,"2,065"
ALABAMA,Cities,Talladega,0,1,0,0,"16,826"
ALABAMA,Metropolitan Counties,,,,,,
ALABAMA,Metropolitan Counties,Blount,,1,0,0,
ALABAMA,Metropolitan Counties,Tuscaloosa,,4,1,,
ALABAMA,Nonmetropolitan Counties,,,,,,
ALABAMA,Nonmetropolitan Counties,Clarke,1,0,0,0,
ALASKA,Total,,,,,,
ALASKA,Cities,,,,,,
ALASKA,Cities,Anchorage,1,1,4,1,"290,334"
ARIZONA,Total,,,,,,
ARIZONA,Cities,,,,,,
ARIZONA,Cities,Apache Junction,1,2,2,0,"33,225"
ARIZONA,Cities,Avondale,1,0,0,0,"82,580"
ARIZONA,Cities,Flagstaff,0,0,0,1,"58,739"
ARIZONA,Cities,Glendale,0,4,3,6,"245,387"
ARIZONA,Cities,Kingman,0,2,0,0,"26,671"
ARIZONA,Cities,Lake Havasu City,1,0,0,0,"53,938"
ARIZONA,Cities,Mammoth,0,0,1,0,"2,618"
ARIZONA,Cities,Maricopa,1,0,0,0,"43,310"
ARIZONA,Cities,Mesa,2,1,2,2,"452,725"
ARIZONA,Cities,Peoria,0,1,0,1,"158,184"
ARIZONA,Cities,Phoenix,24,35,48,28,"1,544,427"
ARIZONA,Cities,Prescott,0,1,0,0,"41,428"
ARIZONA,Cities,Scottsdale,4,5,4,3,"230,496"
ARIZONA,Cities,Show Low,1,0,0,1,"11,965"
ARIZONA,Cities,Springerville,0,1,0,0,"1,943"
ARIZONA,Cities,Tempe,2,1,1,0,"173,004"
ARIZONA,Cities,Tucson,9,2,3,0,"527,107"
ARIZONA,Cities,Yuma,0,1,0,1,"88,291"
ARIZONA,Universities and Colleges,,,,,,
,,University of Arizona,1,1,0,3,"38,767"
,Metropolitan Counties,,,,,,
,,Maricopa,1,1,1,5,
,,Pima,1,4,3,3,
,,Pinal,2,0,0,1,
ARKANSAS,Total,,,,,,
,Cities,,,,,,
,,Benton,0,2,0,0,"30,692"
,,Bentonville,1,0,0,1,"39,161"
,,Bryant,0,1,0,0,"16,740"
,,Conway,0,0,0,2,"61,425"
,,Crossett,2,0,0,0,"5,349"
,,Elkins,0,1,0,0,"2,703"
,,Hot Springs,1,0,0,0,"40,081"
,,Jacksonville,0,0,1,3,"31,833"
,,Jonesboro,1,0,0,0,"67,382"
,,Marmaduke,0,1,0,0,"1,177"
,,Marvell,0,0,1,0,"1,065"
,,Morrilton,1,0,0,0,"6,571"
,,North Little Rock,0,1,1,0,"60,129"
,,Paragould,0,1,1,0,"25,350"
,,Pine Bluff,2,0,0,1,"49,971"
,,Rogers,1,2,4,2,"61,417"
,,Searcy,1,0,0,0,"23,791"
,,Sherwood,1,0,3,0,"29,370"
,,Siloam Springs,0,0,1,1,"15,337"
,,Springdale,0,0,4,0,"71,047"
,,Texarkana,1,1,0,0,"30,488"
,,Ward,0,0,1,0,"4,311"
,Universities and Colleges,,,,,,
,,University of Arkansas: Pine Bluff,1,0,0,0,"3,792"
,Metropolitan Counties,,,,,,
,,Benton,0,2,0,0,
,,Garland,0,1,0,,
,,Lonoke,1,0,0,0,
,,Perry,0,0,1,0,
,,Pulaski,2,1,0,1,
,Nonmetropolitan Counties,,,,,,
,,Independence,0,1,1,1,
,,White,1,0,0,0,
CALIFORNIA,Total,,,,,,
,Cities,,,,,,
,,Agoura Hills,0,1,1,0,"22,318"
,,Alameda,2,0,0,0,"71,016"
,,Albany,1,0,1,2,"16,096"
,,Aliso Viejo,0,0,0,1,"41,989"
,,Anaheim,1,0,0,0,"338,492"
,,Antioch,2,1,2,0,"102,125"
,,Apple Valley,0,2,0,0,"71,834"
,,Arcata,1,1,0,1,"17,172"
,,Azusa,0,3,1,0,"46,824"
,,Bakersfield,0,0,2,2,"333,458"
,,Baldwin Park,0,0,0,1,"77,127"
,,Belmont,0,0,1,0,"24,881"
,,Berkeley,1,0,0,0,"102,700"
,,Beverly Hills,0,2,0,1,"34,329"
,,Bishop,1,0,0,0,"3,412"
,,Brentwood,0,0,2,0,"53,312"
,,Buena Park,1,0,0,0,"79,929"
,,Burbank,2,1,2,0,"103,304"
,,Calabasas,1,1,0,0,"22,223"
,,Camarillo,0,1,0,0,"64,577"
,,Campbell,0,0,0,1,"38,854"
,,Carlsbad,0,1,0,0,"100,461"
,,Carmel,1,0,0,0,"3,882"
,,Carson,1,0,0,0,"92,409"
,,Cathedral City,0,2,0,0,"53,449"
,,Cerritos,1,0,0,1,"51,025"
,,Chico,1,3,2,1,"85,630"
,,Chino,1,0,0,0,"84,170"
,,Chula Vista,0,2,0,1,"229,060"
,,Citrus Heights,0,0,0,1,"84,476"
,,City of Angels,0,0,0,1,"3,774"
,,Clearlake,0,1,0,1,"15,352"
,,Clovis,0,0,5,1,"95,901"
,,Commerce,0,0,2,0,"13,466"
,,Compton,1,1,1,0,"93,916"
,,Concord,0,2,2,1,"122,119"
,,Corona,1,0,1,0,"153,311"
,,Coronado,0,0,0,1,"22,033"
,,Costa Mesa,2,1,2,0,"110,424"
,,Covina,0,1,0,0,"46,728"
,,Cypress,0,1,1,0,"47,320"
,,Davis,2,2,4,3,"63,292"
,,Delano,0,0,1,0,"54,298"
,,Del Mar,0,0,0,1,"4,554"
,,Downey,0,2,0,0,"106,992"
,,Duarte,0,0,1,0,"21,789"
,,Dublin,1,0,0,0,"46,209"
,,East Palo Alto,0,1,0,0,"34,294"
,,El Cajon,0,1,0,0,"94,311"
,,El Cerrito,1,1,0,0,"22,263"
,,El Monte,1,1,1,1,"121,884"
