state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
Alabama,Total,,,,,,,0,,,, 
,Cities,,,,,,,0,,,,
,,Hoover,2,3,1,0,"82,332",0,,,,
Alaska,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Anchorage,0,4,1,1,"299,143",0,,,,
Arizona,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Apache Junction,0,0,1,0,"36,986",0,,,,
,,Coolidge,0,,0,1,"12,206",0,,,,
,,Flagstaff,0,2,0,3,"66,633",0,,,,
,,Gilbert,0,1,0,1,"214,264",0,,,,
,,Glendale,1,,4,3,"232,997",0,,,,
,,Maricopa,2,1,0,0,"44,881",0,,,,
,,Mesa,,,0,2,"451,391",0,,,,
,,Paradise Valley,1,,0,0,"13,177",0,,,,
,,Phoenix,47,,39,35,"1,485,509",0,,,,
,,Prescott Valley,1,,0,0,"39,407",0,,,,
,,Scottsdale,,,1,2,"223,432",0,,,,
,,Show Low,0,0,1,0,"10,773",0,,,,
,,Tempe,0,,3,2,"166,061",0,,,,
,,Tucson,,,4,6,"531,535",0,,,,
,,Willcox,1,0,0,0,"3,837",0,,,,
,,Yuma,1,,1,0,"95,568",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Arizona State University: Main Campus,0,0,2,0,"72,254",0,,,,
,,University of Arizona,0,1,1,0,"39,236",0,,,,
,Metropolitan Counties,,, ,,,,0,,,,
,,Maricopa,1,,1,0,,0,,,,
,,Mohave,0,0,1,0,,0,,,,
,,Pima,,1,,0,,0,,,,
,Other Agencies,,,,,,,0,,,,
,,Tucson Airport Authority,1,,0,0,,0,,,,
Arkansas,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Benton,0,0,1,0,"31,486",0,,,,
,,Bentonville,2,0,0,0,"36,433",0,,,,
,,Bryant,0,0,0,1,"17,129",0,,,,
,,Fort Smith,0,0,1,0,"87,483",0,,,,
,,Jonesboro,0,1,0,0,"68,807",0,,,,
,,McGehee,1,0,0,0,"4,157",0,,,,
,,Newport,0,1,0,0,"7,862",0,,,,
,,Ola,1,0,0,0,"1,276",0,,,,
,,Paragould,1,0,0,0,"26,602",0,,,,
,,Pine Bluff,0,0,2,0,"48,522",0,,,,
,,Rogers,1,0,0,0,"57,757",0,,,,
,,Sherwood,5,2,1,1,"29,914",0,,,,
,,Springdale,2,0,0,2,"71,668",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,University of Arkansas:,,,,,,0,,,,
,,Fayetteville,0,0,0,1,"23,199",0,,,,
,,Little Rock,0,0,0,1,"13,068",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Pulaski,0,0,0,1,,0,,,,
,Nonmetropolitan Counties,,,,,, ,0,,,,
,,Independence,1,0,0,0,,0,,,,
California,Total, ,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Adelanto,0,0,1,0,"32,520",0,,,,
,,Agoura Hills,0,1,3,0,"20,667",0,,,,
,,Aliso Viejo,0,0,1,0,"48,999",0,,,,
,,Anaheim,0,0,0,1,"344,526",0,,,,
,,Antioch,0,2,1,1,"105,009",0,,,,
,,Apple Valley,0,0,0,2,"70,823",0,,,,
,,Arcata,0,1,0,0,"17,408",0,,,,
,,Atascadero,0,1,0,0,"28,825",0,,,,
,,Azusa,1,0,1,1,"47,111",0,,,,
,,Bakersfield,0,0,3,1,"355,696",0,,,,
,,Bellflower,0,0,0,1,"77,886",0,,,,
,,Benicia,1,0,0,0,"27,459",0,,,,
,,Berkeley,1,1,5,1,"114,961",0,,,,
,,Beverly Hills,0,2,2,1,"34,677",0,,,,
,,Brentwood,0,1,0,0,"52,811",0,,,,
,,Buena Park,0,2,1,0,"82,505",0,,,,
,,Burbank,2,5,1,1,"105,057",0,,,,
,,Calabasas,0,1,1,0,"23,442",0,,,,
,,Calimesa,0,0,0,2,"8,136",0,,,,
,,Camarillo,0,0,2,2,"66,506",0,,,,
,,Campbell,1,0,0,0,"40,339",0,,,,
,,Capitola,0,0,1,0,"10,085",0,,,,
,,Carson,0,2,1,0,"93,233",0,,,,
,,Cerritos,0,0,0,1,"49,856",0,,,,
,,Chico,2,0,3,0,"87,090",0,,,,
,,Chino,0,1,1,1,"79,792",0,,,,
,,Chino Hills,0,0,1,0,"76,632",0,,,,
,,Chula Vista,3,1,0,0,"249,830",0,,,,
,,Citrus Heights,0,0,0,1,"85,112",0,,,,
,,Claremont,0,1,1,0,"35,469",0,,,,
,,Clearlake,2,0,2,0,"15,311",0,,,,
,,Clovis,1,0,0,1,"97,828",0,,,,
,,Colton,0,0,2,0,"53,431",0,,,,
,,Compton,0,0,0,1,"98,057",0,,,,
,,Concord,0,1,1,0,"125,205",0,,,,
,,Corona,2,1,0,0,"157,342",0,,,,
,,Coronado,1,0,0,0,"19,345",0,,,,
,,Covina,2,2,0,0,"48,588",0,,,,
,,Cudahy,1,0,0,0,"24,201",0,,,,
,,Cupertino,0,1,1,2,"59,769",0,,,,
,,Cypress,1,0,0,0,"48,976",0,,,,
,,Daly City,0,1,0,0,"103,311",0,,,,
,,Dana Point,0,0,1,0,"34,172",0,,,,
,,Davis,1,2,0,2,"66,628",0,,,,
,,Diamond Bar,1,0,0,0,"56,470",0,,,,
,,Downey,0,1,0,0,"113,628",0,,,,
,,Eastvale,0,1,3,0,"55,439",0,,,,
,,El Cajon,0,0,0,1,"101,864",0,,,,
,,El Monte,2,1,0,2,"115,356",0,,,,
,,Encinitas,0,0,1,0,"60,960",0,,,,
,,Escondido,6,0,2,2,"147,386",0,,,,
,,Eureka,1,0,1,1,"27,469",0,,,,
,,Fountain Valley,1,0,0,0,"56,674",0,,,,
,,Fowler,1,0,0,0,"5,698",0,,,,
,,Fresno,2,2,2,2,"506,011",0,,,,
,,Fullerton,0,0,0,1,"138,455",0,,,,
,,Gardena,0,1,0,0,"59,802",0,,,,
,,Garden Grove,1,1,0,0,"175,079",0,,,,
,,Gilroy,1,0,0,0,"50,042",0,,,,
,,Glendale,0,0,0,1,"194,902",0,,,,
,,Greenfield,1,0,0,0,"16,765",0,,,,
,,Hanford,0,0,0,1,"54,787",0,,,,
,,Hawaiian Gardens,1,0,0,1,"14,493",0,,,,
,,Hawthorne,1,0,1,0,"85,692",0,,,,
,,Hayward,1,1,2,0,"147,424",0,,,,
,,Hemet,1,0,1,0,"81,213",0,,,,
,,Hercules,0,1,0,0,"24,682",0,,,,
,,Hermosa Beach,0,0,1,0,"19,830",0,,,,
,,Hesperia,0,1,0,0,"92,383",0,,,,
,,Highland,0,0,1,0,"54,403",0,,,,
,,Hughson,0,0,0,1,"6,754",0,,,,
,,Huntington Beach,3,0,2,5,"194,677",0,,,,
,,Inglewood,0,0,1,0,"111,488",0,,,,
,,Irvine,2,0,0,1,"217,528",0,,,,
,,Laguna Beach,0,0,1,0,"23,283",0,,,,
,,Laguna Hills,1,0,0,0,"31,090",0,,,,
,,La Habra,0,0,1,0,"61,731",0,,,,
,,Lake Elsinore,1,0,0,0,"53,912",0,,,,
