state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum
Massachusetts,Cities,Leverett,0,0,0,0,"1,874",1
,Universities and Colleges,Holyoke Community College,,,,0,"7,144",1
New Jersey,Cities,Absecon,0,0,0,0,"8,447",1
,,Allenhurst,0,0,0,0,499,1
,,Allentown,0,0,0,0,"1,840",1
,,Alpha,0,0,0,0,"2,374",1
,,Alpine,0,0,0,0,"1,870",1
,,Andover Township,0,0,0,0,"6,321",1
,,Asbury Park,0,0,0,0,"16,211",1
,,Atlantic City,0,0,0,0,"39,722",1
,,Atlantic Highlands,0,0,0,0,"4,410",1
,,Audubon,0,0,0,0,"8,856",1
,,Audubon Park,0,0,0,0,"1,027",1
,,Avalon,0,0,0,0,"1,332",1
,,Avon-by-the-Sea,0,0,0,0,"1,912",1
,,Barnegat Light,0,0,0,0,580,1
,,Barrington,0,0,0,0,"7,012",1
,,Bay Head,0,0,0,0,978,1
,,Beach Haven,0,0,0,0,"1,185",1
,,Beachwood,0,0,0,0,"11,154",1
,,Belleville,0,0,0,0,"36,158",1
,,Bellmawr,0,0,0,0,"11,629",1
,,Belvidere,0,0,0,0,"2,686",1
,,Berkeley Heights Township,0,0,0,0,"13,319",1
,,Berkeley Township,0,0,0,0,"41,659",1
,,Berlin,0,0,0,0,"7,620",1
,,Berlin Township,0,0,0,0,"5,379",1
,,Bernardsville,0,0,0,0,"7,779",1
,,Beverly,0,0,0,0,"2,595",1
,,Blairstown Township,0,0,0,0,"5,976",1
,,Bloomfield,0,0,0,0,"47,620",1
,,Bloomingdale,0,0,0,0,"7,705",1
,,Bogota,0,0,0,0,"8,282",1
,,Boonton,0,0,0,0,"8,435",1
,,Boonton Township,0,0,0,0,"4,307",1
,,Bordentown,0,0,0,0,"3,949",1
,,Bordentown Township,0,0,0,0,"11,444",1
,,Bound Brook,0,0,0,0,"10,500",1
,,Branchburg Township,0,0,0,0,"14,597",1
,,Bridgewater Township,0,0,0,0,"44,884",1
,,Brielle,0,0,0,0,"4,802",1
,,Brigantine,0,0,0,0,"9,489",1
,,Brooklawn,0,0,0,0,"1,964",1
,,Buena,0,0,0,0,"4,623",1
,,Burlington,0,0,0,0,"9,989",1
,,Burlington Township,0,0,0,0,"22,746",1
,,Butler,0,0,0,0,"7,619",1
,,Byram Township,0,0,0,0,"8,349",1
,,Caldwell,0,0,0,0,"7,872",1
,,Cape May,0,0,0,0,"3,605",1
,,Cape May Point,0,0,0,0,290,1
,,Carlstadt,0,0,0,0,"6,198",1
,,Carteret,0,0,0,0,"23,083",1
,,Cedar Grove Township,0,0,0,0,"12,490",1
,,Chatham,0,0,0,0,"9,056",1
,,Chatham Township,0,0,0,0,"10,560",1
,,Cherry Hill Township,0,0,0,0,"71,337",1
,,Chesilhurst,0,0,0,0,"1,641",1
,,Chester,0,0,0,0,"1,667",1
,,Chesterfield Township,0,0,0,0,"7,745",1
,,Chester Township,0,0,0,0,"7,922",1
,,Cinnaminson Township,0,0,0,0,"15,676",1
,,Clark Township,0,0,0,0,"14,913",1
,,Clayton,0,0,0,0,"8,242",1
,,Clementon,0,0,0,0,"5,021",1
,,Cliffside Park,0,0,0,0,"23,867",1
,,Clifton,0,0,0,0,"84,684",1
,,Clinton,0,0,0,0,"2,724",1
,,Closter,0,0,0,0,"8,469",1
,,Collingswood,0,0,0,0,"13,983",1
,,Cresskill,0,0,0,0,"8,672",1
,,Deal,0,0,0,0,755,1
,,Delaware Township,0,0,0,0,"4,573",1
,,Delran Township,0,0,0,0,"17,012",1
,,Demarest,0,0,0,0,"4,936",1
,,Denville Township,0,0,0,0,"16,809",1
,,Deptford Township,0,0,0,0,"30,800",1
,,Dover,0,0,0,0,"18,347",1
,,Dumont,0,0,0,0,"17,682",1
,,Dunellen,0,0,0,0,"7,304",1
,,East Newark,0,0,0,0,"2,444",1
,,East Rutherford,0,0,0,0,"9,016",1
,,Eatontown,0,0,0,0,"12,785",1
,,Edgewater,0,0,0,0,"11,647",1
,,Edgewater Park Township,0,0,0,0,"8,943",1
,,Elizabeth,0,0,0,0,"126,281",1
,,Elk Township,0,0,0,0,"4,250",1
,,Elmer,0,0,0,0,"1,398",1
,,Elsinboro Township,0,0,0,0,"1,038",1
,,Emerson,0,0,0,0,"7,486",1
,,Englewood,0,0,0,0,"27,460",1
,,Englewood Cliffs,0,0,0,0,"5,340",1
,,Englishtown,0,0,0,0,"1,857",1
,,Essex Fells,0,0,0,0,"2,126",1
,,Fairfield Township: Essex County,0,0,0,0,"7,515",1
,,Fair Haven,0,0,0,0,"6,158",1
,,Fairview,0,0,0,0,"13,994",1
,,Fanwood,0,0,0,0,"7,396",1
,,Far Hills,0,0,0,0,928,1
,,Flemington,0,0,0,0,"4,591",1
,,Florham Park,0,0,0,0,"11,809",1
,,Franklin,0,0,0,0,"5,044",1
,,Franklin Township: Hunterdon County,0,0,0,0,"3,204",1
,,Franklin Township: Somerset County,0,0,0,0,"62,885",1
,,Frenchtown,0,0,0,0,"1,376",1
,,Garfield,0,0,0,0,"30,838",1
,,Garwood,0,0,0,0,"4,271",1
,,Gloucester City,0,0,0,0,"11,501",1
,,Gloucester Township,0,0,0,0,"64,898",1
,,Greenwich Township: Gloucester County,0,0,0,0,"4,937",1
,,Greenwich Township: Warren County,0,0,0,0,"5,720",1
,,Hackensack,0,0,0,0,"43,499",1
,,Hackettstown,0,0,0,0,"9,744",1
,,Haddon Heights,0,0,0,0,"7,505",1
,,Haledon,0,0,0,0,"8,372",1
,,Hamburg,0,0,0,0,"3,277",1
,,Hamilton Township: Atlantic County,0,0,0,0,"26,613",1
,,Hanover Township,0,0,0,0,"13,857",1
,,Harding Township,0,0,0,0,"3,881",1
,,Harrington Park,0,0,0,0,"4,717",1
,,Harvey Cedars,0,0,0,0,341,1
,,Hasbrouck Heights,0,0,0,0,"11,978",1
,,Haworth,0,0,0,0,"3,420",1
,,Hazlet Township,0,0,0,0,"20,456",1
,,Helmetta,0,0,0,0,"2,201",1
,,High Bridge,0,0,0,0,"3,657",1
,,Hillsdale,0,0,0,0,"10,337",1
,,Hi-Nella,0,0,0,0,873,1
,,Ho-Ho-Kus,0,0,0,0,"4,124",1
,,Holland Township,0,0,0,0,"5,304",1
,,Holmdel Township,0,0,0,0,"16,873",1
,,Hopatcong,0,0,0,0,"15,144",1
,,Hopewell,0,0,0,0,"1,935",1
,,Hopewell Township,0,0,0,0,"17,430",1
,,Independence Township,0,0,0,0,"5,671",1
,,Interlaken,0,0,0,0,825,1
,,Irvington,0,0,0,0,"54,274",1
,,Island Heights,0,0,0,0,"1,689",1
,,Kenilworth,0,0,0,0,"7,998",1
,,Keyport,0,0,0,0,"7,283",1
,,Kinnelon,0,0,0,0,"10,355",1
,,Lake Como,0,0,0,0,"1,769",1
,,Lakehurst,0,0,0,0,"2,681",1
,,Lambertville,0,0,0,0,"3,915",1
,,Laurel Springs,0,0,0,0,"1,916",1
,,Lavallette,0,0,0,0,"1,893",1
,,Lawnside,0,0,0,0,"2,957",1
,,Lawrence Township: Mercer County,0,0,0,0,"33,483",1
,,Lebanon Township,0,0,0,0,"6,605",1
,,Leonia,0,0,0,0,"9,040",1
,,Lindenwold,0,0,0,0,"17,685",1
,,Linwood,0,0,0,0,"7,122",1
,,Little Ferry,0,0,0,0,"10,749",1
,,Little Silver,0,0,0,0,"5,985",1
,,Livingston Township,0,0,0,0,"29,556",1
,,Loch Arbour,0,0,0,0,195,1
,,Logan Township,0,0,0,0,"6,089",1
,,Long Beach Township,0,0,0,0,"3,081",1
,,Long Branch,0,0,0,0,"30,902",1
,,Longport,0,0,0,0,898,1
,,Lopatcong Township,0,0,0,0,"8,028",1
,,Lower Alloways Creek Township,0,0,0,0,"1,773",1
,,Lumberton Township,0,0,0,0,"12,645",1
,,Lyndhurst Township,0,0,0,0,"20,791",1
,,Magnolia,0,0,0,0,"4,359",1
,,Mahwah Township,0,0,0,0,"26,170",1
,,Mansfield Township: Burlington County,0,0,0,0,"8,603",1
,,Mansfield Township: Warren County,0,0,0,0,"7,739",1
,,Mantoloking,0,0,0,0,299,1
,,Mantua Township,0,0,0,0,"15,334",1
,,Manville,0,0,0,0,"10,443",1
,,Maplewood Township,0,0,0,0,"24,022",1
,,Medford Lakes,0,0,0,0,"4,173",1
