state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,
Alabama,Total,,,,,,,,
,Cities,,,,,,,,
,,Florence,0,1,0,1,"39,481",,
,,Hoover,0,1,0,0,"84,139",,
,,Prattville,1,0,1,0,"35,154",,
,,Tuscaloosa,0,0,1,0,"94,126",,
Alaska,Total, ,,,,,,,
,Cities,,,,,,,,
,,Anchorage,2,3,3,0,"299,455",,
Arizona,Total,,,,,,,,
,Cities,,,,,,,,
,,Apache Junction,1,0,0,,"36,626",,
,,Avondale,1,1,3,0,"78,905",,
,,Eagar,0,1,0,0,"5,034",,
,,El Mirage,0,0,1,0,"32,837",,
,,Gilbert,1,0,0,0,"225,232",,
,,Glendale,2,0,3,2,"234,006",,
,,Goodyear,1,,1,0,"71,048",,
,,Maricopa,0,0,0,1,"44,871",,
,,Mesa,2,0,0,0,"456,155",,
,,Phoenix,25,21,35,,"1,502,139",,
,,Prescott,0,0,0,1,"40,752",,
,,Scottsdale,0,0,0,2,"225,523",,
,,Tempe,2,0,1,0,"168,501",,
,,Tucson,8,8,6,4,"525,486",,
,,Yuma,3,5,0,2,"96,014",,
,Universities and Colleges,,,,,,,,
,,Northern Arizona University,0,0,0,1,"25,991",,
,,University of Arizona,2,0,0,0,"40,223",,
,Metropolitan Counties,,,,,,,,
,,Cochise,0,0,0,1,,,
,,Maricopa,0,,,2,,,
,,Pima,0,0,0,3,,,
,,Yuma,0,1,0,1,,, 
Arkansas,Total,,,,,,,,
,Cities,,,,,,,,
,,Bentonville,0,0,1,0,"39,132",,
,,Berryville,0,0,1,0,"5,417",,
,,Cabot,0,0,1,0,"24,695",,
,,England,0,1,0,0,"2,806",,
,,Fairfield Bay,0,0,1,0,"2,295",,
,,Fort Smith,0,0,0,2,"87,821",,
,,Gurdon,1,0,0,0,"2,184",,
,,Marion,0,0,1,0,"12,258",,
,,North Little Rock,0,1,0,0,"65,398",,
,,Pine Bluff,1,0,0,0,"46,399",,
,,Rogers,0,1,0,0,"59,787",,
,,Sherwood,1,0,0,0,"29,900",,
,Universities and Colleges,,,,,,,,
,,University of Arkansas: Pine Bluff,0,0,1,0,"2,828",,
,Metropolitan Counties,,,,,,,,
,,Crawford,0,2,1,1,,,
,,Faulkner,0,1,0,1,,,
,,Lonoke,1,0,0,0,,,
,,Pulaski,1,0,1,1,,,
,,Sebastian,0,1,0,0,,,
,Nonmetropolitan Counties,,,,,,,,
,,Greene,0,0,1,0,,,
,,Pope,0,1,0,0,,,
California,Total,,,,,,,,
,Cities,,,,,,,,
,,Adelanto,1,0,1,0,"31,165",,
,,Agoura Hills,0,2,0,0,"20,762",,
,,Alameda,0,0,0,1,"76,206",,
,,Alhambra,0,0,0,1,"84,710",,
,,Antioch,1,1,0,0,"106,447",,
,,Arcadia,1,0,0,0,"57,855",,
,,Atascadero,0,0,1,1,"28,938",,
,,Atwater,0,1,0,0,"28,906",,
,,Auburn,0,1,0,0,"13,779",,
,,Azusa,0,0,1,0,"47,754",,
,,Bakersfield,0,0,2,1,"361,859",,
,,Baldwin Park,0,0,1,0,"76,745",,
,,Banning,0,0,1,0,"30,503",,
,,Berkeley,6,2,4,1,"116,217",,
,,Beverly Hills,1,0,0,0,"34,780",,
,,Brentwood3,0,1,2,1,"54,301",,
,,Buena Park3,0,1,0,1,"82,632",,
,,Burbank,1,2,2,0,"104,727",,
,,Calabasas,1,0,0,1,"24,114",,
,,Camarillo,1,1,1,0,"66,173",,
,,Campbell,0,1,0,0,"40,549",,
,,Carlsbad,0,0,3,0,"110,505",,
,,Carson,0,0,0,1,"93,415",,
,,Cerritos,1,0,0,2,"49,816",,
,,Chico,1,2,0,1,"88,226",,
,,Chino,2,2,3,2,"80,704",,
,,Chula Vista,0,3,0,1,"255,073",,
,,Citrus Heights,0,1,0,0,"85,337",,
,,Claremont,2,0,0,1,"35,623",,
,,Clearlake,1,0,0,1,"14,951",,
,,Clovis,0,1,1,2,"99,483",,
,,Colton,0,0,0,1,"53,403",,
,,Compton,0,1,0,1,"97,907",,
,,Concord,0,1,0,0,"125,464",,
,,Corcoran,0,0,1,0,"23,290",,
,,Corona,0,0,0,1,"160,159",,
,,Coronado,1,0,0,0,"23,183",,
,,Costa Mesa,0,0,0,1,"112,538",,
,,Covina,0,3,0,0,"48,524",,
,,Cupertino,0,0,0,1,"60,440",,
,,Cypress,0,0,1,0,"49,067",,
,,Daly City,1,0,1,1,"104,536",,
,,Dana Point,0,1,0,0,"34,262",,
,,Davis,3,4,0,1,"66,126",,
,,Duarte,1,0,1,0,"21,759",,
,,El Cajon,0,1,0,1,"102,012",,
,,El Cerrito,3,1,2,1,"24,184",,
,,Elk Grove,0,0,0,1,"160,925",,
,,El Monte,0,3,0,2,"115,591",,
,,Emeryville,0,1,0,0,"10,415",,
,,Encinitas,2,1,1,0,"61,433",,
,,Escondido,2,2,3,1,"148,650",,
,,Eureka,1,1,0,0,"26,881",,
,,Fairfield,1,0,0,2,"108,425",,
,,Fontana,0,1,0,0,"203,427",,
,,Foster City,1,0,0,0,"32,652",,
,,Fresno,3,3,1,3,"508,876",,
,,Fullerton,1,0,0,1,"139,676",,
,,Galt,0,0,1,0,"24,553",,
,,Garden Grove,0,1,2,1,"175,469",,
,,Gilroy,0,1,1,0,"51,240",,
,,Glendale,0,0,1,0,"195,366",,
,,Glendora,1,0,0,0,"50,893",,
,,Gridley,1,0,0,0,"6,563",,
,,Hanford,1,0,1,0,"54,425",,
,,Hawaiian Gardens,2,1,1,0,"14,437",,
,,Hayward,0,2,0,0,"150,955",,
,,Healdsburg,1,0,0,0,"11,483",,
,,Hercules,0,0,1,0,"24,831",,
,,Holtville,0,0,0,1,"6,022",,
,,Huntington Beach,0,1,0,0,"195,842",,
,,Imperial Beach,1,1,1,0,"26,998",,
,,Irvine,0,1,0,0,"235,830",,
,,Jurupa Valley,0,0,1,0,"98,090",,
,,Laguna Beach,0,1,0,0,"23,313",,
,,La Habra,0,0,1,0,"61,740",,
,,Lake Elsinore,0,0,2,0,"56,232",,
,,Lake Forest,1,0,0,1,"79,336",,
,,Lakewood,0,1,0,1,"81,086",,
,,La Mirada,1,2,0,0,"49,150",,
,,Lancaster,1,2,1,1,"159,792",,
,,La Quinta,1,0,1,0,"39,150",,
,,Lemon Grove,1,1,0,0,"26,156",,
,,Lemoore,1,0,0,0,"24,802",,
