state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,,
Alabama,Total,,,,,,,,,
,Cities,,,,,,,,, 
,,Fairfield,,1,,,"10,913",,,
,,Hoover,1,0,0,1,"84,843",,,
,,Prattville,,3,1,,"35,530",,,
,,Sylacauga,,,1,1,"12,722",,,
Alaska,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Anchorage,0,0,4,2,"301,306",,,
Arizona,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Apache Junction,0,0,0,1,"37,274",,,
,,Avondale,1,1,0,1,"79,472",,,
,,Chandler,1,0,0,0,"252,369",,,
,,Cottonwood,1,0,0,0,"11,490",,,
,,El Mirage,0,1,0,0,"33,307",,,
,,Flagstaff,0,0,0,1,"69,490",,,
,,Gilbert,1,0,1,0,"235,430",,,
,,Glendale,2,3,3,1,"236,780",,,
,,Goodyear,1,0,0,0,"74,826",,,
,,Kingman,0,1,1,0,"28,526",,,
,,Mesa,0,3,1,6,"462,092",,,
,,Oro Valley,0,1,0,0,"41,764",,,
,,Phoenix,37,41,47,58,"1,529,852",,,
,,Scottsdale,2,0,1,2,"229,325",,,
,,Tempe,1,0,0,1,"169,812",,,
,,Tucson,1,4,3,1,"527,328",,,
,,Yuma,5,7,2,0,"92,075",,,
,Universities and Colleges,,,,,,,,,
,,Northern Arizona University,8,0,1,1,"26,594",,,
,Metropolitan Counties,,,,,,,,,
,,Maricopa,1,0,2,1,,,,
,,Pinal,0,1,0,0,,,,
,,Yavapai,0,,1,0,,,,
,,Yuma,1,1,1,0,,,,
Arkansas,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Fort Smith,1,1,2,0,"87,989",,,
,,Rogers,0,1,0,0,"61,105",,,
,Universities and Colleges,,,,,,,,,
,,University of Arkansas: Fayetteville,0,0,1,0,"25,341",,,
,Metropolitan Counties,,,,,,,,,
,,Pulaski,0,0,1,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Baxter,0,0,1,0,,,,
California,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Adelanto,0,1,0,1,"31,213",,,
,,Alameda,2,2,0,0,"77,048",,,
,,Alhambra,0,0,1,0,"84,931",,,
,,Antioch,0,2,2,1,"108,223",,,
,,Apple Valley,1,1,0,0,"71,329",,,
,,Arcata,0,0,0,1,"17,748",,,
,,Arvin,0,1,0,0,"20,541",,,
,,Azusa,0,0,1,0,"48,224",,,
,,Bakersfield,1,0,2,3,"367,406",,,
,,Barstow,1,0,0,0,"23,349",,,
,,Berkeley,2,0,1,0,"117,753",,,
,,Beverly Hills2,0,0,1,0,"34,788",,,
,,Brea,0,0,1,0,"41,359",,,
,,Brentwood,1,0,1,0,"55,826",,,
,,Buellton,0,0,1,0,"4,997",,,
,,Buena Park,0,2,0,0,"83,414",,,
,,Burbank,0,1,0,0,"105,041",,,
,,Camarillo,1,2,0,0,"66,272",,,
,,Carson,0,0,2,0,"92,838",,,
,,Central Marin,0,1,0,0,"34,450",,,
,,Cerritos,1,0,0,0,"49,867",,,
,,Chico,1,0,2,0,"88,562",,,
,,Chino,1,0,1,1,"81,600",,,
,,Chino Hills,0,1,0,0,"76,972",,,
,,Chula Vista,3,0,0,0,"259,894",,,
,,City of Angels,0,1,0,0,"3,716",,,
,,Claremont,1,0,2,2,"36,042",,,
,,Clearlake,0,1,0,0,"14,914",,,
,,Coalinga,0,0,1,0,"16,445",,,
,,Colusa,0,0,1,0,"5,942",,,
,,Compton,0,2,1,0,"98,224",,,
,,Cupertino,1,0,0,0,"60,564",,,
,,Daly City2,0,0,1,1,"105,628",,,
,,Dana Point,1,0,2,0,"34,244",,,
,,Davis,0,0,2,0,"66,360",,,
,,Dublin,0,0,2,0,"53,795",,,
,,El Cerrito,5,1,2,0,"24,485",,,
,,El Monte,2,0,1,2,"116,220",,,
,,Escondido,0,2,2,0,"149,839",,,
,,Eureka,1,0,0,0,"26,843",,,
,,Fairfield,0,0,0,1,"110,300",,,
,,Fontana,1,0,0,2,"204,532",,,
,,Fort Bragg,0,1,0,0,"7,245",,,
,,Fremont,1,0,0,0,"227,575",,,
,,Fresno,4,2,2,4,"513,187",,,
,,Fullerton,0,1,0,0,"139,895",,,
,,Galt,1,1,0,0,"24,671",,,
,,Gardena,0,0,1,0,"60,233",,,
,,Garden Grove,0,1,0,1,"176,106",,,
,,Gilroy,1,0,1,0,"52,415",,,
,,Glendale,1,0,1,0,"197,079",,,
,,Goleta,0,1,1,0,"30,669",,,
,,Grass Valley,0,0,1,0,"12,777",,,
,,Grover Beach,0,0,1,0,"13,497",,,
,,Hawaiian Gardens,0,1,0,0,"14,490",,,
,,Hayward,0,1,0,2,"153,319",,,
,,Healdsburg,0,0,1,0,"11,569",,,
,,Hemet,0,0,1,0,"82,412",,,
,,Hercules,0,0,1,0,"25,026",,,
,,Hesperia,0,0,1,0,"92,592",,,
,,Highland,0,1,1,1,"54,559",,,
,,Huntington Beach,1,0,2,0,"199,152",,,
,,Imperial Beach,1,0,0,0,"27,234",,,
,,Inglewood,0,0,0,1,"111,997",,,
,,Ione,1,0,0,0,"6,773",,,
,,Irvine,0,1,2,1,"242,971",,,
,,Laguna Niguel,0,0,1,0,"65,033",,,
,,Lake Forest,1,0,0,1,"79,748",,,
,,Lancaster,1,4,0,0,"160,190",,,
,,La Puente,0,0,1,0,"40,583",,,
,,La Quinta,0,1,1,0,"39,753",,,
,,Livermore,3,0,0,0,"86,147",,,
,,Lomita,0,0,0,1,"20,677",,,
,,Long Beach,2,4,2,2,"471,123",,,
,,Los Angeles,26,35,47,44,"3,906,772",,,
,,Los Gatos,0,1,2,1,"30,614",,,
,,Lynwood,1,1,1,0,"71,812",,,
,,Malibu,0,0,0,1,"12,912",,,
,,Mammoth Lakes,0,2,0,0,"8,033",,,
,,Manteca,1,0,0,0,"73,055",,,
,,Marina,2,0,0,0,"20,530",,,
,,Menifee,0,1,0,0,"84,843",,,
,,Merced,0,1,0,0,"81,603",,,
,,Modesto,1,1,1,1,"205,820",,,
,,Monrovia,0,1,0,0,"37,225",,,
,,Montclair,1,1,1,0,"38,347",,,
,,Monterey,0,0,2,0,"28,512",,,
,,Monterey Park,0,0,1,0,"61,284",,,
,,Moorpark,1,0,0,0,"35,299",,,
,,Moreno Valley,0,0,0,4,"202,911",,,
,,Murrieta,0,0,0,1,"108,376",,,
