state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
ALABAMA,Cities,Abbeville,0,,0,,"2,950"
ALABAMA,Cities,Adamsville,0,0,0,0,"4,796"
ALABAMA,Cities,Addison,0,0,0,0,714
ALABAMA,Cities,Alabaster,0,0,0,0,"30,781"
ALABAMA,Cities,Alexander City,0,0,0,0,"15,229"
ALABAMA,Cities,Aliceville,0,0,0,0,"2,423"
ALABAMA,Cities,Andalusia,0,0,0,0,"8,946"
ALABAMA,Cities,Anderson,0,0,0,0,358
ALABAMA,Cities,Anniston,0,0,0,0,"23,703"
ALABAMA,Cities,Arab,0,0,0,0,"8,438"
ALABAMA,Cities,Ardmore,0,0,0,0,"1,328"
ALABAMA,Cities,Argo,0,0,0,0,"2,005"
ALABAMA,Cities,Ariton,0,0,0,0,750
ALABAMA,Cities,Arley,0,0,0,0,320
ALABAMA,Cities,Ashford,0,0,0,0,"2,146"
ALABAMA,Cities,Ashland,0,0,0,0,"1,900"
ALABAMA,Cities,Ashville,0,0,0,0,"2,708"
ALABAMA,Cities,Athens,0,0,,0,"24,989"
ALABAMA,Cities,Atmore,0,0,0,0,"10,182"
ALABAMA,Cities,Attalla,0,0,0,0,"6,621"
ALABAMA,Cities,Auburn,0,0,0,0,"59,651"
ALABAMA,Cities,Autaugaville,0,0,0,0,891
ALABAMA,Cities,Bay Minette,0,0,,0,"8,468"
ALABAMA,Cities,Bayou La Batre,0,0,0,0,"3,253"
ALABAMA,Cities,Bear Creek,0,0,0,0,993
ALABAMA,Cities,Berry,0,0,0,0,"1,176"
ALABAMA,Cities,Bessemer,0,0,0,0,"28,881"
ALABAMA,Cities,Blountsville,0,,0,0,"2,042"
ALABAMA,Cities,Boaz,0,0,0,0,"8,656"
ALABAMA,Cities,Brantley,0,0,0,0,912
ALABAMA,Cities,Brent,0,0,0,0,"4,361"
ALABAMA,Cities,Brewton,0,0,0,0,"5,262"
ALABAMA,Cities,Bridgeport,0,0,0,0,"2,616"
ALABAMA,Cities,Brighton,0,0,0,,"3,381"
ALABAMA,Cities,Brilliant,0,0,0,0,943
ALABAMA,Cities,Brookside,0,0,0,0,"1,343"
ALABAMA,Cities,Butler,0,0,0,0,"1,681"
ALABAMA,Cities,Camden,0,0,0,0,"2,153"
ALABAMA,Cities,Camp Hill,0,0,0,0,"1,219"
ALABAMA,Cities,Carbon Hill,0,,0,0,"2,040"
ALABAMA,Cities,Carrollton,0,0,,0,911
ALABAMA,Cities,Cedar Bluff,0,0,0,0,"1,666"
ALABAMA,Cities,Centre,0,0,,0,"3,515"
ALABAMA,Cities,Centreville,0,0,0,0,"2,646"
ALABAMA,Cities,Chatom,0,0,0,0,"1,153"
ALABAMA,Cities,Chickasaw,0,,,,"5,948"
ALABAMA,Cities,Childersburg,0,0,0,0,"4,967"
ALABAMA,Cities,Citronelle,0,0,0,0,"3,791"
ALABAMA,Cities,Clanton,0,0,0,,"9,109"
ALABAMA,Cities,Clayhatchee,0,0,0,0,496
ALABAMA,Cities,Clayton,0,0,0,0,"1,396"
ALABAMA,Cities,Cleveland,0,0,0,0,"1,460"
ALABAMA,Cities,Clio,0,0,0,0,"2,391"
ALABAMA,Cities,Coffeeville,0,0,0,0,340
ALABAMA,Cities,Collinsville,0,0,0,0,"2,026"
ALABAMA,Cities,Columbia,0,0,0,0,866
ALABAMA,Cities,Columbiana,0,0,0,0,"4,210"
ALABAMA,Cities,Coosada,0,0,0,0,"1,731"
ALABAMA,Cities,Cordova,0,0,0,0,"2,265"
ALABAMA,Cities,Cottonwood,0,0,0,0,"1,231"
ALABAMA,Cities,Courtland,0,0,0,0,767
ALABAMA,Cities,Creola,0,0,0,0,"2,100"
ALABAMA,Cities,Crossville,0,0,0,0,"1,535"
ALABAMA,Cities,Cullman,0,0,0,0,"15,540"
ALABAMA,Cities,Dadeville,0,0,0,0,"3,265"
ALABAMA,Cities,Daleville,0,0,0,0,"4,561"
ALABAMA,Cities,Daphne,0,0,0,0,"20,018"
ALABAMA,Cities,Dauphin Island,0,0,0,0,"1,640"
ALABAMA,Cities,Demopolis,0,,0,0,"7,312"
ALABAMA,Cities,Dora,0,0,0,0,"2,431"
ALABAMA,Cities,Dothan,0,0,0,0,"69,134"
ALABAMA,Cities,Double Springs,0,0,0,0,975
ALABAMA,Cities,Douglas,,0,0,0,643
ALABAMA,Cities,Dozier,0,0,0,,398
ALABAMA,Cities,East Brewton,0,0,0,0,"2,491"
ALABAMA,Cities,Elba,0,0,0,0,"4,254"
ALABAMA,Cities,Elberta,0,0,0,0,"1,527"
ALABAMA,Cities,Enterprise,0,0,0,0,"26,649"
ALABAMA,Cities,Eufaula,0,0,0,0,"14,709"
ALABAMA,Cities,Eutaw,0,0,0,0,"2,833"
ALABAMA,Cities,Evergreen,0,0,0,0,"3,468"
ALABAMA,Cities,Fairfield,0,0,0,0,"11,344"
ALABAMA,Cities,Fairhope,0,0,0,0,"18,284"
ALABAMA,Cities,Falkville,0,0,,0,"1,229"
ALABAMA,Cities,Fayette,0,0,0,0,"4,676"
ALABAMA,Cities,Flomaton,0,0,0,0,"1,547"
ALABAMA,Cities,Florala,0,0,0,0,"1,878"
ALABAMA,Cities,Florence,0,0,0,0,"38,643"
ALABAMA,Cities,Foley,0,0,0,,"15,044"
ALABAMA,Cities,Fort Deposit,0,0,0,0,"1,154"
ALABAMA,Cities,Fort Payne,0,0,,0,"14,418"
ALABAMA,Cities,Fultondale,0,0,0,0,"7,095"
ALABAMA,Cities,Fyffe,0,0,0,0,"1,080"
ALABAMA,Cities,Gadsden,0,0,0,,"36,835"
ALABAMA,Cities,Gantt,0,0,0,0,239
ALABAMA,Cities,Geneva,0,0,0,0,"4,488"
ALABAMA,Cities,Georgiana,0,0,0,0,"1,548"
ALABAMA,Cities,Geraldine,0,0,0,0,857
ALABAMA,Cities,Gordo,0,0,0,0,"1,520"
ALABAMA,Cities,Grant,0,0,0,0,732
ALABAMA,Cities,Greensboro,,0,0,0,"2,529"
ALABAMA,Cities,Greenville,0,0,0,0,"6,961"
ALABAMA,Cities,Grove Hill,0,0,0,0,"1,320"
ALABAMA,Cities,Guin,0,0,0,0,"2,146"
ALABAMA,Cities,Gulf Shores,0,0,0,0,"10,999"
ALABAMA,Cities,Guntersville,0,0,0,0,"8,775"
ALABAMA,Cities,Gurley,0,0,0,0,885
ALABAMA,Cities,Hackleburg,0,0,0,0,"1,432"
ALABAMA,Cities,Haleyville,0,0,0,0,"4,080"
ALABAMA,Cities,Hamilton,0,0,0,0,"6,324"
ALABAMA,Cities,Hammondville,0,0,0,0,556
ALABAMA,Cities,Hanceville,0,0,0,0,"3,531"
ALABAMA,Cities,Harpersville,0,0,0,0,"1,869"
ALABAMA,Cities,Hartford,0,0,0,0,"2,447"
ALABAMA,Cities,Hartselle,0,0,0,0,"14,258"
ALABAMA,Cities,Hayneville,0,0,0,0,"1,090"
ALABAMA,Cities,Headland,0,0,0,0,"4,061"
ALABAMA,Cities,Heflin,0,0,0,0,"3,592"
ALABAMA,Cities,Helena,0,0,0,0,"15,845"
ALABAMA,Cities,Highland Lake,0,0,0,0,522
ALABAMA,Cities,Hillsboro,0,0,0,0,593
ALABAMA,Cities,Hokes Bluff,0,0,0,0,"4,531"
ALABAMA,Cities,Hollywood,0,0,0,0,923
ALABAMA,Cities,Hueytown,0,,0,0,"15,942"
ALABAMA,Cities,Huntsville,0,0,0,0,"183,357"
ALABAMA,Cities,Ider,0,0,0,0,733
ALABAMA,Cities,Irondale,0,,,0,"9,865"
ALABAMA,Cities,Jacksons Gap,0,0,0,0,773
ALABAMA,Cities,Jacksonville,0,0,,0,"10,467"
ALABAMA,Cities,Jemison,0,0,0,0,"3,077"
ALABAMA,Cities,Killen,0,0,0,0,"1,154"
ALABAMA,Cities,Kimberly,0,0,0,0,"3,027"
ALABAMA,Cities,Kinston,0,0,0,0,630
ALABAMA,Cities,Lafayette,0,0,0,0,"2,875"
ALABAMA,Cities,Lake View,0,0,0,0,"2,630"
ALABAMA,Cities,Leesburg,0,0,0,0,827
ALABAMA,Cities,Level Plains,0,0,0,0,"1,537"
ALABAMA,Cities,Lexington,0,0,0,0,852
ALABAMA,Cities,Lincoln,0,,0,0,"6,279"
ALABAMA,Cities,Linden,0,0,0,0,"2,225"
ALABAMA,Cities,Lineville,0,0,0,0,"2,333"
ALABAMA,Cities,Lipscomb,0,0,0,0,"2,036"
ALABAMA,Cities,Littleville,0,0,0,0,"1,056"
ALABAMA,Cities,Livingston,0,0,0,0,"2,869"
ALABAMA,Cities,Lockhart,0,0,0,0,542
ALABAMA,Cities,Louisville,0,0,0,0,573
ALABAMA,Cities,Lynn,0,0,0,0,718
ALABAMA,Cities,Maplesville,0,0,0,0,706
ALABAMA,Cities,Margaret,0,0,0,0,"1,313"
ALABAMA,Cities,Marion,0,0,0,0,"3,291"
ALABAMA,Cities,McIntosh,0,0,0,0,231
ALABAMA,Cities,McKenzie,0,0,0,0,603
ALABAMA,Cities,Mentone,0,0,0,0,492
ALABAMA,Cities,Midfield,0,0,0,0,"5,215"
ALABAMA,Cities,Midland City,0,0,0,0,"1,927"
ALABAMA,Cities,Millry,0,0,0,0,588
ALABAMA,Cities,Mobile,0,,0,0,"255,178"
ALABAMA,Cities,Monroeville,0,0,0,0,"6,285"
ALABAMA,Cities,Montevallo,0,0,0,0,"6,657"
ALABAMA,Cities,Montgomery,0,0,0,0,"203,966"
ALABAMA,Cities,Moody,0,0,0,,"14,726"
ALABAMA,Cities,Morris,0,0,0,0,"1,927"
ALABAMA,Cities,Mosses,0,0,0,0,"1,006"
ALABAMA,Cities,Moulton,0,0,0,0,"3,259"
ALABAMA,Cities,Moundville,0,0,0,0,"2,660"
ALABAMA,Cities,Mount Vernon,0,0,0,0,819
ALABAMA,Cities,Muscle Shoals,0,0,0,0,"13,277"
ALABAMA,Cities,Myrtlewood,0,0,0,0,129
ALABAMA,Cities,Napier Field,0,0,0,0,398
ALABAMA,Cities,New Brockton,0,0,0,0,"1,258"
ALABAMA,Cities,New Hope,0,0,0,0,"2,901"
ALABAMA,Cities,New Site,0,0,0,0,843
ALABAMA,Cities,Newton,0,0,0,0,"1,662"
ALABAMA,Cities,Newville,0,0,0,0,547
ALABAMA,Cities,North Courtland,0,0,0,0,805
ALABAMA,Cities,Northport,0,0,0,0,"24,019"
ALABAMA,Cities,Notasulga,0,0,0,0,825
ALABAMA,Cities,Oakman,0,0,0,0,921
ALABAMA,Cities,Odenville,0,0,0,0,"2,968"
ALABAMA,Cities,Ohatchee,0,0,0,0,"1,285"
ALABAMA,Cities,Opp,0,0,0,0,"6,552"
ALABAMA,Cities,Orange Beach,0,0,0,0,"6,575"
ALABAMA,Cities,Owens Crossroads,,0,0,0,"1,814"
ALABAMA,Cities,Oxford,0,,0,,"21,171"
ALABAMA,Cities,Ozark,0,0,0,0,"14,669"
ALABAMA,Cities,Parrish,0,0,0,0,"1,252"
ALABAMA,Cities,Pelham,,0,0,,"22,777"
ALABAMA,Cities,Pell City,0,0,0,0,"13,637"
ALABAMA,Cities,Phenix City,0,0,0,0,"31,662"
ALABAMA,Cities,Phil Campbell,0,0,0,0,"1,061"
ALABAMA,Cities,Piedmont,0,0,0,0,"4,994"
ALABAMA,Cities,Pine Hill,0,0,0,0,878
ALABAMA,Cities,Pisgah,0,0,0,0,693
ALABAMA,Cities,Pleasant Grove,0,0,0,0,"10,407"
ALABAMA,Cities,Powell,0,0,0,0,"1,002"
ALABAMA,Cities,Prattville,0,0,0,0,"33,738"
ALABAMA,Cities,Priceville,0,0,0,0,"3,072"
ALABAMA,Cities,Prichard,0,0,0,,"27,725"
ALABAMA,Cities,Ragland,0,0,0,0,"2,232"
ALABAMA,Cities,Rainbow City,0,0,0,0,"9,569"
ALABAMA,Cities,Rainsville,0,0,0,0,"5,141"
ALABAMA,Cities,Ranburne,0,0,0,0,488
ALABAMA,Cities,Red Bay,0,0,0,0,"3,338"
ALABAMA,Cities,Red Level,0,0,0,0,549
ALABAMA,Cities,Reform,0,0,0,0,"1,751"
ALABAMA,Cities,River Falls,0,0,0,0,611
ALABAMA,Cities,Roanoke,0,0,0,0,"6,716"
ALABAMA,Cities,Robertsdale,0,0,0,,"5,320"
ALABAMA,Cities,Rockford,0,0,0,0,386
ALABAMA,Cities,Rogersville,0,0,0,0,"1,219"
ALABAMA,Cities,Samson,0,0,0,0,"2,039"
ALABAMA,Cities,Saraland,0,0,,0,"13,238"
ALABAMA,Cities,Sardis City,0,0,0,0,"2,227"
ALABAMA,Cities,Satsuma,0,0,0,0,"6,120"
ALABAMA,Cities,Section,0,0,0,0,757
ALABAMA,Cities,Sheffield,0,0,0,0,"9,053"
ALABAMA,Cities,Shorter,0,0,0,0,372
ALABAMA,Cities,Silas,0,0,0,0,472
ALABAMA,Cities,Silverhill,0,0,0,0,719
ALABAMA,Cities,Sipsey,0,0,0,0,550
ALABAMA,Cities,Skyline,0,0,0,0,883
ALABAMA,Cities,Snead,0,0,0,0,879
ALABAMA,Cities,Somerville,0,0,0,0,662
ALABAMA,Cities,Southside,0,0,0,0,"8,731"
ALABAMA,Cities,Springville,0,0,0,0,"3,906"
ALABAMA,Cities,Steele,0,0,0,0,"1,273"
ALABAMA,Cities,Stevenson,0,0,0,0,"2,017"
ALABAMA,Cities,St. Florian,0,0,0,0,538
ALABAMA,Cities,Sulligent,0,0,0,0,"1,949"
ALABAMA,Cities,Sumiton,0,0,0,0,"2,566"
ALABAMA,Cities,Summerdale,0,0,0,0,787
ALABAMA,Cities,Sylacauga,0,0,0,0,"13,159"
ALABAMA,Cities,Tarrant,0,0,0,0,"6,529"
ALABAMA,Cities,Taylor,0,0,0,0,"2,059"
ALABAMA,Cities,Thomasville,0,0,0,0,"4,433"
ALABAMA,Cities,Thorsby,0,0,0,0,"2,148"
ALABAMA,Cities,Town Creek,0,0,0,0,"1,213"
ALABAMA,Cities,Trafford,0,0,0,0,500
ALABAMA,Cities,Trinity,0,0,0,0,"2,079"
ALABAMA,Cities,Troy,0,0,0,0,"15,395"
ALABAMA,Cities,Trussville,0,0,0,0,"19,962"
ALABAMA,Cities,Tuscaloosa,0,0,0,0,"95,570"
ALABAMA,Cities,Tuscumbia,0,0,0,0,"8,490"
ALABAMA,Cities,Tuskegee,0,0,0,0,"11,065"
ALABAMA,Cities,Union Springs,0,0,0,0,"4,801"
