state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
ALABAMA,Cities,Decatur,0,0,1,2,"57,153"
ALABAMA,Cities,Hoover,0,1,0,1,"74,687"
ALABAMA,Cities,Jasper,0,1,0,0,"14,138"
ALABAMA,Cities,Lanett,0,0,0,1,"7,026"
ALABAMA,Cities,Madison,0,0,1,0,"41,426"
ALABAMA,Cities,Oneonta,0,1,0,0,"7,317"
ALABAMA,Cities,Riverside,0,0,0,1,"2,146"
ALABAMA,Cities,Slocomb,1,0,0,0,"2,065"
ALABAMA,Cities,Talladega,0,1,0,0,"16,826"
ALASKA,Cities,Anchorage,1,1,4,1,"290,334"
ARIZONA,Cities,Apache Junction,1,2,2,0,"33,225"
ARIZONA,Cities,Avondale,1,0,0,0,"82,580"
ARIZONA,Cities,Flagstaff,0,0,0,1,"58,739"
ARIZONA,Cities,Glendale,0,4,3,6,"245,387"
ARIZONA,Cities,Kingman,0,2,0,0,"26,671"
ARIZONA,Cities,Lake Havasu City,1,0,0,0,"53,938"
ARIZONA,Cities,Mammoth,0,0,1,0,"2,618"
ARIZONA,Cities,Maricopa,1,0,0,0,"43,310"
ARIZONA,Cities,Mesa,2,1,2,2,"452,725"
ARIZONA,Cities,Peoria,0,1,0,1,"158,184"
ARIZONA,Cities,Phoenix,24,35,48,28,"1,544,427"
ARIZONA,Cities,Prescott,0,1,0,0,"41,428"
ARIZONA,Cities,Scottsdale,4,5,4,3,"230,496"
ARIZONA,Cities,Show Low,1,0,0,1,"11,965"
ARIZONA,Cities,Springerville,0,1,0,0,"1,943"
ARIZONA,Cities,Tempe,2,1,1,0,"173,004"
ARIZONA,Cities,Tucson,9,2,3,0,"527,107"
ARIZONA,Cities,Yuma,0,1,0,1,"88,291"
ARKANSAS,Cities,Benton,0,2,0,0,"30,692"
ARKANSAS,Cities,Bentonville,1,0,0,1,"39,161"
ARKANSAS,Cities,Bryant,0,1,0,0,"16,740"
ARKANSAS,Cities,Conway,0,0,0,2,"61,425"
ARKANSAS,Cities,Crossett,2,0,0,0,"5,349"
ARKANSAS,Cities,Elkins,0,1,0,0,"2,703"
ARKANSAS,Cities,Hot Springs,1,0,0,0,"40,081"
ARKANSAS,Cities,Jacksonville,0,0,1,3,"31,833"
ARKANSAS,Cities,Jonesboro,1,0,0,0,"67,382"
ARKANSAS,Cities,Marmaduke,0,1,0,0,"1,177"
ARKANSAS,Cities,Marvell,0,0,1,0,"1,065"
ARKANSAS,Cities,Morrilton,1,0,0,0,"6,571"
ARKANSAS,Cities,North Little Rock,0,1,1,0,"60,129"
ARKANSAS,Cities,Paragould,0,1,1,0,"25,350"
ARKANSAS,Cities,Pine Bluff,2,0,0,1,"49,971"
ARKANSAS,Cities,Rogers,1,2,4,2,"61,417"
ARKANSAS,Cities,Searcy,1,0,0,0,"23,791"
