state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population
Alabama,Cities,Fairhope,0,0,,0,"15,766"
Alabama,Cities,Glencoe,0,0,0,0,"5,175"
Alabama,Cities,Level Plains,0,0,,0,"2,078"
Alabama,Cities,Samson,,0,0,,"1,948"
Alabama,Cities,Troy,0,0,0,,"18,097"
Alaska,Cities,Dillingham,0,0,0,0,"2,419"
Alaska,Cities,Kotzebue,0,,,,"3,334"
Alaska,Cities,North Pole,0,0,0,0,"2,180"
Alaska,Cities,Wasilla,0,0,0,0,"8,190"
Arizona,Cities,Avondale,0,,,,"78,364"
Arizona,Cities,Benson,,,,0,"5,219"
Arizona,Cities,Bisbee,,0,0,0,"5,694"
Arizona,Cities,Buckeye,0,0,0,0,"52,213"
Arizona,Cities,Bullhead City,0,0,0,0,"40,277"
Arizona,Cities,Camp Verde,0,0,0,0,"11,033"
Arizona,Cities,Casa Grande,0,0,0,0,"50,132"
Arizona,Cities,Chandler,0,,0,0,"242,721"
Arizona,Cities,Chino Valley,0,,0,0,"10,981"
Arizona,Cities,Clarkdale,0,0,0,0,"4,158"
Arizona,Cities,Cottonwood,0,,,,"11,434"
Arizona,Cities,Eagar,0,,0,0,"5,008"
Arizona,Cities,El Mirage,0,,0,0,"32,685"
Arizona,Cities,Eloy,0,0,0,0,"17,149"
Arizona,Cities,Florence,0,,,0,"25,795"
Arizona,Cities,Fredonia,0,0,0,0,"1,328"
Arizona,Cities,Goodyear,0,,0,0,"67,033"
Arizona,Cities,Holbrook,0,0,0,0,"5,105"
Arizona,Cities,Huachuca City,0,0,0,0,"1,895"
Arizona,Cities,Kingman,0,,,0,"28,588"
Arizona,Cities,Mammoth,,,0,0,"1,473"
Arizona,Cities,Marana,0,,0,0,"35,617"
Arizona,Cities,Miami,0,0,0,0,"1,833"
Arizona,Cities,Nogales,0,,0,0,"21,177"
Arizona,Cities,Oro Valley,0,0,0,0,"41,786"
Arizona,Cities,Page,0,0,0,0,"7,331"
Arizona,Cities,Parker,0,0,0,0,"3,107"
Arizona,Cities,Payson,0,0,0,0,"15,337"
Arizona,Cities,Pima,0,0,0,0,"2,408"
Arizona,Cities,Pinetop-Lakeside,0,0,0,0,"4,327"
Arizona,Cities,Prescott,0,,0,0,"40,420"
Arizona,Cities,Safford,0,,0,0,"9,634"
Arizona,Cities,Sahuarita,0,,0,0,"25,736"
Arizona,Cities,San Luis,0,0,0,0,"28,168"
Arizona,Cities,Sedona,0,,0,0,"10,173"
Arizona,Cities,Snowflake-Taylor,0,,0,0,"9,803"
Arizona,Cities,Somerton,0,,0,0,"14,687"
Arizona,Cities,South Tucson,0,,0,0,"5,757"
Arizona,Cities,Springerville,0,0,0,0,"2,008"
Arizona,Cities,Surprise,0,,0,0,"120,793"
Arizona,Cities,Thatcher,0,0,0,0,"4,908"
Arizona,Cities,Tolleson,0,0,0,0,"6,728"
Arizona,Cities,Wickenburg,0,,0,0,"6,538"
Arizona,Cities,Williams,0,,0,0,"3,059"
Arizona,Cities,Winslow,0,0,0,0,"9,757"
Arkansas,Cities,Alma,0,0,0,0,"5,439"
Arkansas,Cities,Arkadelphia,0,0,0,0,"10,698"
Arkansas,Cities,Arkansas City,0,0,0,0,360
Arkansas,Cities,Ash Flat,0,0,0,0,"1,092"
Arkansas,Cities,Ashdown,0,0,0,0,"4,680"
Arkansas,Cities,Atkins,0,0,0,0,"3,057"
Arkansas,Cities,Augusta,0,0,0,0,"2,197"
Arkansas,Cities,Austin,0,0,0,0,"2,076"
Arkansas,Cities,Bald Knob,0,0,0,0,"2,950"
Arkansas,Cities,Barling,0,0,0,0,"4,718"
Arkansas,Cities,Bay,0,0,0,0,"1,845"
Arkansas,Cities,Bearden,0,0,0,0,961
Arkansas,Cities,Beebe,0,0,0,0,"7,449"
Arkansas,Cities,Bella Vista,0,0,0,0,"27,310"
Arkansas,Cities,Berryville,0,0,0,0,"5,389"
Arkansas,Cities,Blytheville,0,0,0,0,"15,506"
Arkansas,Cities,Booneville,0,0,0,0,"3,993"
Arkansas,Cities,Bradford,0,0,0,0,774
Arkansas,Cities,Brinkley,0,0,0,0,"3,171"
Arkansas,Cities,Brookland,0,0,0,0,"1,682"
Arkansas,Cities,Bull Shoals,0,0,0,0,"1,947"
Arkansas,Cities,Cabot,0,0,0,0,"24,212"
Arkansas,Cities,Caddo Valley,0,0,0,0,632
Arkansas,Cities,Camden,0,0,0,0,"12,118"
Arkansas,Cities,Cammack Village,0,0,0,0,779
Arkansas,Cities,Caraway,0,0,0,0,"1,310"
Arkansas,Cities,Carlisle,0,0,0,0,"2,254"
Arkansas,Cities,Cave City,0,0,0,0,"1,923"
Arkansas,Cities,Cave Springs,0,0,0,0,"1,785"
Arkansas,Cities,Centerton,0,0,0,0,"9,821"
Arkansas,Cities,Charleston,0,0,0,0,"2,492"
Arkansas,Cities,Cherokee Village,0,0,0,0,"4,735"
Arkansas,Cities,Clarendon,0,0,0,0,"1,655"
Arkansas,Cities,Clarksville,0,0,0,0,"9,286"
Arkansas,Cities,Clinton,0,0,0,0,"2,580"
Arkansas,Cities,Conway,0,0,0,0,"60,700"
Arkansas,Cities,Corning,0,0,0,0,"3,348"
Arkansas,Cities,Cotter,0,0,0,0,975
Arkansas,Cities,Crossett,0,0,0,0,"5,487"
Arkansas,Cities,Danville,0,0,0,0,"2,405"
Arkansas,Cities,Dardanelle,0,0,0,0,"4,738"
Arkansas,Cities,De Queen,0,0,0,0,"6,708"
Arkansas,Cities,De Witt,0,0,0,0,"3,282"
Arkansas,Cities,Decatur,0,0,0,0,"1,752"
Arkansas,Cities,Dermott,0,0,0,0,"2,310"
Arkansas,Cities,Des Arc,0,0,0,0,"1,705"
Arkansas,Cities,Diaz,0,0,0,0,"1,313"
Arkansas,Cities,Dierks,,,,0,"1,145"
Arkansas,Cities,Dover,0,0,0,0,"1,396"
Arkansas,Cities,Dumas,0,0,0,0,"4,635"
Arkansas,Cities,Earle,0,0,0,0,"2,405"
Arkansas,Cities,El Dorado,0,0,0,0,"18,860"
Arkansas,Cities,Elkins,0,0,0,0,"2,718"
Arkansas,Cities,England,0,,,0,"2,875"
Arkansas,Cities,Etowah,0,0,0,0,348
Arkansas,Cities,Eudora,0,0,0,0,"2,261"
Arkansas,Cities,Eureka Springs,0,0,0,0,"2,082"
Arkansas,Cities,Fairfield Bay,0,0,0,0,"2,319"
Arkansas,Cities,Farmington,0,0,0,0,"6,133"
Arkansas,Cities,Fayetteville,0,0,0,0,"75,387"
Arkansas,Cities,Flippin,0,0,0,0,"1,354"
Arkansas,Cities,Fordyce,0,0,0,0,"4,295"
Arkansas,Cities,Forrest City,0,0,0,0,"15,295"
Arkansas,Cities,Gassville,0,0,0,0,"2,087"
Arkansas,Cities,Gentry,0,0,0,0,"3,260"
Arkansas,Cities,Glenwood,0,0,0,0,"2,228"
Arkansas,Cities,Gosnell,0,0,0,0,"3,520"
Arkansas,Cities,Gravette,0,0,0,0,"2,400"
Arkansas,Cities,Green Forest,0,0,0,0,"2,779"
Arkansas,Cities,Greenbrier,0,0,0,0,"4,859"
Arkansas,Cities,Greenland,0,0,0,0,"1,292"
Arkansas,Cities,Greenwood,0,0,0,0,"9,086"
Arkansas,Cities,Greers Ferry,0,0,0,0,892
Arkansas,Cities,Gurdon,0,0,0,0,"2,205"
Arkansas,Cities,Guy,0,0,0,0,732
Arkansas,Cities,Hamburg,0,0,0,0,"2,883"
Arkansas,Cities,Hampton,0,0,0,0,"1,273"
Arkansas,Cities,Hardy,0,0,0,0,780
Arkansas,Cities,Harrisburg,0,0,0,0,"2,292"
Arkansas,Cities,Harrison,0,0,0,0,"13,043"
Arkansas,Cities,Hazen,0,0,0,0,"1,457"
Arkansas,Cities,Heber Springs,0,0,0,0,"7,173"
Arkansas,Cities,Helena-West Helena,0,0,0,0,"12,152"
Arkansas,Cities,Highfill,0,0,0,0,604
Arkansas,Cities,Highland,0,0,0,0,"1,056"
Arkansas,Cities,Hope,0,0,0,0,"10,103"
Arkansas,Cities,Horseshoe Bend,0,0,0,0,"2,146"
Arkansas,Cities,Hot Springs,0,0,0,0,"35,722"
Arkansas,Cities,Hoxie,0,0,0,0,"2,751"
Arkansas,Cities,Hughes,0,,0,0,"1,427"
Arkansas,Cities,Jacksonville,0,0,0,0,"28,733"
Arkansas,Cities,Judsonia,0,0,0,0,"2,056"
Arkansas,Cities,Keiser,0,0,0,0,754
Arkansas,Cities,Kensett,0,0,0,0,"1,678"
Arkansas,Cities,Lake City,0,0,0,0,"2,131"
Arkansas,Cities,Lake Village,0,0,0,0,"2,567"
Arkansas,Cities,Lakeview,0,0,0,0,745
Arkansas,Cities,Lamar,,0,0,0,"1,626"
Arkansas,Cities,Leachville,0,0,0,0,"1,977"
Arkansas,Cities,Lepanto,0,0,0,0,"1,895"
Arkansas,Cities,Lewisville,0,0,0,0,"1,272"
Arkansas,Cities,Lincoln,0,0,0,0,"2,308"
Arkansas,Cities,Little Flock,0,0,0,0,"2,667"
Arkansas,Cities,Little Rock,0,0,0,0,"196,055"
Arkansas,Cities,Lonoke,0,0,0,0,"4,319"
Arkansas,Cities,Lowell,0,0,0,0,"7,565"
Arkansas,Cities,Luxora,0,0,0,0,"1,169"
Arkansas,Cities,Madison,0,,,,764
Arkansas,Cities,Magnolia,0,0,0,0,"11,554"
Arkansas,Cities,Malvern,0,0,0,0,"10,346"
Arkansas,Cities,Mammoth Spring,0,0,0,0,985
Arkansas,Cities,Marianna,0,0,0,0,"4,084"
Arkansas,Cities,Marion,0,0,0,0,"12,300"
Arkansas,Cities,Marked Tree,0,0,0,0,"2,568"
Arkansas,Cities,Marmaduke,0,0,0,0,"1,132"
Arkansas,Cities,Marvell,0,0,0,0,"1,172"
Arkansas,Cities,Maumelle,0,0,0,0,"17,391"
Arkansas,Cities,Mayflower,0,0,0,0,"2,307"
Arkansas,Cities,McCrory,0,0,0,0,"1,733"
Arkansas,Cities,McRae,0,0,0,0,696
Arkansas,Cities,Mena,0,0,0,0,"5,745"
Arkansas,Cities,Mineral Springs,0,0,0,0,"1,221"
Arkansas,Cities,Monette,0,0,0,0,"1,536"
Arkansas,Cities,Monticello,0,0,0,0,"9,482"
Arkansas,Cities,Morrilton,0,0,0,0,"6,792"
Arkansas,Cities,Mountain Home,0,0,0,0,"12,501"
Arkansas,Cities,Mountain View,0,0,0,0,"2,804"
Arkansas,Cities,Mulberry,0,0,0,0,"1,660"
Arkansas,Cities,Murfreesboro,0,0,0,0,"1,644"
Arkansas,Cities,Nashville,0,0,0,0,"4,678"
Arkansas,Cities,North Little Rock,0,0,0,0,"63,125"
Arkansas,Cities,Osceola,0,0,0,0,"7,702"
Arkansas,Cities,Ozark,0,0,0,0,"3,683"
Arkansas,Cities,Pangburn,0,0,0,0,611
Arkansas,Cities,Paris,0,0,0,0,"3,535"
Arkansas,Cities,Parkin,0,0,0,0,"1,103"
Arkansas,Cities,Pea Ridge,0,0,0,0,"4,948"
Arkansas,Cities,Perryville,0,0,0,0,"1,461"
Arkansas,Cities,Piggott,0,0,0,0,"3,813"
Arkansas,Cities,Plainview,0,0,0,,606
Arkansas,Cities,Plummerville,0,0,0,0,830
Arkansas,Cities,Pocahontas,0,0,0,0,"6,650"
Arkansas,Cities,Pottsville,0,0,0,0,"2,877"
Arkansas,Cities,Prairie Grove,0,0,0,0,"4,497"
Arkansas,Cities,Prescott,0,0,0,0,"3,317"
Arkansas,Cities,Quitman,0,0,0,0,764
Arkansas,Cities,Ravenden,0,0,0,0,466
Arkansas,Cities,Redfield,0,0,0,0,"1,280"
Arkansas,Cities,Rison,0,0,0,0,"1,349"
Arkansas,Cities,Rose Bud,0,0,0,0,490
Arkansas,Cities,Russellville,0,0,0,0,"28,267"
Arkansas,Cities,Salem,0,0,0,0,"1,647"
Arkansas,Cities,Searcy,0,0,,,"23,239"
Arkansas,Cities,Sheridan,0,0,0,0,"4,655"
Arkansas,Cities,Siloam Springs,0,0,0,0,"15,497"
Arkansas,Cities,Stamps,0,0,0,0,"1,671"
Arkansas,Cities,Star City,0,0,0,0,"2,258"
Arkansas,Cities,Stuttgart,0,0,0,0,"9,299"
Arkansas,Cities,Swifton,0,0,0,0,794
Arkansas,Cities,Texarkana,0,0,0,0,"30,231"
Arkansas,Cities,Trumann,0,0,0,0,"7,250"
Arkansas,Cities,Tuckerman,0,0,0,0,"1,853"
Arkansas,Cities,Van Buren,0,0,0,0,"22,877"
Arkansas,Cities,Vilonia,0,0,0,0,"3,939"
Arkansas,Cities,Waldron,0,0,0,0,"3,644"
Arkansas,Cities,Walnut Ridge,0,0,0,0,"4,842"
Arkansas,Cities,Ward,0,0,0,0,"4,143"
Arkansas,Cities,Warren,0,0,0,0,"6,013"
Arkansas,Cities,Weiner,0,0,0,0,717
Arkansas,Cities,West Fork,0,0,0,0,"2,385"
Arkansas,Cities,West Memphis,0,0,0,0,"26,153"
Arkansas,Cities,White Hall,0,0,0,0,"5,456"
Arkansas,Cities,Wynne,0,0,0,0,"8,360"
California,Cities,Alameda,0,0,0,0,"75,467"
California,Cities,Albany,0,0,0,0,"18,960"
California,Cities,Alhambra,0,0,0,0,"84,469"
California,Cities,Alturas,0,0,0,0,"2,802"
California,Cities,American Canyon,0,0,0,0,"19,873"
California,Cities,Anderson,0,0,0,0,"10,056"
California,Cities,Arcadia,0,0,0,0,"57,295"
California,Cities,Arroyo Grande,0,0,0,0,"17,568"
California,Cities,Artesia,0,0,0,0,"16,793"
California,Cities,Arvin,0,0,0,0,"19,761"
California,Cities,Atherton,0,0,0,0,"7,060"
California,Cities,Atwater,0,0,0,0,"28,891"
California,Cities,Auburn,0,0,0,0,"13,787"
California,Cities,Avalon,0,0,0,0,"3,795"
California,Cities,Avenal,0,0,0,0,"15,704"
California,Cities,Baldwin Park,0,0,0,0,"76,644"
