state,agencyType,agencyName,quarter01,quarter02,quarter03,quarter04,population,,,,
Alabama,Cities,Ashford,0,0,0,0,"2,177",,,,
Alabama,Cities,Ashland,0,0,0,0,"1,926",,,,
Alabama,Cities,Auburn,0,0,0,0,"57,970",,,,
Alabama,Cities,Berry,,0,,,"1,124",,,,
Alabama,Cities,Childersburg,0,0,0,0,"5,111",,,,
Alabama,Cities,Courtland,0,0,0,0,607,,,,
Alabama,Cities,Demopolis,0,0,0,0,"7,240",,,,
Alabama,Cities,Eclectic,0,0,0,0,"1,015",,,,
Alabama,Cities,Enterprise,0,0,0,0,"28,145",,,,
Alabama,Cities,Eutaw,0,0,0,0,"2,871",,,,
Alabama,Cities,Fairhope,0,0,0,0,"16,847",,,,
Alabama,Cities,Foley,0,0,0,0,"15,615",,,,
Alabama,Cities,Gadsden,0,0,0,0,"36,610",,,,
Alabama,Cities,Geneva,0,0,0,0,"4,501",,,,
Alabama,Cities,Glencoe,0,0,,,"5,222",,,,
Alabama,Cities,Guntersville,0,0,0,0,"8,388",,,,
Alabama,Cities,Hanceville,0,0,0,0,"3,173",,,,
Alabama,Cities,Huntsville,0,0,0,0,"184,738",,,,
Alabama,Cities,Irondale,0,0,0,0,"12,452",,,,
Alabama,Cities,Jasper,0,0,0,0,"14,185",,,,
Alabama,Cities,Lafayette,0,0,0,0,"2,982",,,,
Alabama,Cities,Level Plains,0,0,0,0,"2,092",,,,
Alabama,Cities,Midland City,0,0,0,0,"2,476",,,,
Alabama,Cities,Mobile,0,0,0,0,"250,557",,,,
Alabama,Cities,Muscle Shoals,0,0,0,0,"13,431",,,,
Alabama,Cities,Oneonta,0,0,0,0,"6,661",,,,
Alabama,Cities,Opp,0,0,0,0,"6,698",,,,
Alabama,Cities,Pelham,0,0,0,0,"22,199",,,,
Alabama,Cities,Rainbow City,0,0,0,0,"9,683",,,,
Alabama,Cities,Samson,0,0,0,0,"1,940",,,,
Alabama,Cities,Sardis City,0,0,0,0,"1,755",,,,
Alabama,Cities,Springville,0,0,0,0,"4,175",,,,
Alabama,Cities,Sweet Water,0,0,0,0,248,,,,
Alabama,Cities,Sylacauga,0,0,0,0,"12,762",,,,
Alabama,Cities,Tarrant,0,0,0,0,"6,323",,,,
Alabama,Cities,Taylor,0,0,0,0,"2,425",,,,
Alabama,Cities,Trussville,0,0,0,0,"20,235",,,,
Alaska,Cities,Bethel,0,0,0,0,"6,463",,,,
Alaska,Cities,Bristol Bay Borough,0,0,0,0,985,,,,
Alaska,Cities,Cordova,0,0,0,0,"2,273",,,,
Alaska,Cities,Craig,0,0,0,0,"1,263",,,,
Alaska,Cities,Dillingham,0,0,0,0,"2,438",,,,
Alaska,Cities,Fairbanks,0,0,0,0,"32,505",,,,
Alaska,Cities,Haines,0,0,0,0,"2,561",,,,
Alaska,Cities,Homer,0,0,0,0,"5,309",,,,
Alaska,Cities,Juneau,0,0,0,0,"32,946",,,,
Alaska,Cities,Kenai,0,0,0,0,"7,422",,,,
Alaska,Cities,Ketchikan,0,0,0,0,"8,305",,,,
Alaska,Cities,Kodiak,0,0,0,0,"6,564",,,,
Alaska,Cities,Kotzebue,0,0,0,0,"3,375",,,,
Alaska,Cities,Nome,0,0,0,0,"3,805",,,,
Alaska,Cities,North Pole,0,0,0,0,"2,236",,,,
Alaska,Cities,North Slope Borough,0,0,0,0,"9,674",,,,
Alaska,Cities,Palmer,0,0,0,0,"6,453",,,,
Alaska,Cities,Petersburg,0,0,0,0,"2,981",,,,
Alaska,Cities,Seward,0,0,0,0,"2,749",,,,
Alaska,Cities,Sitka,0,0,0,0,"9,093",,,,
