year,state,agencyName,population,quarter01,quarter02,quarter03,quarter04,year_total,crimes_per_person,crimes_per_1000people,crimes_per_100kpeople
2012,New York,New York,8289415,107,97,84,84,372,4.48765E-05,0.044876508,4.487650817
2016,New York,New York,8566917,66,85,85,125,361,4.21388E-05,0.042138846,4.213884645
2010,New York,New York,8336002,89,90,79,90,348,4.17466E-05,0.041746631,4.174663106
2013,New York,New York,8396126,56,84,81,93,314,3.73982E-05,0.0373982,3.739820007
2014,New York,New York,8473938,60,68,107,72,307,3.62287E-05,0.036228729,3.62287286
2015,New York,New York,8550861,56,96,71,84,307,3.59028E-05,0.035902817,3.590281727
2011,New York,New York,8211875,52,77,43,68,240,2.9226E-05,0.029225968,2.922596849
2015,Arizona,Phoenix,1559744,76,77,44,34,231,0.000148101,0.148101227,14.81012269
2016,California,Los Angeles,4007905,55,56,52,64,227,5.66381E-05,0.056638069,5.663806902
2011,Massachusetts,Boston,621359,40,63,54,49,206,0.000331531,0.331531369,33.15313691
2015,California,Los Angeles,3962726,45,53,41,53,192,4.84515E-05,0.048451495,4.845149526
2014,Arizona,Phoenix,1529852,37,41,47,58,183,0.000119619,0.119619414,11.96194142
2016,Arizona,Phoenix,1586611,34,39,45,56,174,0.000109668,0.109667713,10.96677131
2011,California,Los Angeles,3837207,34,53,46,37,170,4.43031E-05,0.044303057,4.430305688
2013,Massachusetts,Boston,643799,39,56,40,30,165,0.000256291,0.256291172,25.62911716
2014,California,Los Angeles,3906772,26,35,47,44,152,3.89068E-05,0.038906801,3.890680081
2016,Ohio,Columbus,862515,42,29,49,31,151,0.000175069,0.175069419,17.50694191
2014,Ohio,Columbus,830811,30,42,44,33,149,0.000179343,0.179342835,17.93428349
2010,Massachusetts,Boston,644064,30,30,46,42,148,0.000229791,0.229790828,22.97908282
2015,Massachusetts,Boston,665258,28,40,40,31,139,0.000208941,0.208941493,20.89414934
2010,California,Los Angeles,3841707,29,43,38,28,138,3.59215E-05,0.035921532,3.592153176
2015,Ohio,Columbus,847745,15,39,56,27,137,0.000161605,0.1616052,16.16051997
2013,Ohio,Columbus,816364,8,22,60,46,136,0.000166592,0.166592353,16.65923534
2010,Arizona,Phoenix,1544427,24,35,48,28,135,8.74111E-05,0.087411059,8.741105925
2012,California,Los Angeles,3855122,23,33,34,34,124,3.2165E-05,0.032165,3.216500023
2012,Massachusetts,Boston,630648,37,38,21,27,123,0.000195037,0.195037485,19.50374853
2011,Arizona,Phoenix,1466097,27,33,35,28,123,8.38962E-05,0.083896222,8.389622242
2012,Arizona,Phoenix,1485509,47,DNR,39,35,121,8.14536E-05,0.081453562,8.145356238
2016,Massachusetts,Boston,673880,29,34,27,30,120,0.000178073,0.178073247,17.80732475
2016,Washington,Seattle,700313,30,27,33,28,118,0.000168496,0.168496087,16.84960867
2013,California,Los Angeles,3878725,21,40,25,28,114,2.93911E-05,0.029391101,2.939110146
2014,Washington,Seattle,663410,21,27,29,30,107,0.000161288,0.161287891,16.12878913
2016,District Of Columbia,Washington,681170,20,35,25,24,104,0.000152678,0.15267848,15.26784797
2014,Massachusetts,Boston,654413,16,32,27,20,95,0.000145168,0.145168265,14.51682653
2013,Washington,Seattle,642814,19,23,29,18,89,0.000138454,0.138453736,13.84537362
2012,Washington,Seattle,626865,12,24,32,17,85,0.000135595,0.135595383,13.55953834
2015,Washington,Seattle,683700,16,32,23,12,83,0.000121398,0.121398274,12.13982741
2013,Arizona,Phoenix,1502139,25,21,35,DNR,81,5.39231E-05,0.053923106,5.392310565
2011,District Of Columbia,Washington,617996,16,19,18,26,79,0.000127833,0.127832543,12.78325426
2010,Missouri,Kansas City,483191,13,16,21,26,76,0.000157288,0.157287698,15.72876978
2012,Nevada,Las Vegas Metropolitan Police Department,1479393,27,18,12,16,73,4.93446E-05,0.049344562,4.934456226
2012,District Of Columbia,Washington,632323,19,19,19,14,71,0.000112284,0.112284386,11.22843863
2013,District Of Columbia,Washington,646449,19,21,20,10,70,0.000108284,0.108283871,10.82838708
2014,District Of Columbia,Washington,658893,15,17,25,11,68,0.000103203,0.103203403,10.32034033
2013,Nevada,Las Vegas Metropolitan Police Department,1500455,16,13,18,18,65,4.33202E-05,0.043320193,4.332019287
2015,District Of Columbia,Washington,672228,13,13,18,20,64,9.52058E-05,0.095205793,9.520579327
2013,Missouri,Kansas City,465514,13,17,21,12,63,0.000135334,0.135334276,13.53342757
2010,California,San Francisco,818594,18,10,18,17,63,7.69612E-05,0.076961229,7.696122864
2012,Tennessee,Memphis,657436,11,15,16,19,61,9.27847E-05,0.092784697,9.278469691
2010,District Of Columbia,Washington,601723,7,16,14,20,57,9.4728E-05,0.094727973,9.472797284
2014,Ohio,Cincinnati,297671,8,22,13,11,54,0.000181408,0.181408333,18.14083334
2010,Nevada,Las Vegas Metropolitan Police Department,1416401,14,15,11,12,52,3.67128E-05,0.036712767,3.671276708
2011,Nevada,Las Vegas Metropolitan Police Department,1458474,8,15,15,14,52,3.56537E-05,0.035653704,3.56537038
2011,Indiana,Indianapolis,833024,11,8,21,11,51,6.12227E-05,0.061222726,6.122272588
2016,Illinois,Chicago,2725153,5,19,10,17,51,1.87145E-05,0.018714546,1.871454557
2014,Illinois,Chicago,2724121,11,17,13,9,50,1.83545E-05,0.018354544,1.835454446
2012,Missouri,Kansas City,464073,12,14,16,7,49,0.000105587,0.105586837,10.55868366
2010,California,San Diego,1313433,11,13,13,12,49,3.73068E-05,0.037306814,3.730681352
2010,Minnesota,Minneapolis,385704,8,15,14,10,47,0.000121855,0.121855101,12.18551013
2011,Missouri,Kansas City,461458,8,15,11,13,47,0.000101851,0.101851089,10.18510894
2010,Ohio,Columbus,772974,14,13,15,4,46,5.95104E-05,0.05951041,5.951041044
2011,California,San Francisco,814701,9,14,14,9,46,5.64624E-05,0.056462432,5.646243223
2012,Colorado,Denver,628545,11,8,13,13,45,7.15939E-05,0.071593919,7.159391929
2013,Illinois,Chicago,2720554,11,10,15,9,45,1.65407E-05,0.016540749,1.654074869
2012,Ohio,Columbus,797384,8,13,16,7,44,5.51804E-05,0.05518044,5.518044004
2011,Minnesota,Minneapolis,385531,10,13,11,9,43,0.000111534,0.111534481,11.1534481
2016,Missouri,Kansas City,478364,7,7,16,13,43,8.98897E-05,0.089889707,8.988970742
2010,Colorado,Denver,607051,14,5,11,13,43,7.08342E-05,0.070834246,7.083424622
2010,Indiana,Indianapolis,822211,10,9,16,8,43,5.2298E-05,0.052298011,5.229801109
2013,Indiana,Indianapolis,850220,8,15,16,4,43,5.05751E-05,0.050575145,5.057514526
2013,California,San Diego,1349306,7,10,17,9,43,3.18682E-05,0.031868234,3.186823448
2016,Ohio,Cincinnati,298880,7,10,10,15,42,0.000140525,0.140524625,14.05246253
2012,Kentucky,Lexington,302332,11,12,11,8,42,0.00013892,0.138920128,13.89201275
2015,Missouri,Kansas City,473373,6,7,14,15,42,8.8725E-05,0.088724959,8.872495896
2011,California,San Diego,1316919,14,10,10,8,42,3.18926E-05,0.031892622,3.18926221
2016,Kentucky,Lexington,317853,7,9,14,11,41,0.00012899,0.128990445,12.89904453
2015,Nevada,Las Vegas Metropolitan Police Department,1562134,6,14,12,9,41,2.62461E-05,0.026246148,2.62461479
2010,Nebraska,Lincoln,259672,8,5,19,8,40,0.00015404,0.154040482,15.40404818
2011,Ohio,Columbus,787609,5,9,18,8,40,5.07866E-05,0.050786621,5.078662128
2015,Oregon,Eugene,161608,9,12,10,8,39,0.000241325,0.241324687,24.13246869
2013,Minnesota,Minneapolis,396206,6,13,11,9,39,9.84336E-05,0.098433643,9.84336431
2016,Oregon,Eugene,164883,2,12,11,13,38,0.000230466,0.230466452,23.0466452
2016,Minnesota,Minneapolis,416751,5,16,11,6,38,9.11815E-05,0.091181545,9.118154486
2015,Illinois,Chicago,2728695,6,10,14,8,38,1.39261E-05,0.013926071,1.392607089
2012,New Jersey,Lakewood Township,93742,11,10,11,5,37,0.0003947,0.394700348,39.47003478
2014,California,San Diego,1368690,7,13,11,6,37,2.70331E-05,0.027033148,2.703314849
2012,New York,Buffalo,262434,2,12,13,9,36,0.000137177,0.137177347,13.71773474
2016,California,San Francisco,871155,9,12,10,5,36,4.13244E-05,0.041324449,4.132444858
2015,California,San Diego,1400467,10,9,6,11,36,2.57057E-05,0.025705711,2.570571102
2010,Washington,Tacoma,199595,5,7,11,12,35,0.000175355,0.175355094,17.53550941
2016,Ohio,Toledo,278366,3,3,17,12,35,0.000125734,0.125733746,12.57337462
2010,Wisconsin,Milwaukee,605921,8,10,9,8,35,5.77633E-05,0.057763306,5.776330578
2012,California,San Francisco,820363,8,9,8,10,35,4.2664E-05,0.04266404,4.266404019
2016,California,San Diego,1413414,7,10,6,12,35,2.47627E-05,0.024762738,2.47627376
2012,California,San Diego,1338477,10,6,8,10,34,2.5402E-05,0.025402005,2.540200541
2015,Ohio,Cincinnati,298478,7,8,10,8,33,0.000110561,0.110560912,11.05609124
2014,Minnesota,Minneapolis,404461,8,10,7,7,32,7.91176E-05,0.079117641,7.911764051
2016,Michigan,Detroit,669673,6,6,7,13,32,4.77845E-05,0.047784516,4.778451573
2011,California,San Jose,957062,11,11,6,4,32,3.34357E-05,0.03343566,3.343566039
2010,New York,Buffalo,265128,11,9,2,9,31,0.000116925,0.116924655,11.69246553
2014,Missouri,Kansas City,468417,6,9,11,5,31,6.61803E-05,0.066180348,6.618034785
2012,Tennessee,Jamestown,1982,5,11,5,9,30,0.015136226,15.13622603,1513.622603
2010,Oregon,Eugene,153269,14,8,8,DNR,30,0.000195734,0.195734297,19.57342972
